,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-63635000.0,-50084000.0,-22469000.0,-12701000.0
Issuance Of Debt,,,0.0,1194000.0
Issuance Of Capital Stock,0.0,72500000.0,155000000.0,0.0
Capital Expenditure,-3972000.0,-444000.0,-46000.0,
Interest Paid Supplemental Data,230000.0,230000.0,22000.0,
End Cash Position,62952000.0,39083000.0,148989000.0,4455000.0
Beginning Cash Position,39083000.0,148989000.0,4455000.0,15962000.0
Changes In Cash,23869000.0,-109906000.0,144534000.0,-11507000.0
Financing Cash Flow,326000.0,72620000.0,141804000.0,1194000.0
Cash Flow From Continuing Financing Activities,326000.0,72620000.0,141804000.0,1194000.0
Net Other Financing Charges,-160000.0,-659000.0,-9617000.0,
Proceeds From Stock Option Exercised,486000.0,779000.0,833000.0,0.0
Cash Dividends Paid,,0.0,-4412000.0,0.0
Net Common Stock Issuance,0.0,72500000.0,155000000.0,0.0
Common Stock Issuance,0.0,72500000.0,155000000.0,0.0
Net Issuance Payments Of Debt,,,0.0,1194000.0
Net Long Term Debt Issuance,,,0.0,1194000.0
Long Term Debt Issuance,,,0.0,1194000.0
Investing Cash Flow,83206000.0,-132886000.0,25153000.0,0.0
Cash Flow From Continuing Investing Activities,83206000.0,-132886000.0,25153000.0,0.0
Net Investment Purchase And Sale,87178000.0,-132442000.0,0.0,
Sale Of Investment,151617000.0,12750000.0,0.0,
Purchase Of Investment,-64439000.0,-145192000.0,0.0,
Net Business Purchase And Sale,,0.0,25199000.0,0.0
Sale Of Business,,0.0,29700000.0,0.0
Purchase Of Business,,0.0,-4501000.0,0.0
Net PPE Purchase And Sale,-3972000.0,-444000.0,-46000.0,0.0
Purchase Of PPE,-3972000.0,-444000.0,-46000.0,0.0
Operating Cash Flow,-59663000.0,-49640000.0,-22423000.0,-12701000.0
Cash Flow From Continuing Operating Activities,-59663000.0,-49640000.0,-22423000.0,-12701000.0
Change In Working Capital,-3404000.0,-1820000.0,12245000.0,-10506000.0
Change In Other Current Liabilities,-502000.0,-291000.0,-8509000.0,-197000.0
Change In Other Current Assets,518000.0,437000.0,481000.0,37000.0
Change In Payables And Accrued Expense,-132000.0,3220000.0,8290000.0,3540000.0
Change In Payable,,,-90000.0,3540000.0
Change In Account Payable,,,8290000.0,1079000.0
Change In Prepaid Assets,3603000.0,-1463000.0,-2166000.0,-22000.0
Change In Inventory,-3265000.0,-1861000.0,0.0,
Change In Receivables,-3626000.0,-1862000.0,14149000.0,-13864000.0
Changes In Account Receivables,-3626000.0,-1862000.0,14149000.0,-13864000.0
Other Non Cash Items,519000.0,382000.0,836000.0,982000.0
Stock Based Compensation,11954000.0,9643000.0,2106000.0,139000.0
Unrealized Gain Loss On Investment Securities,,0.0,-1585000.0,153000.0
Asset Impairment Charge,0.0,3724000.0,74156000.0,0.0
Amortization Of Securities,-3136000.0,-1215000.0,0.0,
Depreciation Amortization Depletion,169000.0,159000.0,105000.0,9000.0
Depreciation And Amortization,169000.0,159000.0,105000.0,9000.0
Operating Gains Losses,,,-196000.0,
Net Income From Continuing Operations,-65765000.0,-60513000.0,-110090000.0,-3478000.0
