,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1993665.0,2022318.0,1985651.0
Preferred Shares Number,55000.0,55000.0,55000.0
Ordinary Shares Number,20407229.0,20378576.0,20415243.0
Share Issued,22400894.0,22400894.0,22400894.0
Net Debt,6884000.0,8985000.0,14419000.0
Total Debt,35747000.0,33738000.0,33738000.0
Tangible Book Value,99594000.0,138687000.0,142461000.0
Invested Capital,137885000.0,174969000.0,178743000.0
Net Tangible Assets,99649000.0,138742000.0,142516000.0
Common Stock Equity,102138000.0,141231000.0,145005000.0
Preferred Stock Equity,55000.0,55000.0,55000.0
Total Capitalization,135931000.0,175024000.0,178798000.0
Total Equity Gross Minority Interest,102193000.0,141286000.0,145060000.0
Stockholders Equity,102193000.0,141286000.0,145060000.0
Other Equity Interest,-132000.0,-73000.0,-284000.0
Gains Losses Not Affecting Retained Earnings,-22149000.0,17688000.0,25000000.0
Other Equity Adjustments,-22149000.0,17688000.0,25000000.0
Treasury Stock,7389000.0,7490000.0,7339000.0
Retained Earnings,51982000.0,51264000.0,47790000.0
Additional Paid In Capital,57425000.0,57441000.0,57437000.0
Capital Stock,22456000.0,22456000.0,22456000.0
Common Stock,22401000.0,22401000.0,22401000.0
Preferred Stock,55000.0,55000.0,55000.0
Total Liabilities Net Minority Interest,264871000.0,261000000.0,260127000.0
Non Current Deferred Liabilities,,,1301000.0
Non Current Deferred Taxes Liabilities,,,1301000.0
Long Term Debt And Capital Lease Obligation,33738000.0,33738000.0,33738000.0
Long Term Debt,33738000.0,33738000.0,33738000.0
Current Debt And Capital Lease Obligation,2009000.0,0.0,
Current Debt,2009000.0,0.0,
Line Of Credit,2009000.0,0.0,
Payables And Accrued Expenses,26473000.0,25465000.0,26412000.0
Total Assets,367064000.0,402286000.0,405187000.0
Investments And Advances,221529000.0,281348000.0,274060000.0
Long Term Equity Investment,1238000.0,1238000.0,1238000.0
Investments In Other Ventures Under Equity Method,1238000.0,1238000.0,1238000.0
Goodwill And Other Intangible Assets,2544000.0,2544000.0,2544000.0
Receivables,41299000.0,42375000.0,56598000.0
Accounts Receivable,41299000.0,42375000.0,56598000.0
Cash Cash Equivalents And Short Term Investments,237592000.0,285739000.0,273425000.0
Other Short Term Investments,208729000.0,260986000.0,254106000.0
Cash And Cash Equivalents,28863000.0,24753000.0,19319000.0
