,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,41372291.0,41435087.0,45397260.0,79387961.0
Share Issued,41372291.0,41435087.0,45397260.0,79387961.0
Net Debt,127100000.0,165100000.0,142800000.0,23000000.0
Total Debt,346300000.0,349300000.0,472500000.0,489100000.0
Tangible Book Value,19900000.0,-41900000.0,-37900000.0,282100000.0
Invested Capital,314100000.0,251900000.0,377300000.0,696700000.0
Working Capital,251800000.0,209800000.0,387800000.0,575200000.0
Net Tangible Assets,19900000.0,-41900000.0,-37900000.0,282100000.0
Capital Lease Obligations,72400000.0,75800000.0,77600000.0,94800000.0
Common Stock Equity,40200000.0,-21600000.0,-17600000.0,302400000.0
Total Capitalization,314100000.0,251900000.0,377300000.0,696700000.0
Total Equity Gross Minority Interest,49500000.0,-21600000.0,-17600000.0,384400000.0
Minority Interest,9300000.0,0.0,0.0,82000000.0
Stockholders Equity,40200000.0,-21600000.0,-17600000.0,302400000.0
Gains Losses Not Affecting Retained Earnings,-6700000.0,-10600000.0,-10800000.0,-13600000.0
Other Equity Adjustments,-6700000.0,-10600000.0,-10800000.0,-13600000.0
Retained Earnings,46900000.0,-12500000.0,-6800000.0,-176500000.0
Additional Paid In Capital,0.0,1500000.0,0.0,492400000.0
Capital Stock,0.0,0.0,0.0,100000.0
Common Stock,0.0,0.0,0.0,100000.0
Total Liabilities Net Minority Interest,561900000.0,540300000.0,732400000.0,994800000.0
Total Non Current Liabilities Net Minority Interest,520000000.0,504400000.0,696100000.0,646100000.0
Other Non Current Liabilities,4800000.0,1100000.0,2500000.0,4900000.0
Preferred Securities Outside Stock Equity,,,,0.0
Derivative Product Liabilities,100000.0,2200000.0,0.0,
Employee Benefits,168800000.0,151800000.0,221100000.0,152100000.0
Long Term Debt And Capital Lease Obligation,346300000.0,349300000.0,472500000.0,489100000.0
Long Term Capital Lease Obligation,72400000.0,75800000.0,77600000.0,94800000.0
Long Term Debt,273900000.0,273500000.0,394900000.0,394300000.0
Current Liabilities,41900000.0,35900000.0,36300000.0,348700000.0
Other Current Liabilities,,,,313300000.0
Line Of Credit,0.0,0.0,0.0,0.0
Payables And Accrued Expenses,41900000.0,35900000.0,36300000.0,35400000.0
Current Accrued Expenses,30500000.0,26300000.0,30200000.0,24600000.0
Interest Payable,5600000.0,5700000.0,6800000.0,6800000.0
Payables,11400000.0,9600000.0,6100000.0,10800000.0
Dueto Related Parties Current,,,,3400000.0
Total Tax Payable,2600000.0,4600000.0,1100000.0,4100000.0
Income Tax Payable,2600000.0,4600000.0,1100000.0,4100000.0
Accounts Payable,8800000.0,5000000.0,5000000.0,6700000.0
Total Assets,611400000.0,518700000.0,714800000.0,1379200000.0
Total Non Current Assets,317700000.0,273000000.0,290700000.0,455300000.0
Other Non Current Assets,27700000.0,30100000.0,28200000.0,33300000.0
Non Current Deferred Assets,69700000.0,64700000.0,72400000.0,170300000.0
Non Current Deferred Taxes Assets,69700000.0,64700000.0,72400000.0,170300000.0
Investments And Advances,98600000.0,50300000.0,54500000.0,90000000.0
Goodwill And Other Intangible Assets,20300000.0,20300000.0,20300000.0,20300000.0
Other Intangible Assets,,,,58400000.0
Goodwill,20300000.0,20300000.0,20300000.0,20300000.0
Net PPE,101400000.0,107600000.0,115300000.0,141400000.0
Accumulated Depreciation,-119500000.0,-106500000.0,-98000000.0,-92100000.0
Gross PPE,220900000.0,214100000.0,213300000.0,233500000.0
Leases,30000000.0,29000000.0,30400000.0,31600000.0
Other Properties,57200000.0,59900000.0,65100000.0,78600000.0
Machinery Furniture Equipment,133700000.0,125200000.0,117800000.0,123300000.0
Buildings And Improvements,,,,2900000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,293700000.0,245700000.0,424100000.0,923900000.0
Assets Held For Sale Current,,,0.0,441100000.0
Restricted Cash,800000.0,12800000.0,0.0,1600000.0
Receivables,146100000.0,124500000.0,172000000.0,109900000.0
Taxes Receivable,2700000.0,2000000.0,4900000.0,9300000.0
Accounts Receivable,143400000.0,122500000.0,167100000.0,100600000.0
Cash Cash Equivalents And Short Term Investments,146800000.0,108400000.0,252100000.0,371300000.0
Cash And Cash Equivalents,146800000.0,108400000.0,252100000.0,371300000.0
