,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,38148000.0,28622000.0,27323000.0,25110000.0
Share Issued,38148000.0,28622000.0,27323000.0,25110000.0
Net Debt,69832000.0,124232000.0,106911000.0,102458000.0
Total Debt,121073000.0,155526000.0,149900000.0,154921000.0
Tangible Book Value,206211000.0,175733000.0,244878000.0,268038000.0
Invested Capital,330067000.0,333587000.0,396137000.0,423774000.0
Working Capital,79247000.0,44582000.0,85122000.0,106021000.0
Net Tangible Assets,206211000.0,175733000.0,244878000.0,268038000.0
Capital Lease Obligations,5875000.0,6609000.0,8333000.0,9038000.0
Common Stock Equity,214869000.0,184670000.0,254570000.0,277891000.0
Total Capitalization,291102000.0,264176000.0,338250000.0,369649000.0
Total Equity Gross Minority Interest,214869000.0,184670000.0,254570000.0,277891000.0
Stockholders Equity,214869000.0,184670000.0,254570000.0,277891000.0
Gains Losses Not Affecting Retained Earnings,975000.0,2183000.0,16071000.0,11690000.0
Other Equity Adjustments,975000.0,2183000.0,16071000.0,11690000.0
Retained Earnings,-265116000.0,-209068000.0,-142671000.0,-88509000.0
Additional Paid In Capital,478972000.0,391526000.0,381143000.0,354685000.0
Capital Stock,38000.0,29000.0,27000.0,25000.0
Common Stock,38000.0,29000.0,27000.0,25000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,174317000.0,223593000.0,199889000.0,202914000.0
Total Non Current Liabilities Net Minority Interest,80959000.0,85011000.0,90932000.0,99766000.0
Long Term Debt And Capital Lease Obligation,80959000.0,85011000.0,90932000.0,99766000.0
Long Term Capital Lease Obligation,4726000.0,5505000.0,7252000.0,8008000.0
Long Term Debt,76233000.0,79506000.0,83680000.0,91758000.0
Current Liabilities,93358000.0,138582000.0,108957000.0,103148000.0
Other Current Liabilities,,-3000000.0,,
Current Deferred Liabilities,1990000.0,3216000.0,195000.0,303000.0
Current Deferred Revenue,1803000.0,3000000.0,0.0,303000.0
Current Debt And Capital Lease Obligation,40114000.0,70515000.0,58968000.0,55155000.0
Current Capital Lease Obligation,1149000.0,1104000.0,1081000.0,1030000.0
Current Debt,38965000.0,69411000.0,57887000.0,54125000.0
Other Current Borrowings,23483000.0,57074000.0,49689000.0,38265000.0
Current Notes Payable,15482000.0,12337000.0,8198000.0,15860000.0
Pensionand Other Post Retirement Benefit Plans Current,3376000.0,3265000.0,3471000.0,3057000.0
Payables And Accrued Expenses,47878000.0,61586000.0,46323000.0,44633000.0
Current Accrued Expenses,14241000.0,13153000.0,10024000.0,14900000.0
Interest Payable,341000.0,1597000.0,1475000.0,1256000.0
Payables,33637000.0,48433000.0,36299000.0,29733000.0
Total Tax Payable,745000.0,588000.0,1897000.0,251000.0
Accounts Payable,32892000.0,47845000.0,34402000.0,29482000.0
Total Assets,389186000.0,408263000.0,454459000.0,480805000.0
Total Non Current Assets,216581000.0,225099000.0,260380000.0,271636000.0
Other Non Current Assets,2580000.0,386000.0,518000.0,982000.0
Non Current Deferred Assets,,,,0.0
Non Current Deferred Taxes Assets,,,,0.0
Goodwill And Other Intangible Assets,8658000.0,8937000.0,9692000.0,9853000.0
Other Intangible Assets,8658000.0,8937000.0,9692000.0,9853000.0
Net PPE,205343000.0,215776000.0,250170000.0,260801000.0
Accumulated Depreciation,-194086000.0,-177519000.0,-167772000.0,-142434000.0
Gross PPE,399429000.0,393295000.0,417942000.0,403235000.0
Construction In Progress,29939000.0,30434000.0,33705000.0,33342000.0
Other Properties,5026000.0,5592000.0,7135000.0,7817000.0
Machinery Furniture Equipment,276023000.0,268990000.0,285497000.0,271889000.0
Buildings And Improvements,86534000.0,86372000.0,89698000.0,88280000.0
Land And Improvements,1907000.0,1907000.0,1907000.0,1907000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,172605000.0,183164000.0,194079000.0,209169000.0
Other Current Assets,5349000.0,6384000.0,4334000.0,5213000.0
Restricted Cash,9731000.0,10902000.0,6480000.0,6689000.0
Prepaid Assets,3000.0,0.0,1000.0,2000.0
Inventory,63866000.0,79679000.0,92516000.0,110397000.0
Inventories Adjustments Allowances,-14506000.0,-12410000.0,,
Finished Goods,22452000.0,26794000.0,21519000.0,32298000.0
Work In Process,33792000.0,39563000.0,41528000.0,52544000.0
Raw Materials,22128000.0,25732000.0,29469000.0,25555000.0
Receivables,48290000.0,61514000.0,56092000.0,43443000.0
Notes Receivable,219000.0,339000.0,8148000.0,401000.0
Accounts Receivable,48071000.0,61175000.0,47944000.0,43042000.0
Allowance For Doubtful Accounts Receivable,-3000.0,-28000.0,-30000.0,-62000.0
Gross Accounts Receivable,48074000.0,61203000.0,47974000.0,43104000.0
Cash Cash Equivalents And Short Term Investments,45366000.0,24685000.0,34656000.0,43425000.0
Cash And Cash Equivalents,45366000.0,24685000.0,34656000.0,43425000.0
