,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-32120000.0,-17908000.0,-5661000.0,-19170000.0
Tax Rate For Calcs,0.22,0.121,0.111,0.27
Normalized EBITDA,17318000000.0,24322000000.0,23984000000.0,12394000000.0
Total Unusual Items,-146000000.0,-148000000.0,-51000000.0,-71000000.0
Total Unusual Items Excluding Goodwill,-146000000.0,-148000000.0,-51000000.0,-71000000.0
Net Income From Continuing Operation Net Minority Interest,4863000000.0,11836000000.0,11542000000.0,4616000000.0
Reconciled Depreciation,8698000000.0,8467000000.0,8521000000.0,6471000000.0
Reconciled Cost Of Revenue,20415000000.0,17414000000.0,17446000000.0,15387000000.0
EBITDA,17172000000.0,24174000000.0,23933000000.0,12323000000.0
EBIT,8474000000.0,15707000000.0,15412000000.0,5852000000.0
Net Interest Income,-1684000000.0,-2044000000.0,-2384000000.0,-2280000000.0
Interest Expense,2224000000.0,2230000000.0,2423000000.0,2454000000.0
Interest Income,540000000.0,186000000.0,39000000.0,174000000.0
Normalized Income,4976880000.0,11966092000.0,11587339000.0,4667830000.0
Net Income From Continuing And Discontinued Operation,4863000000.0,11836000000.0,11542000000.0,4616000000.0
Total Expenses,41561000000.0,39937000000.0,38273000000.0,34441000000.0
Total Operating Income As Reported,12757000000.0,18117000000.0,17924000000.0,11363000000.0
Diluted Average Shares,1773000000.0,1778000000.0,1777000000.0,1765132819.0
Basic Average Shares,1768000000.0,1769181294.0,1768337696.0,1765132819.0
Diluted EPS,2.72,6.63,6.45,2.615101
Basic EPS,2.73,6.6901,6.527034,2.615101
Diluted NI Availto Com Stockholders,4820000000.0,11782000000.0,11468000000.0,4556000000.0
Net Income Common Stockholders,4820000000.0,11782000000.0,11468000000.0,4556000000.0
Otherunder Preferred Stock Dividend,43000000.0,54000000.0,74000000.0,60000000.0
Net Income,4863000000.0,11836000000.0,11542000000.0,4616000000.0
Minority Interests,-10000000.0,-9000000.0,-7000000.0,-6000000.0
Net Income Including Noncontrolling Interests,4873000000.0,11845000000.0,11549000000.0,4622000000.0
Net Income Continuous Operations,4873000000.0,11845000000.0,11549000000.0,4622000000.0
Tax Provision,1377000000.0,1632000000.0,1440000000.0,-1224000000.0
Pretax Income,6250000000.0,13477000000.0,12989000000.0,3398000000.0
Other Income Expense,-4823000000.0,-2596000000.0,-2551000000.0,-5685000000.0
Other Non Operating Income Expenses,-4677000000.0,-2448000000.0,-2500000000.0,-5614000000.0
Special Income Charges,-778000000.0,-697000000.0,-1124000000.0,-1376000000.0
Other Special Charges,778000000.0,697000000.0,1124000000.0,1376000000.0
Gain On Sale Of Security,-146000000.0,-148000000.0,-51000000.0,-71000000.0
Net Non Operating Interest Income Expense,-1684000000.0,-2044000000.0,-2384000000.0,-2280000000.0
Interest Expense Non Operating,2224000000.0,2230000000.0,2423000000.0,2454000000.0
Interest Income Non Operating,540000000.0,186000000.0,39000000.0,174000000.0
Operating Income,12757000000.0,18117000000.0,17924000000.0,11363000000.0
Operating Expense,21146000000.0,22523000000.0,20827000000.0,19054000000.0
Other Operating Expenses,-179000000.0,56000000.0,432000000.0,
Research And Development,8453000000.0,7207000000.0,8046000000.0,7755000000.0
Selling General And Administration,12872000000.0,15260000000.0,12349000000.0,11299000000.0
Gross Profit,33903000000.0,40640000000.0,38751000000.0,30417000000.0
Cost Of Revenue,20415000000.0,17414000000.0,17446000000.0,15387000000.0
Total Revenue,54318000000.0,58054000000.0,56197000000.0,45804000000.0
Operating Revenue,54318000000.0,58054000000.0,56197000000.0,45804000000.0
