,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,18707300000.0,14109000000.0,15224200000.0,14163100000.0
Repurchase Of Capital Stock,-119000000.0,-54100000.0,-44200000.0,-7400000.0
Repayment Of Debt,-1407500000.0,-1084900000.0,-3117200000.0,-2541400000.0
Issuance Of Debt,49800000.0,274900000.0,315200000.0,3767900000.0
Issuance Of Capital Stock,14500000.0,23800000.0,9100000.0,0.0
Capital Expenditure,-6004100000.0,-6533100000.0,-7677100000.0,-4692700000.0
End Cash Position,16059000000.0,14852100000.0,16597200000.0,17090300000.0
Beginning Cash Position,14852100000.0,16597200000.0,17090300000.0,11900700000.0
Effect Of Exchange Rate Changes,-1623300000.0,-1045200000.0,382600000.0,1735400000.0
Changes In Cash,2830200000.0,-699900000.0,-875700000.0,3454200000.0
Financing Cash Flow,-16115200000.0,-16337800000.0,-16042000000.0,-8602000000.0
Cash Flow From Continuing Financing Activities,-16115200000.0,-16337800000.0,-16042000000.0,-8602000000.0
Net Other Financing Charges,-2731100000.0,-3255200000.0,-2089600000.0,-2970800000.0
Cash Dividends Paid,-11921900000.0,-12242300000.0,-11115300000.0,-6850300000.0
Common Stock Dividend Paid,-11921900000.0,-12242300000.0,-11115300000.0,-6850300000.0
Net Common Stock Issuance,-104500000.0,-30300000.0,-35100000.0,-7400000.0
Common Stock Payments,-119000000.0,-54100000.0,-44200000.0,-7400000.0
Common Stock Issuance,14500000.0,23800000.0,9100000.0,0.0
Net Issuance Payments Of Debt,-1357700000.0,-810000000.0,-2802000000.0,1226500000.0
Net Long Term Debt Issuance,-1357700000.0,-810000000.0,-2802000000.0,1226500000.0
Long Term Debt Payments,-1407500000.0,-1084900000.0,-3117200000.0,-2541400000.0
Long Term Debt Issuance,49800000.0,274900000.0,315200000.0,3767900000.0
Investing Cash Flow,-5766000000.0,-5004200000.0,-7735000000.0,-6799600000.0
Cash Flow From Continuing Investing Activities,-5766000000.0,-5004200000.0,-7735000000.0,-6799600000.0
Net Other Investing Changes,400000.0,15000000.0,15000000.0,
Net Investment Purchase And Sale,130100000.0,1383000000.0,-241300000.0,-1783400000.0
Sale Of Investment,136400000.0,1413000000.0,,
Purchase Of Investment,-6300000.0,-30000000.0,-241300000.0,-1783400000.0
Net Business Purchase And Sale,-46500000.0,-3000000.0,-133300000.0,-431500000.0
Sale Of Business,0.0,0.0,500000.0,0.0
Purchase Of Business,-46500000.0,-3000000.0,-133800000.0,-431500000.0
Net PPE Purchase And Sale,-5850000000.0,-6399200000.0,-7375400000.0,-4584700000.0
Sale Of PPE,154100000.0,133900000.0,301700000.0,108000000.0
Purchase Of PPE,-6004100000.0,-6533100000.0,-7677100000.0,-4692700000.0
Capital Expenditure Reported,,,,-4692700000.0
Operating Cash Flow,24711400000.0,20642100000.0,22901300000.0,18855800000.0
Cash Flow From Continuing Operating Activities,24711400000.0,20642100000.0,22901300000.0,18855800000.0
Taxes Refund Paid,-1627000000.0,-919000000.0,-1305100000.0,-1642500000.0
Interest Received Cfo,1248300000.0,1095000000.0,377100000.0,320300000.0
Interest Paid Cfo,-666100000.0,-826300000.0,-498200000.0,-768800000.0
Dividend Received Cfo,12900000.0,6600000.0,13100000.0,13800000.0
Change In Working Capital,-296100000.0,-2683900000.0,2999400000.0,897600000.0
Change In Payables And Accrued Expense,-223100000.0,726600000.0,6157500000.0,3049800000.0
Change In Payable,-223100000.0,726600000.0,6157500000.0,3049800000.0
Change In Inventory,1300900000.0,-3088000000.0,-3499500000.0,-1303400000.0
Change In Receivables,-1373900000.0,-322500000.0,341400000.0,-848800000.0
Other Non Cash Items,596100000.0,-747900000.0,71700000.0,-287900000.0
Stock Based Compensation,331600000.0,313900000.0,387600000.0,208700000.0
Unrealized Gain Loss On Investment Securities,0.0,-95500000.0,-77000000.0,-238300000.0
Provisionand Write Offof Assets,233800000.0,232700000.0,244600000.0,239700000.0
Asset Impairment Charge,358400000.0,351800000.0,200800000.0,296100000.0
Deferred Tax,253800000.0,-316000000.0,853200000.0,2097500000.0
Deferred Income Tax,253800000.0,-316000000.0,853200000.0,2097500000.0
Depreciation Amortization Depletion,6415200000.0,5956300000.0,5396700000.0,5167400000.0
Depreciation And Amortization,6415200000.0,5956300000.0,5396700000.0,5167400000.0
Amortization Cash Flow,686600000.0,,,
Amortization Of Intangibles,686600000.0,,,
Depreciation,5728600000.0,5956300000.0,5396700000.0,5167400000.0
Operating Gains Losses,2890100000.0,3383200000.0,1114800000.0,820300000.0
Earnings Losses From Equity Investments,185300000.0,29100000.0,115700000.0,43300000.0
Gain Loss On Investment Securities,1637200000.0,2691800000.0,688000000.0,149400000.0
Net Foreign Currency Exchange Gain Loss,1154000000.0,751100000.0,453900000.0,706400000.0
Gain Loss On Sale Of PPE,-86400000.0,-88800000.0,-142800000.0,-78800000.0
Gain Loss On Sale Of Business,,,,0.0
Net Income From Continuing Operations,14960400000.0,14891200000.0,13122600000.0,11731900000.0
