,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-50246000.0,-42687000.0,61577000.0,-8498000.0
Total Unusual Items,-1360000.0,,-81157000.0,586000.0
Total Unusual Items Excluding Goodwill,-1360000.0,,-81157000.0,586000.0
Net Income From Continuing Operation Net Minority Interest,-52371000.0,-42856000.0,-100606000.0,-7325000.0
Reconciled Depreciation,184000.0,169000.0,4000.0,0.0
EBITDA,-51606000.0,-42687000.0,-19580000.0,-7912000.0
EBIT,-51790000.0,-42856000.0,-19584000.0,-7912000.0
Net Interest Income,10210000.0,2392000.0,84000.0,1000.0
Interest Expense,581000.0,0.0,,
Interest Income,10791000.0,2392000.0,84000.0,1000.0
Normalized Income,-51011000.0,-42856000.0,-19449000.0,-7911000.0
Net Income From Continuing And Discontinued Operation,-52371000.0,-42856000.0,-100606000.0,-7325000.0
Total Expenses,61138000.0,45237000.0,19584000.0,7912000.0
Total Operating Income As Reported,-61138000.0,-45237000.0,-19584000.0,-7912000.0
Diluted Average Shares,48609383.0,40601936.0,20057534.0,28651796.0
Basic Average Shares,48609383.0,40601936.0,20057534.0,28651796.0
Diluted EPS,-1.08,-1.06,-5.02,-0.255656
Basic EPS,-1.08,-1.06,-5.02,-0.255656
Diluted NI Availto Com Stockholders,-52371000.0,-42856000.0,-100606000.0,-7325000.0
Net Income Common Stockholders,-52371000.0,-42856000.0,-100606000.0,-7325000.0
Otherunder Preferred Stock Dividend,,,,586000.0
Net Income,-52371000.0,-42856000.0,-100606000.0,-7325000.0
Net Income Including Noncontrolling Interests,-52371000.0,-42856000.0,-100606000.0,-7325000.0
Net Income Continuous Operations,-52371000.0,-42856000.0,-100606000.0,-7325000.0
Pretax Income,-52371000.0,-42856000.0,-100606000.0,-7325000.0
Other Income Expense,-1443000.0,-11000.0,-81106000.0,586000.0
Other Non Operating Income Expenses,-83000.0,-11000.0,51000.0,
Gain On Sale Of Security,-1360000.0,,-81157000.0,586000.0
Net Non Operating Interest Income Expense,10210000.0,2392000.0,84000.0,1000.0
Interest Expense Non Operating,581000.0,0.0,,
Interest Income Non Operating,10791000.0,2392000.0,84000.0,1000.0
Operating Income,-61138000.0,-45237000.0,-19584000.0,-7912000.0
Operating Expense,61138000.0,45237000.0,19584000.0,7912000.0
Other Operating Expenses,,,,-1436000.0
Research And Development,42318000.0,32361000.0,12305000.0,7997000.0
Selling General And Administration,18820000.0,12876000.0,7279000.0,1351000.0
General And Administrative Expense,18820000.0,12876000.0,7279000.0,1351000.0
Other Gand A,18820000.0,12876000.0,7279000.0,1351000.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
