,2023-12-31,2022-12-31
Ordinary Shares Number,49981727.0,49981727.0
Share Issued,49981727.0,49981727.0
Net Debt,1019000.0,
Total Debt,2894000.0,1874000.0
Tangible Book Value,-85870000.0,-76479000.0
Invested Capital,-83942000.0,-76283000.0
Working Capital,-10539000.0,-1221000.0
Net Tangible Assets,-85870000.0,-76479000.0
Capital Lease Obligations,1152000.0,1874000.0
Common Stock Equity,-85684000.0,-76283000.0
Total Capitalization,-85684000.0,-76283000.0
Total Equity Gross Minority Interest,-85135000.0,-75734000.0
Minority Interest,549000.0,549000.0
Stockholders Equity,-85684000.0,-76283000.0
Treasury Stock,33000.0,33000.0
Retained Earnings,-105571000.0,-93865000.0
Additional Paid In Capital,19911000.0,17606000.0
Capital Stock,9000.0,9000.0
Common Stock,9000.0,9000.0
Total Liabilities Net Minority Interest,88490000.0,87586000.0
Total Non Current Liabilities Net Minority Interest,76054000.0,76718000.0
Preferred Securities Outside Stock Equity,75599000.0,75599000.0
Long Term Debt And Capital Lease Obligation,455000.0,1119000.0
Long Term Capital Lease Obligation,455000.0,1119000.0
Current Liabilities,12436000.0,10868000.0
Current Deferred Liabilities,0.0,64000.0
Current Deferred Revenue,0.0,64000.0
Current Debt And Capital Lease Obligation,2439000.0,755000.0
Current Capital Lease Obligation,697000.0,755000.0
Current Debt,1742000.0,
Current Notes Payable,1742000.0,0.0
Payables And Accrued Expenses,9997000.0,10049000.0
Current Accrued Expenses,2081000.0,1897000.0
Payables,7916000.0,8152000.0
Accounts Payable,7916000.0,8152000.0
Total Assets,3355000.0,11852000.0
Total Non Current Assets,1458000.0,2205000.0
Other Non Current Assets,138000.0,137000.0
Non Current Prepaid Assets,66000.0,66000.0
Non Current Note Receivables,0.0,4000.0
Goodwill And Other Intangible Assets,186000.0,196000.0
Other Intangible Assets,186000.0,196000.0
Net PPE,1068000.0,1802000.0
Accumulated Depreciation,-2591000.0,-2322000.0
Gross PPE,3659000.0,4124000.0
Leases,788000.0,788000.0
Other Properties,2803000.0,3268000.0
Machinery Furniture Equipment,68000.0,68000.0
Properties,0.0,0.0
Current Assets,1897000.0,9647000.0
Other Current Assets,208000.0,292000.0
Current Deferred Assets,878000.0,0.0
Receivables,88000.0,2030000.0
Accounts Receivable,88000.0,2030000.0
Cash Cash Equivalents And Short Term Investments,723000.0,7325000.0
Cash And Cash Equivalents,723000.0,7325000.0
Cash Financial,723000.0,7325000.0
