,2024-01-31,2023-01-31,2022-01-31
Free Cash Flow,3497916.0,-20593884.0,-49709156.0
Repayment Of Debt,-14877989.0,-2278062.0,-1512090.0
Issuance Of Debt,13032178.0,25973758.0,30069113.0
Issuance Of Capital Stock,0.0,0.0,200000.0
Capital Expenditure,-3650832.0,-2716981.0,-22134311.0
Interest Paid Supplemental Data,4838116.0,5080102.0,2086274.0
Income Tax Paid Supplemental Data,0.0,0.0,0.0
End Cash Position,952280.0,2327797.0,2057022.0
Beginning Cash Position,2327797.0,2057022.0,33025307.0
Changes In Cash,-1375517.0,270775.0,-30968285.0
Financing Cash Flow,-4006321.0,24810398.0,27196396.0
Cash Flow From Continuing Financing Activities,-4006321.0,24810398.0,27196396.0
Net Other Financing Charges,-2160510.0,1114702.0,-1560627.0
Net Common Stock Issuance,0.0,0.0,200000.0
Common Stock Issuance,0.0,0.0,200000.0
Net Issuance Payments Of Debt,-1845811.0,23695696.0,28557023.0
Net Short Term Debt Issuance,-4941217.0,6907330.0,29992113.0
Short Term Debt Payments,-11500000.0,,
Short Term Debt Issuance,6558783.0,6907330.0,29992113.0
Net Long Term Debt Issuance,3095406.0,16788366.0,-1435090.0
Long Term Debt Payments,-3377989.0,-2278062.0,-1512090.0
Long Term Debt Issuance,6473395.0,19066428.0,77000.0
Investing Cash Flow,-4517944.0,-6662720.0,-30589836.0
Cash Flow From Continuing Investing Activities,-4517944.0,-6662720.0,-30589836.0
Net Other Investing Changes,723801.0,2591693.0,-4425468.0
Net Business Purchase And Sale,-1590913.0,-6537432.0,-4030057.0
Sale Of Business,,,20988.0
Purchase Of Business,-1590913.0,-6537432.0,-4051045.0
Net Intangibles Purchase And Sale,-60496.0,-328760.0,-135972.0
Purchase Of Intangibles,-60496.0,-328760.0,-135972.0
Net PPE Purchase And Sale,-3590336.0,-2388221.0,-21998339.0
Purchase Of PPE,-3590336.0,-2388221.0,-21998339.0
Operating Cash Flow,7148748.0,-17876903.0,-27574845.0
Cash Flow From Continuing Operating Activities,7148748.0,-17876903.0,-27574845.0
Change In Working Capital,44251664.0,9075482.0,-23973846.0
Change In Other Current Liabilities,-1238268.0,-772275.0,-640185.0
Change In Other Current Assets,2096396.0,2787321.0,-14417939.0
Change In Payables And Accrued Expense,5667171.0,8084074.0,26200558.0
Change In Prepaid Assets,6005594.0,2082333.0,588735.0
Change In Inventory,21910153.0,5548114.0,-25994985.0
Change In Receivables,9810618.0,-8654085.0,-9710030.0
Changes In Account Receivables,9810618.0,-8707755.0,-9771404.0
Other Non Cash Items,3939309.0,1085792.0,1042745.0
Stock Based Compensation,3089721.0,6912232.0,0.0
Asset Impairment Charge,1806337.0,6866121.0,0.0
Deferred Tax,0.0,-78681.0,-95088.0
Deferred Income Tax,0.0,-78681.0,-95088.0
Depreciation Amortization Depletion,3606284.0,2959017.0,1366074.0
Depreciation And Amortization,3606284.0,2959017.0,1366074.0
Operating Gains Losses,3767715.0,787664.0,-137492.0
Earnings Losses From Equity Investments,3787927.0,812669.0,0.0
Net Income From Continuing Operations,-53312282.0,-45484530.0,-5777238.0
