,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,57500000.0,36300000.0,81400000.0,177800000.0
Repurchase Of Capital Stock,-25200000.0,-27500000.0,-19500000.0,-11800000.0
Repayment Of Debt,-143800000.0,-220200000.0,-83200000.0,-104900000.0
Issuance Of Debt,160000000.0,80000000.0,500000000.0,251400000.0
Capital Expenditure,-203500000.0,-138000000.0,-85100000.0,-82100000.0
Income Tax Paid Supplemental Data,13600000.0,21900000.0,2900000.0,
End Cash Position,104800000.0,160400000.0,72900000.0,95800000.0
Beginning Cash Position,160400000.0,72900000.0,95800000.0,240400000.0
Changes In Cash,-55600000.0,87500000.0,-22900000.0,-144600000.0
Financing Cash Flow,-30800000.0,-177500000.0,380900000.0,123700000.0
Cash Flow From Continuing Financing Activities,-30800000.0,-177500000.0,380900000.0,123700000.0
Net Other Financing Charges,-12000000.0,,-6600000.0,-1200000.0
Proceeds From Stock Option Exercised,,,,-3800000.0
Cash Dividends Paid,-9800000.0,-9800000.0,-9800000.0,-9800000.0
Common Stock Dividend Paid,-9800000.0,-9800000.0,-9800000.0,-9800000.0
Net Common Stock Issuance,-25200000.0,-27500000.0,-19500000.0,-11800000.0
Common Stock Payments,-25200000.0,-27500000.0,-19500000.0,-11800000.0
Net Issuance Payments Of Debt,16200000.0,-140200000.0,416800000.0,146500000.0
Net Long Term Debt Issuance,16200000.0,-140200000.0,416800000.0,146500000.0
Long Term Debt Payments,-143800000.0,-220200000.0,-83200000.0,-104900000.0
Long Term Debt Issuance,160000000.0,80000000.0,500000000.0,251400000.0
Investing Cash Flow,-285800000.0,90700000.0,-570300000.0,-528200000.0
Cash Flow From Continuing Investing Activities,-285800000.0,90700000.0,-570300000.0,-528200000.0
Net Business Purchase And Sale,-118900000.0,196500000.0,-505200000.0,-455700000.0
Sale Of Business,2000000.0,271600000.0,18200000.0,0.0
Purchase Of Business,-120900000.0,-75100000.0,-523400000.0,-455700000.0
Net PPE Purchase And Sale,36600000.0,32200000.0,20000000.0,9600000.0
Sale Of PPE,36600000.0,32200000.0,20000000.0,9600000.0
Capital Expenditure Reported,-203500000.0,-138000000.0,-85100000.0,-82100000.0
Operating Cash Flow,261000000.0,174300000.0,166500000.0,259900000.0
Cash Flow From Continuing Operating Activities,261000000.0,174300000.0,166500000.0,259900000.0
Change In Working Capital,-71800000.0,-65300000.0,-50300000.0,3800000.0
Change In Other Working Capital,-1400000.0,21900000.0,-26100000.0,-31600000.0
Change In Other Current Liabilities,,,,11500000.0
Change In Other Current Assets,-1800000.0,-8500000.0,-13300000.0,1900000.0
Change In Payables And Accrued Expense,62700000.0,13900000.0,39600000.0,14400000.0
Change In Accrued Expense,-14500000.0,-13100000.0,4900000.0,-29100000.0
Change In Payable,77200000.0,27000000.0,34700000.0,43500000.0
Change In Account Payable,77200000.0,27000000.0,34700000.0,43500000.0
Change In Inventory,-83500000.0,-26700000.0,-24600000.0,32600000.0
Change In Receivables,-47800000.0,-65900000.0,-25900000.0,-13500000.0
Other Non Cash Items,-7000000.0,-23500000.0,-19600000.0,4700000.0
Stock Based Compensation,23900000.0,19100000.0,18000000.0,20000000.0
Asset Impairment Charge,0.0,0.0,2900000.0,7100000.0
Deferred Tax,31800000.0,44800000.0,11900000.0,9600000.0
Deferred Income Tax,31800000.0,44800000.0,11900000.0,9600000.0
Depreciation Amortization Depletion,159500000.0,154100000.0,144300000.0,114500000.0
Operating Gains Losses,-34600000.0,-200700000.0,-10300000.0,-6400000.0
Gain Loss On Sale Of PPE,-28200000.0,-11700000.0,-10300000.0,-6400000.0
Gain Loss On Sale Of Business,-6400000.0,-189000000.0,0.0,0.0
Net Income From Continuing Operations,159200000.0,245800000.0,69600000.0,106600000.0
