,2024-03-31,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,-85464000.0,-142480000.0,-263659000.0,-690956000.0
Repayment Of Debt,-100304000.0,-170831000.0,-122920000.0,-124047000.0
Issuance Of Debt,14544000.0,0.0,0.0,88140000.0
Issuance Of Capital Stock,37926000.0,350188000.0,666026000.0,575506000.0
Capital Expenditure,-16956000.0,-32213000.0,-53082000.0,-348814000.0
Interest Paid Supplemental Data,11700000.0,27725000.0,34157000.0,47904000.0
End Cash Position,113439000.0,437807000.0,421457000.0,162179000.0
Other Cash Adjustment Outside Changein Cash,118000.0,,,
Beginning Cash Position,234942000.0,421457000.0,162179000.0,172727000.0
Effect Of Exchange Rate Changes,297000.0,15009000.0,-25194000.0,-5538000.0
Changes In Cash,-121918000.0,1341000.0,284472000.0,-5010000.0
Financing Cash Flow,-47923000.0,147779000.0,521954000.0,582562000.0
Cash From Discontinued Financing Activities,-89000.0,0.0,-331000.0,-1314000.0
Cash Flow From Continuing Financing Activities,-47834000.0,147779000.0,522285000.0,583876000.0
Net Other Financing Charges,,-31578000.0,-20821000.0,44277000.0
Net Common Stock Issuance,37926000.0,350188000.0,666026000.0,575506000.0
Common Stock Issuance,37926000.0,350188000.0,666026000.0,575506000.0
Net Issuance Payments Of Debt,-85760000.0,-170831000.0,-122920000.0,-35907000.0
Net Short Term Debt Issuance,,,,0.0
Short Term Debt Payments,,,,0.0
Net Long Term Debt Issuance,-85760000.0,-170831000.0,-122920000.0,-35907000.0
Long Term Debt Payments,-100304000.0,-170831000.0,-122920000.0,-124047000.0
Long Term Debt Issuance,14544000.0,0.0,0.0,88140000.0
Investing Cash Flow,-5487000.0,-36171000.0,-26905000.0,-245430000.0
Cash From Discontinued Investing Activities,-255000.0,0.0,1543000.0,25125000.0
Cash Flow From Continuing Investing Activities,-5232000.0,-36171000.0,-28448000.0,-270555000.0
Net Other Investing Changes,,-185000.0,-6000000.0,-39711000.0
Dividends Received Cfi,,,,0.0
Net Investment Purchase And Sale,4993000.0,0.0,11393000.0,88843000.0
Sale Of Investment,4993000.0,0.0,18064000.0,90843000.0
Purchase Of Investment,,0.0,-6671000.0,-2000000.0
Net Business Purchase And Sale,-5545000.0,-23421000.0,0.0,27880000.0
Sale Of Business,,,0.0,27880000.0
Purchase Of Business,-5545000.0,-23421000.0,0.0,
Net PPE Purchase And Sale,-4680000.0,-12565000.0,-33841000.0,-347567000.0
Sale Of PPE,12276000.0,19648000.0,19241000.0,1247000.0
Purchase Of PPE,-16956000.0,-32213000.0,-53082000.0,-348814000.0
Capital Expenditure Reported,,,,-355006000.0
Operating Cash Flow,-68508000.0,-110267000.0,-210577000.0,-342142000.0
Cash From Discontinued Operating Activities,-4321000.0,0.0,-3001000.0,-24541000.0
Cash Flow From Continuing Operating Activities,-64187000.0,-110267000.0,-207576000.0,-317601000.0
Change In Working Capital,-15627000.0,52652000.0,397000.0,7593000.0
Change In Other Working Capital,133000.0,1894000.0,-342000.0,-2584000.0
Change In Other Current Liabilities,-25000.0,1584000.0,10921000.0,
Change In Payables And Accrued Expense,-14469000.0,7096000.0,-28281000.0,-19009000.0
Change In Payable,-14469000.0,7096000.0,-28281000.0,-19009000.0
Change In Account Payable,-15699000.0,6765000.0,-28294000.0,-22547000.0
Change In Tax Payable,1230000.0,331000.0,13000.0,3538000.0
Change In Income Tax Payable,1230000.0,331000.0,13000.0,3538000.0
Change In Prepaid Assets,-548000.0,2675000.0,2277000.0,346000.0
Change In Inventory,3615000.0,21068000.0,8451000.0,-26319000.0
Change In Receivables,-4333000.0,18335000.0,7371000.0,55159000.0
Changes In Account Receivables,-4333000.0,18335000.0,7371000.0,55159000.0
Other Non Cash Items,-70841000.0,-22554000.0,28059000.0,65818000.0
Stock Based Compensation,12717000.0,13757000.0,20243000.0,59176000.0
Asset Impairment Charge,37100000.0,1474305000.0,342149000.0,2760019000.0
Deferred Tax,-1667000.0,-2193000.0,-6443000.0,-77135000.0
Deferred Income Tax,-1667000.0,-2193000.0,-6443000.0,-77135000.0
Depreciation Amortization Depletion,33071000.0,93660000.0,98076000.0,114720000.0
Depreciation And Amortization,33071000.0,93660000.0,98076000.0,114720000.0
Amortization Cash Flow,901000.0,33486000.0,37473000.0,40577000.0
Amortization Of Intangibles,901000.0,33486000.0,37473000.0,40577000.0
Depreciation,32170000.0,60174000.0,60603000.0,74143000.0
Operating Gains Losses,105000.0,-1915000.0,3420000.0,9707000.0
Net Foreign Currency Exchange Gain Loss,105000.0,-1915000.0,3420000.0,9707000.0
Net Income From Continuing Operations,-59045000.0,-1717979000.0,-693477000.0,-3257499000.0
