,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2612934.0,4260592.0,-3518883.931639,5685660.0
Tax Rate For Calcs,0.306,0.218,0.322419,0.27
Normalized EBITDA,166524000.0,143634000.0,116868000.0,18898000.0
Total Unusual Items,-8539000.0,19544000.0,-10914000.0,21058000.0
Total Unusual Items Excluding Goodwill,-8539000.0,19544000.0,-10914000.0,21058000.0
Net Income From Continuing Operation Net Minority Interest,45603000.0,74102000.0,31559000.0,-410000.0
Reconciled Depreciation,59117000.0,46779000.0,46676000.0,43577000.0
Reconciled Cost Of Revenue,817195000.0,670901000.0,494032000.0,211086000.0
EBITDA,157985000.0,163178000.0,105954000.0,39956000.0
EBIT,98868000.0,116399000.0,59278000.0,-3621000.0
Net Interest Income,-33144000.0,-21637000.0,-12702000.0,-13707000.0
Interest Expense,33144000.0,21637000.0,12702000.0,13707000.0
Normalized Income,51529066.0,58818592.0,38954116.068361,-15782340.0
Net Income From Continuing And Discontinued Operation,45603000.0,74102000.0,31559000.0,-410000.0
Total Expenses,1063013000.0,872942000.0,664515000.0,341031000.0
Total Operating Income As Reported,107407000.0,96855000.0,70192000.0,-24679000.0
Diluted Average Shares,86803000.0,91229000.0,94638000.0,93379508.0
Basic Average Shares,85949000.0,90629000.0,93781000.0,93379508.0
Diluted EPS,0.53,0.81,0.33,-0.139045
Basic EPS,0.53,0.82,0.34,-0.139045
Diluted NI Availto Com Stockholders,45603000.0,74102000.0,31559000.0,-410000.0
Net Income Common Stockholders,45603000.0,74102000.0,31559000.0,-410000.0
Net Income,45603000.0,74102000.0,31559000.0,-410000.0
Net Income Including Noncontrolling Interests,45603000.0,74102000.0,31559000.0,-410000.0
Net Income Continuous Operations,45603000.0,74102000.0,31559000.0,-410000.0
Tax Provision,20121000.0,20660000.0,15017000.0,-16918000.0
Pretax Income,65724000.0,94762000.0,46576000.0,-17328000.0
Other Income Expense,-8539000.0,19544000.0,-10914000.0,21058000.0
Special Income Charges,-8539000.0,19544000.0,-10914000.0,8484000.0
Other Special Charges,,,1152000.0,
Restructuring And Mergern Acquisition,8539000.0,-19544000.0,9762000.0,-8484000.0
Gain On Sale Of Security,,,,12574000.0
Net Non Operating Interest Income Expense,-33144000.0,-21637000.0,-12702000.0,-13707000.0
Interest Expense Non Operating,33144000.0,21637000.0,12702000.0,13707000.0
Operating Income,107407000.0,96855000.0,70192000.0,-24679000.0
Operating Expense,245818000.0,202041000.0,170483000.0,129945000.0
Other Operating Expenses,6453000.0,9320000.0,12989000.0,8948000.0
Depreciation Amortization Depletion Income Statement,59117000.0,46779000.0,46676000.0,43577000.0
Depreciation And Amortization In Income Statement,59117000.0,46779000.0,46676000.0,43577000.0
Amortization,21211000.0,17484000.0,22040000.0,22608000.0
Amortization Of Intangibles Income Statement,21211000.0,17484000.0,22040000.0,22608000.0
Depreciation Income Statement,37906000.0,29295000.0,24636000.0,20969000.0
Selling General And Administration,180248000.0,145942000.0,110818000.0,77420000.0
General And Administrative Expense,180248000.0,145942000.0,110818000.0,77420000.0
Other Gand A,180248000.0,145942000.0,110818000.0,77420000.0
Gross Profit,353225000.0,298896000.0,240675000.0,105266000.0
Cost Of Revenue,817195000.0,670901000.0,494032000.0,211086000.0
Total Revenue,1170420000.0,969797000.0,734707000.0,316352000.0
Operating Revenue,1150899000.0,953736000.0,722451000.0,309767000.0
