,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,91263989.0,89913659.0,89028158.0,88024395.0
Share Issued,91263989.0,89913659.0,89028158.0,88024395.0
Net Debt,1271694000.0,1288142000.0,1363407000.0,2743729000.0
Total Debt,1499833000.0,1529673000.0,1638399000.0,3257559000.0
Tangible Book Value,482734000.0,513881000.0,247407000.0,-274343000.0
Invested Capital,4153741000.0,4198518000.0,4014709000.0,5021882000.0
Working Capital,-289781000.0,117799000.0,90170000.0,1215210000.0
Net Tangible Assets,482734000.0,513881000.0,247407000.0,-274343000.0
Capital Lease Obligations,128066000.0,143882000.0,141179000.0,135133000.0
Common Stock Equity,2781974000.0,2812727000.0,2517489000.0,1899456000.0
Total Capitalization,4124522000.0,4177268000.0,3996115000.0,4868404000.0
Total Equity Gross Minority Interest,2887660000.0,2900984000.0,2582877000.0,1899456000.0
Minority Interest,105686000.0,88257000.0,65388000.0,
Stockholders Equity,2781974000.0,2812727000.0,2517489000.0,1899456000.0
Gains Losses Not Affecting Retained Earnings,,,0.0,-371365000.0
Retained Earnings,131721000.0,153388000.0,-119751000.0,-310386000.0
Additional Paid In Capital,2649340000.0,2658440000.0,2636350000.0,2580327000.0
Capital Stock,913000.0,899000.0,890000.0,880000.0
Common Stock,913000.0,899000.0,890000.0,880000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2471181000.0,2086917000.0,2185201000.0,4599906000.0
Total Non Current Liabilities Net Minority Interest,1585400000.0,1698591000.0,1780340000.0,3291721000.0
Other Non Current Liabilities,140113000.0,125033000.0,110505000.0,133412000.0
Liabilities Heldfor Sale Non Current,,,,0.0
Preferred Securities Outside Stock Equity,,,65388000.0,55315000.0
Derivative Product Liabilities,,,,0.0
Non Current Deferred Liabilities,1931000.0,92588000.0,74368000.0,50017000.0
Non Current Deferred Taxes Liabilities,1931000.0,92588000.0,74368000.0,50017000.0
Long Term Debt And Capital Lease Obligation,1443356000.0,1480970000.0,1595467000.0,3052977000.0
Long Term Capital Lease Obligation,100808000.0,116429000.0,116841000.0,84029000.0
Long Term Debt,1342548000.0,1364541000.0,1478626000.0,2968948000.0
Current Liabilities,885781000.0,388326000.0,404861000.0,1308185000.0
Other Current Liabilities,,,,744611000.0
Current Deferred Liabilities,2165000.0,6653000.0,30371000.0,35946000.0
Current Deferred Revenue,2165000.0,6653000.0,30371000.0,35946000.0
Current Debt And Capital Lease Obligation,56477000.0,48703000.0,42932000.0,204582000.0
Current Capital Lease Obligation,27258000.0,27453000.0,24338000.0,51104000.0
Current Debt,29219000.0,21250000.0,18594000.0,153478000.0
Other Current Borrowings,29219000.0,21250000.0,18594000.0,153478000.0
Payables And Accrued Expenses,827139000.0,332970000.0,331558000.0,323046000.0
Current Accrued Expenses,654645000.0,204162000.0,212581000.0,212123000.0
Interest Payable,18046000.0,17596000.0,17418000.0,40479000.0
Payables,172494000.0,128808000.0,118977000.0,110923000.0
Other Payable,9265000.0,13738000.0,6487000.0,
Total Tax Payable,7097000.0,10347000.0,13915000.0,23108000.0
Income Tax Payable,0.0,1338000.0,5540000.0,16345000.0
Accounts Payable,156132000.0,104723000.0,98575000.0,87815000.0
Total Assets,5358841000.0,4987901000.0,4768078000.0,6499362000.0
Total Non Current Assets,4762841000.0,4481776000.0,4273047000.0,3975967000.0
Other Non Current Assets,72553000.0,92697000.0,94965000.0,79126000.0
Non Current Deferred Assets,6658000.0,2950000.0,3080000.0,3209000.0
Non Current Deferred Taxes Assets,6658000.0,2950000.0,3080000.0,3209000.0
Goodwill And Other Intangible Assets,2299240000.0,2298846000.0,2270082000.0,2173799000.0
Other Intangible Assets,73278000.0,76041000.0,70145000.0,68535000.0
Goodwill,2225962000.0,2222805000.0,2199937000.0,2105264000.0
Net PPE,2384390000.0,2087283000.0,1904920000.0,1719833000.0
Accumulated Depreciation,-767346000.0,-656574000.0,-541126000.0,-449643000.0
Gross PPE,3151736000.0,2743857000.0,2446046000.0,2169476000.0
Construction In Progress,420430000.0,349473000.0,221249000.0,217479000.0
Other Properties,483606000.0,427438000.0,386861000.0,317627000.0
Machinery Furniture Equipment,,,253100000.0,220690000.0
Buildings And Improvements,2064353000.0,1797809000.0,1683560000.0,1490149000.0
Land And Improvements,183347000.0,169137000.0,154376000.0,144221000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,596000000.0,506125000.0,495031000.0,2523395000.0
Other Current Assets,1516000.0,2255000.0,1884000.0,1469000.0
Assets Held For Sale Current,11496000.0,8347000.0,15808000.0,1809815000.0
Prepaid Assets,48085000.0,39052000.0,34292000.0,31480000.0
Inventory,5300000.0,5087000.0,4786000.0,4851000.0
Receivables,429530000.0,353735000.0,304448000.0,297083000.0
Other Receivables,55663000.0,25529000.0,21593000.0,22635000.0
Taxes Receivable,12416000.0,5767000.0,1523000.0,897000.0
Accounts Receivable,361451000.0,322439000.0,281332000.0,273551000.0
Cash Cash Equivalents And Short Term Investments,100073000.0,97649000.0,133813000.0,378697000.0
Cash And Cash Equivalents,100073000.0,97649000.0,133813000.0,378697000.0
