,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,132552407.0,136210883.0,138933907.0,143168815.0,
Share Issued,132552407.0,136210883.0,138933907.0,143168815.0,
Net Debt,936377000.0,942617000.0,1033083000.0,982382000.0,
Total Debt,3027827000.0,2751674000.0,2800600000.0,2890637000.0,
Tangible Book Value,-1302850000.0,-1224398000.0,-939707000.0,-844929000.0,
Invested Capital,4701459000.0,4415155000.0,4681946000.0,4924048000.0,
Working Capital,801978000.0,319228000.0,418639000.0,651828000.0,
Net Tangible Assets,-1302850000.0,-1224398000.0,-939707000.0,-844929000.0,
Capital Lease Obligations,510573000.0,548851000.0,595308000.0,679059000.0,
Common Stock Equity,2184205000.0,2212332000.0,2476654000.0,2712470000.0,
Total Capitalization,4634535000.0,4325701000.0,4633340000.0,4870210000.0,
Total Equity Gross Minority Interest,2370410000.0,2383711000.0,2605379000.0,2829577000.0,
Minority Interest,186205000.0,171379000.0,128725000.0,117107000.0,
Stockholders Equity,2184205000.0,2212332000.0,2476654000.0,2712470000.0,
Gains Losses Not Affecting Retained Earnings,-882671000.0,-926577000.0,-979675000.0,-900377000.0,
Other Equity Adjustments,-882671000.0,-926577000.0,-979675000.0,-900377000.0,
Retained Earnings,-1281647000.0,-1103976000.0,-701654000.0,-504126000.0,
Additional Paid In Capital,4347197000.0,4241523000.0,4156594000.0,4115541000.0,
Capital Stock,1326000.0,1362000.0,1389000.0,1432000.0,
Common Stock,1326000.0,1362000.0,1389000.0,1432000.0,
Total Liabilities Net Minority Interest,9691259000.0,8849687000.0,8533936000.0,8904377000.0,
Total Non Current Liabilities Net Minority Interest,3317178000.0,2999404000.0,3129765000.0,3382662000.0,
Other Non Current Liabilities,156406000.0,123846000.0,135795000.0,145444000.0,
Liabilities Heldfor Sale Non Current,0.0,792000.0,200000.0,11095000.0,
Employee Benefits,172360000.0,195586000.0,232552000.0,383904000.0,
Non Current Pension And Other Postretirement Benefit Plans,172360000.0,195586000.0,232552000.0,383904000.0,
Non Current Deferred Liabilities,27509000.0,16960000.0,9224000.0,5420000.0,
Non Current Deferred Taxes Liabilities,27509000.0,16960000.0,9224000.0,5420000.0,
Long Term Debt And Capital Lease Obligation,2960903000.0,2662220000.0,2751994000.0,2836799000.0,
Long Term Capital Lease Obligation,510573000.0,548851000.0,595308000.0,679059000.0,
Long Term Debt,2450330000.0,2113369000.0,2156686000.0,2157740000.0,
Current Liabilities,6374081000.0,5850283000.0,5404171000.0,5521715000.0,
Other Current Liabilities,35590000.0,45671000.0,49257000.0,94044000.0,
Current Deferred Liabilities,1298327000.0,1188742000.0,1051258000.0,1058643000.0,
Current Deferred Revenue,1298327000.0,1188742000.0,1051258000.0,1058643000.0,
Current Debt And Capital Lease Obligation,66924000.0,89454000.0,48606000.0,53838000.0,
Current Debt,66924000.0,89454000.0,48606000.0,53838000.0,
Payables And Accrued Expenses,4973240000.0,4526416000.0,4255050000.0,4315190000.0,
Current Accrued Expenses,2385700000.0,2287500000.0,2181400000.0,2174200000.0,
Payables,2587540000.0,2238916000.0,2073650000.0,2140990000.0,
Total Tax Payable,27418000.0,48161000.0,46336000.0,50511000.0,
Income Tax Payable,27418000.0,48161000.0,46336000.0,50511000.0,
Accounts Payable,2560122000.0,2190755000.0,2027314000.0,2090479000.0,
Total Assets,12061669000.0,11233398000.0,11139315000.0,11733954000.0,
Total Non Current Assets,4885601000.0,5063880000.0,5316514000.0,5560468000.0,
Other Non Current Assets,147228000.0,218666000.0,293043000.0,307927000.0,
Non Current Deferred Assets,326685000.0,439604000.0,284154000.0,360260000.0,
Non Current Deferred Taxes Assets,326685000.0,439604000.0,284154000.0,360260000.0,
Investments And Advances,138067000.0,139236000.0,354983000.0,328906000.0,
Long Term Equity Investment,138067000.0,139236000.0,354983000.0,328906000.0,
Investmentsin Joint Venturesat Cost,138067000.0,139236000.0,354983000.0,328906000.0,
Goodwill And Other Intangible Assets,3487055000.0,3436730000.0,3416361000.0,3557399000.0,
Other Intangible Assets,6900000.0,17800000.0,35600000.0,54900000.0,
Goodwill,3480155000.0,3418930000.0,3380761000.0,3502499000.0,
Net PPE,786566000.0,829644000.0,967973000.0,1005976000.0,
Accumulated Depreciation,-706800000.0,-771800000.0,-696600000.0,-681500000.0,
Gross PPE,1493366000.0,1601444000.0,1664573000.0,1687476000.0,
Leases,299300000.0,329400000.0,339700000.0,351200000.0,
Other Properties,432166000.0,447044000.0,539773000.0,607076000.0,
Machinery Furniture Equipment,751800000.0,814600000.0,775200000.0,714800000.0,
Buildings And Improvements,10100000.0,10400000.0,9900000.0,14400000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,7176059000.0,6169511000.0,5822810000.0,6173543000.0,
Other Current Assets,758700000.0,730098000.0,759414000.0,739035000.0,
Assets Held For Sale Current,77224000.0,95221000.0,79000000.0,139426000.0,
Prepaid Assets,,,759402000.0,739044000.0,691707000.0
Receivables,4759258000.0,4083986000.0,3812187000.0,4065886000.0,
Receivables Adjustments Allowances,,,,,-77900000.0
Other Receivables,1806458000.0,1525051000.0,1405299000.0,1369031000.0,
Taxes Receivable,159500000.0,14435000.0,89088000.0,77355000.0,
Accounts Receivable,2793300000.0,2544500000.0,2317800000.0,2619500000.0,
Allowance For Doubtful Accounts Receivable,-87900000.0,-94200000.0,-104000000.0,-92800000.0,
Gross Accounts Receivable,2881200000.0,2638700000.0,2421800000.0,2712300000.0,
Cash Cash Equivalents And Short Term Investments,1580877000.0,1260206000.0,1172209000.0,1229196000.0,
Cash And Cash Equivalents,1580877000.0,1260206000.0,1172209000.0,1229196000.0,
Cash Financial,1580877000.0,1260206000.0,1172209000.0,1229196000.0,
