,2024-10-31,2023-10-31,2022-10-31,2021-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.0,0.27
Net Income From Continuing Operation Net Minority Interest,77913516.0,30270008.0,-59724956.0,34987321.0
Net Interest Income,49440510.0,30703596.0,25949868.0,21954948.0
Interest Expense,10785324.0,6767736.0,2512850.0,1356522.0
Interest Income,60225834.0,37471332.0,28462718.0,23311470.0
Normalized Income,77913516.0,30270008.0,-59724956.0,34987321.0
Net Income From Continuing And Discontinued Operation,77913516.0,30270008.0,-59724956.0,34987321.0
Diluted Average Shares,61135228.0,52109950.0,24917657.0,23261845.0
Basic Average Shares,61135228.0,52109950.0,24917657.0,23261845.0
Diluted EPS,1.24,1.04,-2.48,2.09
Basic EPS,1.24,1.04,-2.48,2.09
Diluted NI Availto Com Stockholders,75807683.0,28170008.0,-61795789.0,33966488.0
Net Income Common Stockholders,75807683.0,28170008.0,-61795789.0,33966488.0
Preferred Stock Dividends,2105833.0,2100000.0,2070833.0,1020833.0
Net Income,77913516.0,30270008.0,-59724956.0,34987321.0
Net Income Including Noncontrolling Interests,77913516.0,30270008.0,-59724956.0,34987321.0
Net Income Continuous Operations,77913516.0,30270008.0,-59724956.0,34987321.0
Pretax Income,77913516.0,30270008.0,-59724956.0,34987321.0
Gain On Sale Of Security,-20361823.0,-57360787.0,4408369.0,5191028.0
Operating Expense,1391267.0,1273493.0,723521.0,778899.0
Other Operating Expenses,-752115.0,-196008.0,-490323.0,-308773.0
Selling General And Administration,2143382.0,1469501.0,1213844.0,1087672.0
General And Administrative Expense,2143382.0,1469501.0,1213844.0,1087672.0
Total Revenue,79304783.0,31543501.0,-59001435.0,35766220.0
Operating Revenue,79304783.0,31543501.0,-59001435.0,35766220.0
