,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,6045270.0,-16717870.0,22959720.0,36959760.0
Tax Rate For Calcs,0.21,0.13,0.14,0.27
Normalized EBITDA,55297000.0,21395000.0,29264000.0,-13880000.0
Total Unusual Items,28787000.0,-128599000.0,163998000.0,136888000.0
Total Unusual Items Excluding Goodwill,28787000.0,-128599000.0,163998000.0,136888000.0
Net Income From Continuing Operation Net Minority Interest,67060000.0,-125065000.0,149197000.0,109231000.0
Reconciled Depreciation,14728000.0,13514000.0,10688000.0,4800000.0
Reconciled Cost Of Revenue,52829000.0,37388000.0,36098000.0,24824000.0
EBITDA,84084000.0,-107204000.0,193262000.0,123008000.0
EBIT,69356000.0,-120718000.0,182574000.0,118208000.0
Net Interest Income,13536000.0,-990000.0,-7421000.0,-9298000.0
Interest Expense,1930000.0,6432000.0,7922000.0,10136000.0
Interest Income,15466000.0,5442000.0,501000.0,838000.0
Normalized Income,44318270.0,-13183870.0,8158720.0,9302760.0
Net Income From Continuing And Discontinued Operation,67060000.0,-125065000.0,149197000.0,109231000.0
Total Expenses,104166000.0,99315000.0,73502000.0,49300000.0
Total Operating Income As Reported,20936000.0,-40092000.0,14545000.0,-19518000.0
Diluted Average Shares,92411818.0,42460504.0,98470870.0,57435128.0
Basic Average Shares,75296025.0,42460504.0,48797290.0,48840829.0
Diluted EPS,0.58,-3.13,1.91,1.54
Basic EPS,0.73,-3.13,2.43,1.85
Diluted NI Availto Com Stockholders,53208000.0,-133035000.0,188224000.0,84894000.0
Average Dilution Earnings,-1932000.0,0.0,69420000.0,-1952000.0
Net Income Common Stockholders,55140000.0,-133035000.0,118804000.0,86846000.0
Otherunder Preferred Stock Dividend,10520000.0,5171000.0,28941000.0,21004000.0
Preferred Stock Dividends,1400000.0,2799000.0,1452000.0,1381000.0
Net Income,67060000.0,-125065000.0,149197000.0,109231000.0
Minority Interests,-1870000.0,-14126000.0,-1168000.0,0.0
Net Income Including Noncontrolling Interests,68930000.0,-110939000.0,150365000.0,109231000.0
Net Income Continuous Operations,68930000.0,-110939000.0,150365000.0,109231000.0
Tax Provision,-1504000.0,-16211000.0,24287000.0,-1159000.0
Pretax Income,67426000.0,-127150000.0,174652000.0,108072000.0
Other Income Expense,32954000.0,-86068000.0,167528000.0,136888000.0
Special Income Charges,,,,0.0
Gain On Sale Of Business,,,,0.0
Earnings From Equity Interest,4167000.0,42531000.0,3530000.0,0.0
Gain On Sale Of Security,28787000.0,-128599000.0,163998000.0,136888000.0
Net Non Operating Interest Income Expense,13536000.0,-990000.0,-7421000.0,-9298000.0
Interest Expense Non Operating,1930000.0,6432000.0,7922000.0,10136000.0
Interest Income Non Operating,15466000.0,5442000.0,501000.0,838000.0
Operating Income,20936000.0,-40092000.0,14545000.0,-19518000.0
Operating Expense,51337000.0,61927000.0,37404000.0,24476000.0
Research And Development,735000.0,626000.0,200000.0,0.0
Selling General And Administration,50602000.0,61301000.0,37204000.0,24476000.0
Selling And Marketing Expense,6908000.0,8621000.0,1538000.0,0.0
General And Administrative Expense,43694000.0,52680000.0,35666000.0,24476000.0
Other Gand A,43694000.0,52680000.0,35666000.0,24476000.0
Salaries And Wages,,,,1662000.0
Gross Profit,72273000.0,21835000.0,51949000.0,4958000.0
Cost Of Revenue,52829000.0,37388000.0,36098000.0,24824000.0
Total Revenue,125102000.0,59223000.0,88047000.0,29782000.0
Operating Revenue,125102000.0,59223000.0,88047000.0,29782000.0
