,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,159344000.0,162779000.0,162840000.0,162840000.0
Share Issued,159344000.0,162779000.0,162840000.0,162840000.0
Net Debt,129733000.0,229055000.0,314588000.0,285368000.0
Total Debt,745416000.0,742830000.0,740416000.0,738162000.0
Tangible Book Value,4632347000.0,4100908000.0,4105523000.0,3881811000.0
Invested Capital,5377763000.0,4843738000.0,4845939000.0,4619973000.0
Net Tangible Assets,4632347000.0,4100908000.0,4105523000.0,3881811000.0
Common Stock Equity,4632347000.0,4100908000.0,4105523000.0,3881811000.0
Total Capitalization,5377763000.0,4843738000.0,4845939000.0,4619973000.0
Total Equity Gross Minority Interest,4632347000.0,4100908000.0,4105523000.0,3881811000.0
Stockholders Equity,4632347000.0,4100908000.0,4105523000.0,3881811000.0
Gains Losses Not Affecting Retained Earnings,-230400000.0,-382744000.0,83581000.0,208378000.0
Other Equity Adjustments,-230400000.0,-382744000.0,83581000.0,208378000.0
Retained Earnings,2550263000.0,2099956000.0,1648453000.0,1303106000.0
Additional Paid In Capital,2310891000.0,2382068000.0,2371861000.0,2368699000.0
Capital Stock,1593000.0,1628000.0,1628000.0,1628000.0
Common Stock,1593000.0,1628000.0,1628000.0,1628000.0
Total Liabilities Net Minority Interest,1558126000.0,1608241000.0,1760250000.0,1770899000.0
Non Current Deferred Liabilities,,-7170000.0,1586000.0,36811000.0
Non Current Deferred Revenue,,-7170000.0,-9584000.0,
Non Current Deferred Taxes Liabilities,,,1586000.0,36811000.0
Long Term Debt And Capital Lease Obligation,745416000.0,742830000.0,740416000.0,738162000.0
Long Term Debt,745416000.0,742830000.0,740416000.0,738162000.0
Total Assets,6190473000.0,5709149000.0,5865773000.0,5652710000.0
Investments And Advances,5286360000.0,4887807000.0,5266339000.0,5046596000.0
Receivables,45070000.0,41738000.0,42266000.0,46464000.0
Accounts Receivable,45070000.0,41738000.0,42266000.0,46464000.0
Cash Cash Equivalents And Short Term Investments,5902043000.0,5401582000.0,5692167000.0,5499390000.0
Other Short Term Investments,5286360000.0,4887807000.0,5266339000.0,5046596000.0
Cash And Cash Equivalents,615683000.0,513775000.0,425828000.0,452794000.0
