,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,2764113.66,0.0,350804.7,0.0
Tax Rate For Calcs,0.22,0.17,0.1,0.18
Normalized EBITDA,18334523.0,10636660.0,16637426.0,14523071.0
Total Unusual Items,12564153.0,0.0,3508047.0,0.0
Total Unusual Items Excluding Goodwill,12564153.0,0.0,3508047.0,0.0
Net Income From Continuing Operation Net Minority Interest,17793160.0,3034766.0,13655679.0,8098766.0
Reconciled Depreciation,5067591.0,4577784.0,4048574.0,3751980.0
Reconciled Cost Of Revenue,119290712.0,130403572.0,117287202.0,104408326.0
EBITDA,30898676.0,10636660.0,20145473.0,14523071.0
EBIT,25831085.0,6058876.0,16096899.0,10771091.0
Net Interest Income,-2977164.0,-2364461.0,-908223.0,-919709.0
Interest Expense,3096481.0,2396431.0,921965.0,944363.0
Interest Income,119317.0,31970.0,13742.0,24654.0
Normalized Income,7993120.66,3034766.0,10498436.7,8098766.0
Net Income From Continuing And Discontinued Operation,17793160.0,3034766.0,13655679.0,8098766.0
Total Expenses,178312330.0,187689055.0,169317572.0,152590376.0
Total Operating Income As Reported,13188617.0,6273302.0,12769987.0,11412664.0
Diluted Average Shares,3658000.0,3719000.0,3955000.0,3509497.0
Basic Average Shares,3572000.0,3528000.0,3471000.0,3342630.0
Diluted EPS,4.86,0.82,3.45,2.31
Basic EPS,4.98,0.86,3.93,2.42
Diluted NI Availto Com Stockholders,17793160.0,3034766.0,13655679.0,8098766.0
Net Income Common Stockholders,17793160.0,3034766.0,13655679.0,8098766.0
Net Income,17793160.0,3034766.0,13655679.0,8098766.0
Net Income Including Noncontrolling Interests,17793160.0,3034766.0,13655679.0,8098766.0
Net Income Continuous Operations,17793160.0,3034766.0,13655679.0,8098766.0
Tax Provision,4941444.0,627679.0,1519255.0,1727962.0
Pretax Income,22734604.0,3662445.0,15174934.0,9826728.0
Other Income Expense,12523151.0,-246396.0,3313170.0,-666227.0
Other Non Operating Income Expenses,-41002.0,-246396.0,-194877.0,-666227.0
Special Income Charges,12564153.0,0.0,3508047.0,0.0
Gain On Sale Of Business,12564153.0,0.0,,
Other Special Charges,,,-3508047.0,
Net Non Operating Interest Income Expense,-2977164.0,-2364461.0,-908223.0,-919709.0
Interest Expense Non Operating,3096481.0,2396431.0,921965.0,944363.0
Interest Income Non Operating,119317.0,31970.0,13742.0,24654.0
Operating Income,13188617.0,6273302.0,12769987.0,11412664.0
Operating Expense,59021618.0,57285483.0,52030370.0,48182050.0
Selling General And Administration,59021618.0,57285483.0,52030370.0,48182050.0
Gross Profit,72210235.0,63558785.0,64800357.0,59594714.0
Cost Of Revenue,119290712.0,130403572.0,117287202.0,104408326.0
Total Revenue,191500947.0,193962357.0,182087559.0,164003040.0
Operating Revenue,191500947.0,193962357.0,182087559.0,164003040.0
