,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,4300786.0,3601877.0,3767959.0,3552001.0
Ordinary Shares Number,21537571.0,21989754.0,22058087.0,22305146.0
Share Issued,25592136.0,25591631.0,25592172.0,25623273.0
Tangible Book Value,903456000.0,886677000.0,933583000.0,895419000.0
Invested Capital,906975000.0,890196000.0,937102000.0,898938000.0
Working Capital,426170000.0,408752000.0,568691000.0,547011000.0
Net Tangible Assets,903456000.0,886677000.0,933583000.0,895419000.0
Common Stock Equity,906975000.0,890196000.0,937102000.0,898938000.0
Total Capitalization,906975000.0,890196000.0,937102000.0,898938000.0
Total Equity Gross Minority Interest,913078000.0,900389000.0,935346000.0,901389000.0
Minority Interest,6103000.0,10193000.0,-1756000.0,2451000.0
Stockholders Equity,906975000.0,890196000.0,937102000.0,898938000.0
Treasury Stock,140328000.0,124002000.0,121427000.0,113783000.0
Retained Earnings,48231000.0,15126000.0,68435000.0,13649000.0
Additional Paid In Capital,999047000.0,999047000.0,990069000.0,999047000.0
Capital Stock,25000.0,25000.0,25000.0,25000.0
Common Stock,25000.0,25000.0,25000.0,25000.0
Preferred Stock,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,30719000.0,27301000.0,267990000.0,273156000.0
Total Non Current Liabilities Net Minority Interest,5918000.0,2874000.0,220641000.0,224399000.0
Other Non Current Liabilities,5918000.0,2874000.0,12905000.0,17571000.0
Preferred Securities Outside Stock Equity,,10193000.0,202456000.0,206828000.0
Derivative Product Liabilities,,0.0,5280000.0,0.0
Current Liabilities,24801000.0,24427000.0,47349000.0,48757000.0
Payables And Accrued Expenses,24801000.0,24427000.0,47349000.0,48757000.0
Current Accrued Expenses,5173000.0,2707000.0,3580000.0,5635000.0
Payables,19628000.0,21720000.0,43769000.0,43122000.0
Other Payable,15169000.0,13936000.0,25855000.0,24692000.0
Dueto Related Parties Current,,,0.0,2188000.0
Total Tax Payable,,0.0,8575000.0,9746000.0
Income Tax Payable,,0.0,8575000.0,9746000.0
Accounts Payable,4459000.0,7784000.0,9339000.0,6496000.0
Total Assets,943797000.0,927690000.0,1203336000.0,1174545000.0
Total Non Current Assets,492826000.0,494511000.0,587296000.0,578777000.0
Other Non Current Assets,22999000.0,18699000.0,21682000.0,28565000.0
Non Current Deferred Assets,,,0.0,2207000.0
Non Current Deferred Taxes Assets,,,0.0,2207000.0
Investments And Advances,466308000.0,472293000.0,562095000.0,544486000.0
Investmentin Financial Assets,196583000.0,195585000.0,273087000.0,249887000.0
Available For Sale Securities,196583000.0,195585000.0,273087000.0,249887000.0
Long Term Equity Investment,269725000.0,276708000.0,289008000.0,294599000.0
Investments In Other Ventures Under Equity Method,269725000.0,276708000.0,289008000.0,294599000.0
Investmentsin Associatesat Cost,126751000.0,126210000.0,134548000.0,170605000.0
Goodwill And Other Intangible Assets,3519000.0,3519000.0,3519000.0,3519000.0
Goodwill,3519000.0,3519000.0,3519000.0,3519000.0
Current Assets,450971000.0,433179000.0,616040000.0,595768000.0
Assets Held For Sale Current,,,,0.0
Restricted Cash,,0.0,175109000.0,175040000.0
Receivables,44329000.0,28716000.0,60887000.0,36766000.0
Other Receivables,14263000.0,,,
Duefrom Related Parties Current,876000.0,2517000.0,,4743000.0
Taxes Receivable,8474000.0,10320000.0,0.0,
Notes Receivable,,2517000.0,10094000.0,4743000.0
Accounts Receivable,20716000.0,15879000.0,50793000.0,32023000.0
Cash Cash Equivalents And Short Term Investments,406642000.0,404463000.0,380044000.0,383962000.0
Other Short Term Investments,89155000.0,186001000.0,60996000.0,344453000.0
Cash And Cash Equivalents,317487000.0,218462000.0,319048000.0,39509000.0
