,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1.0,1.0,94074.0,
Ordinary Shares Number,55145839.0,54065709.0,54595667.0,52724775.0
Share Issued,55145840.0,54065710.0,54689741.0,52724775.0
Total Debt,22306871.0,27971231.0,7489374.0,7980965.0
Tangible Book Value,70559497.0,83090350.0,156558713.0,-89389956.0
Invested Capital,92496753.0,110855764.0,164048087.0,-81408991.0
Working Capital,81988082.0,94235031.0,156131920.0,62951610.0
Net Tangible Assets,70559497.0,83090350.0,156558713.0,-89389956.0
Capital Lease Obligations,369615.0,205817.0,0.0,
Common Stock Equity,70559497.0,83090350.0,156558713.0,-89389956.0
Total Capitalization,84099531.0,97236891.0,159550542.0,-86424393.0
Total Equity Gross Minority Interest,70559497.0,83090350.0,156558713.0,-89389956.0
Stockholders Equity,70559497.0,83090350.0,156558713.0,-89389956.0
Other Equity Interest,,,,-7172192.0
Gains Losses Not Affecting Retained Earnings,-1800088.0,-849305.0,-93981.0,-350981.0
Other Equity Adjustments,-1800088.0,-849305.0,-93981.0,-350981.0
Treasury Stock,4.0,4.0,619605.0,0.0
Retained Earnings,-277751476.0,-258805106.0,-178833259.0,-105655324.0
Additional Paid In Capital,350105518.0,342739268.0,336099931.0,23786652.0
Capital Stock,5547.0,5497.0,5627.0,1889.0
Common Stock,5547.0,5497.0,5627.0,1889.0
Total Liabilities Net Minority Interest,45169341.0,69309495.0,32952013.0,173652693.0
Total Non Current Liabilities Net Minority Interest,13713694.0,14229093.0,3130099.0,157506925.0
Other Non Current Liabilities,,28718.0,94107.0,91955.0
Preferred Securities Outside Stock Equity,,,0.0,154449407.0
Non Current Deferred Liabilities,,0.0,44163.0,0.0
Non Current Deferred Taxes Liabilities,,0.0,44163.0,0.0
Long Term Debt And Capital Lease Obligation,13713694.0,14200375.0,2991829.0,2965563.0
Long Term Capital Lease Obligation,173660.0,53834.0,0.0,
Long Term Debt,13540034.0,14146541.0,2991829.0,2965563.0
Current Liabilities,31455647.0,55080402.0,29821914.0,16145768.0
Other Current Liabilities,119749.0,111915.0,143060.0,145664.0
Current Deferred Liabilities,0.0,15107276.0,5500000.0,725536.0
Current Deferred Revenue,0.0,15107276.0,5500000.0,725536.0
Current Debt And Capital Lease Obligation,8593177.0,13770856.0,4497545.0,5015402.0
Current Capital Lease Obligation,195955.0,151983.0,0.0,
Current Debt,8397222.0,13618873.0,4497545.0,5015402.0
Other Current Borrowings,4161549.0,2850128.0,1376319.0,5015402.0
Line Of Credit,4235673.0,10768745.0,3121226.0,
Payables And Accrued Expenses,22742721.0,26090355.0,19681309.0,10259166.0
Current Accrued Expenses,2371500.0,2751855.0,4173913.0,5849914.0
Payables,20371221.0,23338500.0,15507396.0,4409252.0
Dueto Related Parties Current,16714326.0,19323337.0,10466061.0,2535358.0
Total Tax Payable,563143.0,349039.0,1719720.0,63919.0
Income Tax Payable,52884.0,0.0,1657450.0,0.0
Accounts Payable,3093752.0,3666124.0,3321615.0,1809975.0
Total Assets,115728838.0,152399845.0,189510726.0,84262737.0
Total Non Current Assets,2285109.0,3084412.0,3556892.0,5165359.0
Other Non Current Assets,84885.0,109572.0,69275.0,3098234.0
Net PPE,2200224.0,2974840.0,3487617.0,2067125.0
Accumulated Depreciation,-6708077.0,-5909305.0,-5322264.0,-4290431.0
Gross PPE,8908301.0,8884145.0,8809881.0,6357556.0
Leases,1037675.0,1055271.0,1152743.0,915208.0
Other Properties,1818352.0,1863963.0,1863956.0,962684.0
Machinery Furniture Equipment,5687171.0,5773034.0,5793182.0,4479664.0
Buildings And Improvements,365103.0,191877.0,,
Properties,0.0,0.0,0.0,0.0
Current Assets,113443729.0,149315433.0,185953834.0,79097378.0
Other Current Assets,905425.0,804992.0,619901.0,
Prepaid Assets,2382020.0,4132331.0,3436020.0,3813984.0
Receivables,222027.0,619432.0,7506670.0,132396.0
Duefrom Related Parties Current,222027.0,619432.0,4506670.0,132396.0
Accrued Interest Receivable,,,,0.0
Accounts Receivable,,0.0,3000000.0,0.0
Allowance For Doubtful Accounts Receivable,,0.0,0.0,0.0
Gross Accounts Receivable,,0.0,3000000.0,0.0
Cash Cash Equivalents And Short Term Investments,109934257.0,143758678.0,174391243.0,75150998.0
Other Short Term Investments,,,,0.0
Cash And Cash Equivalents,109934257.0,143758678.0,174391243.0,75150998.0
