,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,1363008102.0,987109890.0,937547934.0,928754958.0
Share Issued,1363008102.0,987109890.0,937547934.0,928754958.0
Total Debt,25235000.0,23077000.0,25468000.0,23711000.0
Tangible Book Value,39183000.0,81436000.0,204960000.0,339497000.0
Invested Capital,39513000.0,81878000.0,205960000.0,341227000.0
Working Capital,134764000.0,190869000.0,352917000.0,359079000.0
Net Tangible Assets,39183000.0,81436000.0,204960000.0,339497000.0
Capital Lease Obligations,25235000.0,23077000.0,25468000.0,23711000.0
Common Stock Equity,39513000.0,81878000.0,205960000.0,341227000.0
Total Capitalization,39513000.0,81878000.0,205960000.0,341227000.0
Total Equity Gross Minority Interest,39513000.0,81878000.0,205960000.0,341227000.0
Stockholders Equity,39513000.0,81878000.0,205960000.0,341227000.0
Gains Losses Not Affecting Retained Earnings,-3748000.0,-875000.0,-11142000.0,-10048000.0
Other Equity Adjustments,-3748000.0,-875000.0,-11142000.0,-10048000.0
Retained Earnings,-1023173000.0,-909302000.0,-743846000.0,-585756000.0
Additional Paid In Capital,1064569000.0,990656000.0,959611000.0,935706000.0
Capital Stock,1865000.0,1399000.0,1337000.0,1325000.0
Common Stock,1865000.0,1399000.0,1337000.0,1325000.0
Total Liabilities Net Minority Interest,243103000.0,247038000.0,263585000.0,109915000.0
Total Non Current Liabilities Net Minority Interest,170315000.0,182537000.0,201044000.0,70842000.0
Other Non Current Liabilities,1404000.0,1296000.0,673000.0,644000.0
Non Current Deferred Liabilities,149060000.0,160892000.0,177223000.0,49260000.0
Non Current Deferred Revenue,149060000.0,160892000.0,177223000.0,49260000.0
Long Term Debt And Capital Lease Obligation,19851000.0,20349000.0,23148000.0,20938000.0
Long Term Capital Lease Obligation,19851000.0,20349000.0,23148000.0,20938000.0
Current Liabilities,72788000.0,64501000.0,62541000.0,39073000.0
Other Current Liabilities,51000.0,2155000.0,327000.0,47000.0
Current Deferred Liabilities,28973000.0,23520000.0,22199000.0,2832000.0
Current Deferred Revenue,28973000.0,23520000.0,22199000.0,2832000.0
Current Debt And Capital Lease Obligation,5384000.0,2728000.0,2320000.0,2773000.0
Current Capital Lease Obligation,5384000.0,2728000.0,2320000.0,2773000.0
Pensionand Other Post Retirement Benefit Plans Current,13226000.0,8232000.0,11758000.0,11825000.0
Current Provisions,,2285000.0,,
Payables And Accrued Expenses,25154000.0,25581000.0,25937000.0,21596000.0
Current Accrued Expenses,15628000.0,20828000.0,17824000.0,15207000.0
Payables,9526000.0,4753000.0,8113000.0,6389000.0
Total Tax Payable,1398000.0,0.0,,
Accounts Payable,8128000.0,4753000.0,8113000.0,6389000.0
Total Assets,282616000.0,328916000.0,469545000.0,451142000.0
Total Non Current Assets,75064000.0,73546000.0,54087000.0,52990000.0
Other Non Current Assets,3026000.0,1569000.0,1718000.0,4602000.0
Goodwill And Other Intangible Assets,330000.0,442000.0,1000000.0,1730000.0
Other Intangible Assets,330000.0,442000.0,1000000.0,1730000.0
Net PPE,71708000.0,71535000.0,51369000.0,46658000.0
Accumulated Depreciation,-59240000.0,-48058000.0,-43506000.0,-31097000.0
Gross PPE,130948000.0,119593000.0,94875000.0,77755000.0
Leases,57939000.0,28459000.0,28704000.0,28359000.0
Construction In Progress,53000.0,28729000.0,5396000.0,
Other Properties,67933000.0,57662000.0,56130000.0,44931000.0
Machinery Furniture Equipment,5023000.0,4743000.0,4645000.0,4465000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,207552000.0,255370000.0,415458000.0,398152000.0
Other Current Assets,3741000.0,3206000.0,2828000.0,2530000.0
Prepaid Assets,9954000.0,9472000.0,9043000.0,6314000.0
Inventory,,,,2086000.0
Receivables,46919000.0,38087000.0,34007000.0,21091000.0
Other Receivables,46098000.0,30162000.0,30773000.0,20585000.0
Taxes Receivable,0.0,490000.0,2482000.0,367000.0
Accounts Receivable,821000.0,7435000.0,752000.0,139000.0
Allowance For Doubtful Accounts Receivable,0.0,0.0,0.0,0.0
Gross Accounts Receivable,821000.0,7435000.0,752000.0,139000.0
Cash Cash Equivalents And Short Term Investments,146938000.0,204605000.0,369580000.0,368217000.0
Other Short Term Investments,2947000.0,96572000.0,219632000.0,311335000.0
Cash And Cash Equivalents,143991000.0,108033000.0,149948000.0,56882000.0
