,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-145760000.0,-171509000.0,1948000.0,-56497000.0
Issuance Of Capital Stock,624000.0,12817000.0,2529000.0,334388000.0
Capital Expenditure,-4880000.0,-29740000.0,-8781000.0,-2906000.0
Income Tax Paid Supplemental Data,4000000.0,630000.0,535000.0,75000.0
End Cash Position,147017000.0,109602000.0,151666000.0,61484000.0
Beginning Cash Position,109602000.0,151666000.0,61484000.0,54908000.0
Effect Of Exchange Rate Changes,877000.0,-2299000.0,365000.0,-960000.0
Changes In Cash,36538000.0,-39765000.0,89817000.0,7536000.0
Financing Cash Flow,880000.0,12867000.0,3288000.0,340051000.0
Cash Flow From Continuing Financing Activities,880000.0,12867000.0,3288000.0,340051000.0
Proceeds From Stock Option Exercised,256000.0,50000.0,759000.0,5663000.0
Net Preferred Stock Issuance,,,,0.0
Preferred Stock Issuance,,,,0.0
Net Common Stock Issuance,624000.0,12817000.0,2529000.0,334388000.0
Common Stock Issuance,624000.0,12817000.0,2529000.0,334388000.0
Investing Cash Flow,176538000.0,89137000.0,75800000.0,-278924000.0
Cash Flow From Continuing Investing Activities,176538000.0,89137000.0,75800000.0,-278924000.0
Net Other Investing Changes,1124000.0,,,
Net Investment Purchase And Sale,135030000.0,118877000.0,84581000.0,-276018000.0
Sale Of Investment,210983000.0,166994000.0,224343000.0,105022000.0
Purchase Of Investment,-75953000.0,-48117000.0,-139762000.0,-381040000.0
Net Business Purchase And Sale,45264000.0,0.0,0.0,
Sale Of Business,45264000.0,0.0,0.0,
Net Intangibles Purchase And Sale,-199000.0,-244000.0,-207000.0,-565000.0
Purchase Of Intangibles,-199000.0,-244000.0,-207000.0,-565000.0
Net PPE Purchase And Sale,-4681000.0,-29496000.0,-8574000.0,-2341000.0
Purchase Of PPE,-4681000.0,-29496000.0,-8574000.0,-2341000.0
Operating Cash Flow,-140880000.0,-141769000.0,10729000.0,-53591000.0
Cash Flow From Continuing Operating Activities,-140880000.0,-141769000.0,10729000.0,-53591000.0
Change In Working Capital,-24952000.0,-1531000.0,134634000.0,56045000.0
Change In Other Working Capital,-14574000.0,3874000.0,149785000.0,47973000.0
Change In Other Current Assets,,0.0,0.0,2458000.0
Change In Payables And Accrued Expense,-9087000.0,4408000.0,4207000.0,3867000.0
Change In Payable,-9087000.0,4408000.0,4207000.0,3867000.0
Change In Receivables,-1291000.0,-9813000.0,-19358000.0,1747000.0
Other Non Cash Items,-21882000.0,816000.0,1173000.0,-55000.0
Stock Based Compensation,11773000.0,18240000.0,20629000.0,10414000.0
Amortization Of Securities,-1986000.0,2525000.0,5276000.0,3836000.0
Depreciation Amortization Depletion,9840000.0,6075000.0,6567000.0,7594000.0
Depreciation And Amortization,9840000.0,6075000.0,6567000.0,7594000.0
Amortization Cash Flow,387000.0,809000.0,937000.0,967000.0
Amortization Of Intangibles,387000.0,809000.0,937000.0,967000.0
Depreciation,9453000.0,5266000.0,5630000.0,6627000.0
Operating Gains Losses,198000.0,-2438000.0,540000.0,-1333000.0
Net Foreign Currency Exchange Gain Loss,198000.0,-2438000.0,540000.0,-1333000.0
Net Income From Continuing Operations,-113871000.0,-165456000.0,-158090000.0,-130092000.0
