,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,-2780452.0,-7878729.0,-44622680.0,-69727223.0,
Issuance Of Debt,1181197.0,217116.0,352173.0,0.0,
Issuance Of Capital Stock,1380000.0,6518985.0,43937202.0,62341025.0,
Capital Expenditure,,,-15219602.0,-66923243.0,-2000000.0
Interest Paid Supplemental Data,0.0,0.0,0.0,0.0,
Income Tax Paid Supplemental Data,0.0,0.0,0.0,0.0,
End Cash Position,20218.0,239473.0,872313.0,174189.0,
Beginning Cash Position,239473.0,872313.0,174189.0,988696.0,
Effect Of Exchange Rate Changes,,,0.0,0.0,-1943.0
Changes In Cash,-219255.0,-632840.0,698124.0,-814507.0,
Financing Cash Flow,2561197.0,7245889.0,44320854.0,67512616.0,
Cash From Discontinued Financing Activities,,,0.0,0.0,-7294.0
Cash Flow From Continuing Financing Activities,2561197.0,7245889.0,44320854.0,67512616.0,
Net Other Financing Charges,,,,,300000.0
Proceeds From Stock Option Exercised,0.0,509788.0,31479.0,5171591.0,
Net Common Stock Issuance,1380000.0,6518985.0,43937202.0,62341025.0,
Common Stock Issuance,1380000.0,6518985.0,43937202.0,62341025.0,
Net Issuance Payments Of Debt,1181197.0,217116.0,352173.0,0.0,
Net Short Term Debt Issuance,1181197.0,217116.0,352173.0,0.0,
Short Term Debt Issuance,1181197.0,217116.0,352173.0,0.0,
Net Long Term Debt Issuance,,217116.0,0.0,0.0,300000.0
Long Term Debt Issuance,,217116.0,0.0,0.0,300000.0
Investing Cash Flow,0.0,0.0,-14219652.0,-65523143.0,
Cash From Discontinued Investing Activities,,0.0,0.0,1400100.0,600000.0
Cash Flow From Continuing Investing Activities,0.0,0.0,-14219652.0,-66923243.0,
Net Other Investing Changes,,,,,600000.0
Net Business Purchase And Sale,,,0.0,0.0,5272.0
Sale Of Business,,,0.0,0.0,5272.0
Net Intangibles Purchase And Sale,0.0,0.0,-15180000.0,-64903243.0,
Purchase Of Intangibles,0.0,0.0,-15180000.0,-64903243.0,
Net PPE Purchase And Sale,0.0,0.0,960348.0,-2020000.0,
Sale Of PPE,0.0,0.0,999950.0,0.0,
Purchase Of PPE,0.0,0.0,-39602.0,-2020000.0,
Operating Cash Flow,-2780452.0,-7878729.0,-29403078.0,-2803980.0,
Cash From Discontinued Operating Activities,,,,0.0,203854.0
Cash Flow From Continuing Operating Activities,-2780452.0,-7878729.0,-29403078.0,-2803980.0,
Change In Working Capital,-1059410.0,1412487.0,-14729144.0,-2675213.0,
Change In Other Working Capital,,,-3596821.0,3596821.0,
Change In Other Current Liabilities,5269.0,0.0,0.0,,
Change In Payables And Accrued Expense,2480478.0,89222.0,4139411.0,174104.0,
Change In Payable,2480478.0,89222.0,4139411.0,174104.0,
Change In Account Payable,0.0,-500000.0,3770945.0,0.0,
Change In Prepaid Assets,9471393.0,-152623.0,-15964364.0,-3247827.0,
Change In Receivables,-13016550.0,1475888.0,692630.0,-3198311.0,
Changes In Account Receivables,-1230000.0,157170.0,683730.0,-3191711.0,
Other Non Cash Items,100000.0,,52000000.0,,
Stock Based Compensation,3868649.0,3493563.0,4732700.0,5717900.0,
Provisionand Write Offof Assets,16911882.0,9850811.0,0.0,0.0,
Asset Impairment Charge,0.0,9357062.0,0.0,99943.0,
Depreciation Amortization Depletion,4262767.0,5857013.0,5896468.0,3717095.0,
Depreciation And Amortization,4262767.0,5857013.0,5896468.0,3717095.0,
Amortization Cash Flow,4160000.0,5843813.0,4450895.0,2180917.0,
Amortization Of Intangibles,4160000.0,5843813.0,4450895.0,2180917.0,
Depreciation,102767.0,13200.0,1445573.0,1536178.0,
Operating Gains Losses,,,-94984.0,-25092.0,
Gain Loss On Sale Of PPE,0.0,0.0,-94984.0,0.0,
Net Income From Continuing Operations,-26864340.0,-37849665.0,-77208118.0,-9638613.0,
