,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-22511455.0,-22629317.0,-71304617.0,-5807349.0,
Total Unusual Items,0.0,-9357062.0,0.0,-99943.0,
Total Unusual Items Excluding Goodwill,0.0,-9357062.0,0.0,-99943.0,
Net Income From Continuing Operation Net Minority Interest,-26864340.0,-37849665.0,-77208118.0,-9638613.0,
Reconciled Depreciation,4262767.0,5857013.0,5896468.0,3717095.0,
Reconciled Cost Of Revenue,1993400.0,0.0,8546840.0,4139251.0,
EBITDA,-22511455.0,-31986379.0,-71304617.0,-5907292.0,
EBIT,-26774222.0,-37843392.0,-77201085.0,-9624387.0,
Net Interest Income,-190118.0,-6273.0,-7032.0,-14090.0,
Interest Expense,90118.0,6273.0,7033.0,14226.0,
Interest Income,0.0,0.0,1.0,136.0,
Normalized Income,-26864340.0,-28492603.0,-77208118.0,-9538670.0,
Net Income From Continuing And Discontinued Operation,-26864340.0,-37849665.0,-77208118.0,-8238513.0,
Total Expenses,29837997.0,28483486.0,95417151.0,16339620.0,
Total Operating Income As Reported,-27007555.0,-37840548.0,-78898070.0,-9655606.0,
Diluted Average Shares,,9167238.0,3880561.0,1702387.0,291001.0
Basic Average Shares,,9167238.0,3880561.0,1702387.0,291001.0
Diluted EPS,,-4.13,-19.9,-4.84,-39.95
Basic EPS,,-4.13,-19.9,-4.84,-39.95
Diluted NI Availto Com Stockholders,-26864340.0,-37849665.0,-77208118.0,-8238513.0,
Net Income Common Stockholders,-26864340.0,-37849665.0,-77208118.0,-8238513.0,
Net Income,-26864340.0,-37849665.0,-77208118.0,-8238513.0,
Net Income Including Noncontrolling Interests,-26864340.0,-37849665.0,-77208118.0,-8238513.0,
Net Income Discontinuous Operations,,0.0,0.0,1400100.0,-6457955.0
Net Income Continuous Operations,-26864340.0,-37849665.0,-77208118.0,-9638613.0,
Tax Provision,0.0,0.0,0.0,0.0,
Pretax Income,-26864340.0,-37849665.0,-77208118.0,-9638613.0,
Other Income Expense,333333.0,-9359906.0,1696984.0,-68860.0,
Other Non Operating Income Expenses,333333.0,-2844.0,1696984.0,31083.0,
Special Income Charges,0.0,-9357062.0,0.0,-99943.0,
Impairment Of Capital Assets,0.0,9357062.0,0.0,99943.0,
Net Non Operating Interest Income Expense,-190118.0,-6273.0,-7032.0,-14090.0,
Total Other Finance Cost,100000.0,,7033.0,14226.0,5041.0
Interest Expense Non Operating,90118.0,6273.0,7033.0,14226.0,
Interest Income Non Operating,0.0,0.0,1.0,136.0,
Operating Income,-27007555.0,-28483486.0,-78898070.0,-9555663.0,
Operating Expense,27844597.0,28483486.0,86870311.0,12200369.0,
Provision For Doubtful Accounts,16911882.0,9850811.0,0.0,0.0,
Research And Development,0.0,121580.0,68275869.0,817794.0,
Selling General And Administration,10932715.0,18511095.0,18594442.0,11382575.0,
Selling And Marketing Expense,7064066.0,15017532.0,13861742.0,5664675.0,
General And Administrative Expense,3868649.0,3493563.0,4732700.0,5717900.0,
Other Gand A,,,13861742.0,5664675.0,1598984.0
Salaries And Wages,3868649.0,3493563.0,4732700.0,5717900.0,
Gross Profit,837042.0,0.0,7972241.0,2644706.0,
Cost Of Revenue,1993400.0,0.0,8546840.0,4139251.0,
Total Revenue,2830442.0,0.0,16519081.0,6783957.0,
Operating Revenue,2830442.0,0.0,16519081.0,6783957.0,
