,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-27427000.0,-23041000.0,-20346000.0
Total Unusual Items,-8528000.0,0.0,744000.0
Total Unusual Items Excluding Goodwill,-8528000.0,0.0,744000.0
Net Income From Continuing Operation Net Minority Interest,-38146000.0,-23673000.0,-19938000.0
Reconciled Depreciation,532000.0,495000.0,336000.0
Reconciled Cost Of Revenue,1306000.0,875000.0,1158000.0
EBITDA,-35955000.0,-23041000.0,-19602000.0
EBIT,-36487000.0,-23536000.0,-19938000.0
Net Interest Income,-1656000.0,-98000.0,3000.0
Interest Expense,1659000.0,137000.0,0.0
Interest Income,3000.0,39000.0,3000.0
Normalized Income,-29618000.0,-23673000.0,-20682000.0
Net Income From Continuing And Discontinued Operation,-38146000.0,-23673000.0,-19938000.0
Total Expenses,28242000.0,24102000.0,20915000.0
Total Operating Income As Reported,-27942000.0,-23913000.0,-20645000.0
Diluted Average Shares,13387636.0,13387636.0,13387636.0
Basic Average Shares,13387636.0,13387636.0,13387636.0
Diluted EPS,-2.849345,-1.768273,-1.489285
Basic EPS,-2.849345,-1.768273,-1.489285
Diluted NI Availto Com Stockholders,-38146000.0,-23673000.0,-19938000.0
Net Income Common Stockholders,-38146000.0,-23673000.0,-19938000.0
Net Income,-38146000.0,-23673000.0,-19938000.0
Net Income Including Noncontrolling Interests,-38146000.0,-23673000.0,-19938000.0
Net Income Continuous Operations,-38146000.0,-23673000.0,-19938000.0
Pretax Income,-38146000.0,-23673000.0,-19938000.0
Other Income Expense,-8548000.0,338000.0,704000.0
Other Non Operating Income Expenses,-20000.0,338000.0,-40000.0
Special Income Charges,-8486000.0,0.0,744000.0
Other Special Charges,8486000.0,,-744000.0
Gain On Sale Of Security,-8528000.0,,
Net Non Operating Interest Income Expense,-1656000.0,-98000.0,3000.0
Interest Expense Non Operating,1659000.0,137000.0,0.0
Interest Income Non Operating,3000.0,39000.0,3000.0
Operating Income,-27942000.0,-23913000.0,-20645000.0
Operating Expense,26936000.0,23227000.0,19757000.0
Research And Development,15399000.0,17855000.0,15355000.0
Selling General And Administration,11537000.0,5372000.0,4402000.0
Gross Profit,-1006000.0,-686000.0,-888000.0
Cost Of Revenue,1306000.0,875000.0,1158000.0
Total Revenue,300000.0,189000.0,270000.0
Operating Revenue,300000.0,189000.0,270000.0
