,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,226063032.0,221816930.0,195813817.0,104902888.0
Share Issued,226063032.0,221816930.0,195813817.0,104902888.0
Net Debt,79242000.0,56311000.0,43777121.0,37047714.0
Total Debt,141418000.0,154442000.0,102919711.0,97668699.0
Tangible Book Value,131177000.0,147431000.0,135914289.0,82275796.0
Invested Capital,265800000.0,294807000.0,236038805.0,181218292.0
Working Capital,207207000.0,231135000.0,178350996.0,133793140.0
Net Tangible Assets,131177000.0,147431000.0,135914289.0,82275796.0
Capital Lease Obligations,10824000.0,11609000.0,8053472.0,4699833.0
Common Stock Equity,135206000.0,151974000.0,141172566.0,88249426.0
Total Capitalization,265800000.0,294807000.0,236038805.0,181218292.0
Total Equity Gross Minority Interest,135206000.0,151974000.0,141172566.0,88249426.0
Stockholders Equity,135206000.0,151974000.0,141172566.0,88249426.0
Retained Earnings,-506256000.0,-478017000.0,-412112721.0,-340465103.0
Additional Paid In Capital,641439000.0,629969000.0,553265706.0,428704039.0
Capital Stock,23000.0,22000.0,19581.0,10490.0
Common Stock,23000.0,22000.0,19581.0,10490.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,193976000.0,196487000.0,135080158.0,119423968.0
Total Non Current Liabilities Net Minority Interest,144170000.0,157220000.0,104701843.0,99476601.0
Other Non Current Liabilities,2107000.0,1850000.0,397351.0,54886.0
Non Current Deferred Liabilities,1690000.0,1833000.0,1975865.0,2118698.0
Non Current Deferred Revenue,1690000.0,1833000.0,1975865.0,2118698.0
Long Term Debt And Capital Lease Obligation,140373000.0,153537000.0,102328627.0,97303017.0
Long Term Capital Lease Obligation,9779000.0,10704000.0,7462388.0,4334151.0
Long Term Debt,130594000.0,142833000.0,94866239.0,92968866.0
Current Liabilities,49806000.0,39267000.0,30378315.0,19947367.0
Other Current Liabilities,2911000.0,1796000.0,1011986.0,207262.0
Current Deferred Liabilities,182000.0,143000.0,142834.0,142834.0
Current Deferred Revenue,182000.0,143000.0,142834.0,142834.0
Current Debt And Capital Lease Obligation,1045000.0,905000.0,591084.0,365682.0
Current Capital Lease Obligation,1045000.0,905000.0,591084.0,365682.0
Payables And Accrued Expenses,45668000.0,36423000.0,28632411.0,19231589.0
Current Accrued Expenses,30008000.0,23194000.0,16203002.0,8157881.0
Payables,15660000.0,13229000.0,12429409.0,11073708.0
Accounts Payable,15660000.0,13229000.0,12429409.0,11073708.0
Total Assets,329182000.0,348461000.0,276252724.0,207673394.0
Total Non Current Assets,72169000.0,78059000.0,67523413.0,53932887.0
Other Non Current Assets,4670000.0,4770000.0,4067404.0,
Non Current Prepaid Assets,,,4067404.0,2106976.0
Goodwill And Other Intangible Assets,4029000.0,4543000.0,5258277.0,5973630.0
Other Intangible Assets,499000.0,1013000.0,1728768.0,2444121.0
Goodwill,3530000.0,3530000.0,3529509.0,3529509.0
Net PPE,63470000.0,68746000.0,58197732.0,45852281.0
Accumulated Depreciation,-26737000.0,-19477000.0,-13271853.0,-8863942.0
Gross PPE,90207000.0,88223000.0,71469585.0,54716223.0
Leases,20811000.0,17931000.0,11129639.0,5272490.0
Construction In Progress,2273000.0,6727000.0,5496222.0,3336557.0
Other Properties,30728000.0,29253000.0,23965649.0,18728065.0
Machinery Furniture Equipment,11838000.0,10429000.0,7471602.0,5643113.0
Buildings And Improvements,20218000.0,19544000.0,19067032.0,17396557.0
Land And Improvements,4339000.0,4339000.0,4339441.0,4339441.0
Properties,0.0,0.0,0.0,0.0
Current Assets,257013000.0,270402000.0,208729311.0,153740507.0
Other Current Assets,5334000.0,5095000.0,4339245.0,3046466.0
Prepaid Assets,,,4339245.0,3046466.0
Inventory,172906000.0,163280000.0,124724091.0,81535599.0
Finished Goods,70286000.0,58465000.0,28999836.0,19197918.0
Work In Process,49621000.0,56171000.0,58968535.0,30293288.0
Raw Materials,52999000.0,48644000.0,36755720.0,32044393.0
Receivables,27421000.0,15505000.0,28576857.0,13237290.0
Accounts Receivable,27421000.0,15505000.0,28576857.0,13237290.0
Allowance For Doubtful Accounts Receivable,-100000.0,-100000.0,-200000.0,-100000.0
Gross Accounts Receivable,27521000.0,15605000.0,28776857.0,13337290.0
Cash Cash Equivalents And Short Term Investments,51352000.0,86522000.0,51089118.0,55921152.0
Cash And Cash Equivalents,51352000.0,86522000.0,51089118.0,55921152.0
