,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,84866763.0,93697704.0,94858156.0,94378004.0,
Share Issued,84866763.0,93697704.0,94858156.0,94378004.0,
Net Debt,1460000000.0,1425000000.0,1631000000.0,2175000000.0,
Total Debt,2405000000.0,2535000000.0,2578000000.0,3696000000.0,
Tangible Book Value,-401000000.0,-274000000.0,-451000000.0,-391000000.0,
Invested Capital,4539000000.0,4763000000.0,4651000000.0,6072000000.0,
Working Capital,408000000.0,578000000.0,662000000.0,1575000000.0,
Net Tangible Assets,-401000000.0,-274000000.0,-451000000.0,-391000000.0,
Common Stock Equity,2134000000.0,2228000000.0,2073000000.0,2376000000.0,
Total Capitalization,4530000000.0,4629000000.0,4637000000.0,5888000000.0,
Total Equity Gross Minority Interest,2534000000.0,2603000000.0,2420000000.0,2958000000.0,
Minority Interest,400000000.0,375000000.0,347000000.0,582000000.0,
Stockholders Equity,2134000000.0,2228000000.0,2073000000.0,2376000000.0,
Gains Losses Not Affecting Retained Earnings,-693000000.0,-842000000.0,-845000000.0,-627000000.0,
Other Equity Adjustments,-693000000.0,-842000000.0,-845000000.0,-627000000.0,
Retained Earnings,-885000000.0,-903000000.0,-1108000000.0,-988000000.0,
Additional Paid In Capital,3712000000.0,3973000000.0,4026000000.0,3991000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,6817000000.0,6821000000.0,6738000000.0,7820000000.0,
Total Non Current Liabilities Net Minority Interest,3139000000.0,3083000000.0,3237000000.0,4309000000.0,
Other Non Current Liabilities,638000000.0,590000000.0,585000000.0,669000000.0,
Preferred Securities Outside Stock Equity,,,,240000000.0,43000000.0
Employee Benefits,105000000.0,92000000.0,88000000.0,128000000.0,
Non Current Pension And Other Postretirement Benefit Plans,105000000.0,92000000.0,88000000.0,128000000.0,
Long Term Debt And Capital Lease Obligation,2396000000.0,2401000000.0,2564000000.0,3512000000.0,
Long Term Debt,2396000000.0,2401000000.0,2564000000.0,3512000000.0,
Current Liabilities,3678000000.0,3738000000.0,3501000000.0,3511000000.0,
Other Current Liabilities,759000000.0,678000000.0,609000000.0,693000000.0,
Current Debt And Capital Lease Obligation,9000000.0,134000000.0,14000000.0,184000000.0,
Current Debt,9000000.0,134000000.0,14000000.0,184000000.0,
Other Current Borrowings,8000000.0,132000000.0,11000000.0,167000000.0,
Line Of Credit,1000000.0,2000000.0,3000000.0,17000000.0,
Pensionand Other Post Retirement Benefit Plans Current,358000000.0,400000000.0,340000000.0,389000000.0,
Current Provisions,,51000000.0,60000000.0,115000000.0,237000000.0
Payables And Accrued Expenses,2552000000.0,2526000000.0,2478000000.0,2130000000.0,
Payables,2552000000.0,2526000000.0,2478000000.0,2130000000.0,
Accounts Payable,2552000000.0,2526000000.0,2478000000.0,2130000000.0,
Total Assets,9351000000.0,9424000000.0,9158000000.0,10778000000.0,
Total Non Current Assets,5265000000.0,5108000000.0,4995000000.0,5692000000.0,
Other Non Current Assets,982000000.0,921000000.0,808000000.0,983000000.0,
Investments And Advances,338000000.0,303000000.0,286000000.0,335000000.0,
Long Term Equity Investment,338000000.0,303000000.0,286000000.0,335000000.0,
Investmentsin Associatesat Cost,338000000.0,303000000.0,286000000.0,335000000.0,
Goodwill And Other Intangible Assets,2535000000.0,2502000000.0,2524000000.0,2767000000.0,
Other Intangible Assets,371000000.0,408000000.0,467000000.0,555000000.0,
Goodwill,2164000000.0,2094000000.0,2057000000.0,2212000000.0,
Net PPE,1410000000.0,1382000000.0,1377000000.0,1607000000.0,
Accumulated Depreciation,-3104000000.0,-2937000000.0,-2793000000.0,-2909000000.0,
Gross PPE,4514000000.0,4319000000.0,4170000000.0,4516000000.0,
Construction In Progress,152000000.0,148000000.0,146000000.0,162000000.0,
Machinery Furniture Equipment,3245000000.0,3097000000.0,2889000000.0,3087000000.0,
Buildings And Improvements,1031000000.0,990000000.0,1053000000.0,1167000000.0,
Land And Improvements,86000000.0,84000000.0,82000000.0,100000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4086000000.0,4316000000.0,4163000000.0,5086000000.0,
Other Current Assets,487000000.0,491000000.0,411000000.0,1114000000.0,
Assets Held For Sale Current,,,0.0,49000000.0,43000000.0
Inventory,758000000.0,841000000.0,953000000.0,976000000.0,
Finished Goods,147000000.0,163000000.0,172000000.0,197000000.0,
Work In Process,29000000.0,34000000.0,26000000.0,29000000.0,
Raw Materials,582000000.0,644000000.0,755000000.0,750000000.0,
Receivables,1896000000.0,1874000000.0,1852000000.0,1426000000.0,
Accounts Receivable,1896000000.0,1874000000.0,1852000000.0,1426000000.0,
Allowance For Doubtful Accounts Receivable,-24000000.0,-15000000.0,-21000000.0,-29000000.0,
Gross Accounts Receivable,1920000000.0,1889000000.0,1873000000.0,1455000000.0,
Cash Cash Equivalents And Short Term Investments,945000000.0,1110000000.0,947000000.0,1521000000.0,
Cash And Cash Equivalents,945000000.0,1110000000.0,947000000.0,1521000000.0,
