,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,145082271.0,143105002.0,141393865.0,137646896.0
Share Issued,145082271.0,143105002.0,141393865.0,137646896.0
Total Debt,98772000.0,108002000.0,111740000.0,107862000.0
Tangible Book Value,184299000.0,338366000.0,476494000.0,614069000.0
Invested Capital,308399000.0,464165000.0,603992000.0,743266000.0
Working Capital,322173000.0,452358000.0,288941000.0,621717000.0
Net Tangible Assets,184299000.0,338366000.0,476494000.0,614069000.0
Capital Lease Obligations,98772000.0,108002000.0,111740000.0,107862000.0
Common Stock Equity,308399000.0,464165000.0,603992000.0,743266000.0
Total Capitalization,308399000.0,464165000.0,603992000.0,743266000.0
Total Equity Gross Minority Interest,308278000.0,464098000.0,604102000.0,743266000.0
Minority Interest,-121000.0,-67000.0,110000.0,0.0
Stockholders Equity,308399000.0,464165000.0,603992000.0,743266000.0
Gains Losses Not Affecting Retained Earnings,215000.0,-4116000.0,-1137000.0,893000.0
Other Equity Adjustments,215000.0,-4116000.0,-1137000.0,893000.0
Retained Earnings,-1144332000.0,-919082000.0,-718891000.0,-511612000.0
Additional Paid In Capital,1452502000.0,1387349000.0,1324006000.0,1253971000.0
Capital Stock,14000.0,14000.0,14000.0,14000.0
Common Stock,14000.0,14000.0,14000.0,14000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,352856000.0,392519000.0,319242000.0,373148000.0
Total Non Current Liabilities Net Minority Interest,264841000.0,282731000.0,205435000.0,267951000.0
Other Non Current Liabilities,130660000.0,125360000.0,,
Non Current Deferred Liabilities,44793000.0,58599000.0,98750000.0,163618000.0
Non Current Deferred Revenue,44793000.0,58599000.0,98750000.0,163618000.0
Long Term Debt And Capital Lease Obligation,89388000.0,98772000.0,106685000.0,104333000.0
Long Term Capital Lease Obligation,89388000.0,98772000.0,106685000.0,104333000.0
Current Liabilities,88015000.0,109788000.0,113807000.0,105197000.0
Current Deferred Liabilities,48630000.0,64115000.0,80460000.0,73319000.0
Current Deferred Revenue,48630000.0,64115000.0,80460000.0,73319000.0
Current Debt And Capital Lease Obligation,9384000.0,9230000.0,5055000.0,3529000.0
Current Capital Lease Obligation,9384000.0,9230000.0,5055000.0,3529000.0
Pensionand Other Post Retirement Benefit Plans Current,13685000.0,15935000.0,15642000.0,11950000.0
Payables And Accrued Expenses,16316000.0,20508000.0,12650000.0,16399000.0
Current Accrued Expenses,8538000.0,12230000.0,8952000.0,11395000.0
Payables,7778000.0,8278000.0,3698000.0,5004000.0
Total Tax Payable,59000.0,194000.0,391000.0,1767000.0
Accounts Payable,7719000.0,8084000.0,3307000.0,3237000.0
Total Assets,661134000.0,856617000.0,923344000.0,1116414000.0
Total Non Current Assets,250946000.0,294471000.0,520596000.0,389500000.0
Other Non Current Assets,6523000.0,4462000.0,3013000.0,2736000.0
Investments And Advances,,0.0,217145000.0,118525000.0
Investmentin Financial Assets,,0.0,217145000.0,118525000.0
Available For Sale Securities,,,217145000.0,118525000.0
Goodwill And Other Intangible Assets,124100000.0,125799000.0,127498000.0,129197000.0
Other Intangible Assets,5128000.0,6827000.0,8526000.0,10225000.0
Goodwill,118972000.0,118972000.0,118972000.0,118972000.0
Net PPE,120323000.0,164210000.0,172940000.0,139042000.0
Accumulated Depreciation,-73234000.0,-54350000.0,-36226000.0,-24382000.0
Gross PPE,193557000.0,218560000.0,209166000.0,163424000.0
Leases,74734000.0,72403000.0,65959000.0,21945000.0
Construction In Progress,3405000.0,7625000.0,5658000.0,7185000.0
Other Properties,101663000.0,124355000.0,123990000.0,127117000.0
Machinery Furniture Equipment,13755000.0,14177000.0,13559000.0,7177000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,410188000.0,562146000.0,402748000.0,726914000.0
Other Current Assets,11370000.0,9440000.0,13015000.0,
Prepaid Assets,,,13015000.0,14535000.0
Inventory,14448000.0,14453000.0,19263000.0,14063000.0
Receivables,37969000.0,40057000.0,17409000.0,10047000.0
Accounts Receivable,37969000.0,40057000.0,17409000.0,10047000.0
Cash Cash Equivalents And Short Term Investments,346401000.0,498196000.0,353061000.0,688269000.0
Other Short Term Investments,281337000.0,408166000.0,213996000.0,564833000.0
Cash And Cash Equivalents,65064000.0,90030000.0,139065000.0,123436000.0
