,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,850838000.0,976621000.0,786801000.0,791203000.0
Repurchase Of Capital Stock,0.0,-1200000000.0,0.0,-4000.0
Repayment Of Debt,-3205916000.0,-771098000.0,-1381538000.0,-3054798000.0
Issuance Of Debt,1148825000.0,826861000.0,1449275000.0,2640000000.0
Issuance Of Capital Stock,0.0,1180000000.0,0.0,447811000.0
Capital Expenditure,-806888000.0,-911299000.0,-862922000.0,-575546000.0
Interest Paid Supplemental Data,,452105000.0,456509000.0,510185000.0
Income Tax Paid Supplemental Data,,22654000.0,1877000.0,25802000.0
End Cash Position,129950000.0,373580000.0,33277000.0,207747000.0
Beginning Cash Position,373580000.0,33277000.0,207747000.0,48736000.0
Effect Of Exchange Rate Changes,,,0.0,0.0
Changes In Cash,-243630000.0,340303000.0,-174470000.0,159011000.0
Financing Cash Flow,-2143849000.0,-14833000.0,-128448000.0,-70261000.0
Cash Flow From Continuing Financing Activities,-2143849000.0,-14833000.0,-128448000.0,-70261000.0
Net Other Financing Charges,41829000.0,95370000.0,-23718000.0,6058000.0
Interest Paid Cff,,-18841000.0,-56119000.0,-38325000.0
Cash Dividends Paid,-128587000.0,-127125000.0,-116348000.0,-109328000.0
Common Stock Dividend Paid,-128587000.0,-127125000.0,-116348000.0,-109328000.0
Net Preferred Stock Issuance,,,,0.0
Preferred Stock Payments,,,,0.0
Net Common Stock Issuance,0.0,-20000000.0,0.0,447807000.0
Common Stock Payments,0.0,-1200000000.0,0.0,-4000.0
Common Stock Issuance,0.0,1180000000.0,0.0,447811000.0
Net Issuance Payments Of Debt,-2057091000.0,55763000.0,67737000.0,-414798000.0
Net Long Term Debt Issuance,-2057091000.0,55763000.0,67737000.0,-414798000.0
Long Term Debt Payments,-3205916000.0,-771098000.0,-1381538000.0,-3054798000.0
Long Term Debt Issuance,1148825000.0,826861000.0,1449275000.0,2640000000.0
Investing Cash Flow,242493000.0,-1532784000.0,-1695745000.0,-1137477000.0
Cash Flow From Continuing Investing Activities,242493000.0,-1532784000.0,-1695745000.0,-1137477000.0
Net Other Investing Changes,-559966000.0,-635139000.0,-671127000.0,-334866000.0
Net Business Purchase And Sale,1609347000.0,13654000.0,-161696000.0,-227065000.0
Sale Of Business,1609347000.0,26749000.0,1807000.0,
Purchase Of Business,0.0,-13095000.0,-163503000.0,-227065000.0
Net PPE Purchase And Sale,-176353000.0,-176660000.0,-168238000.0,-157191000.0
Purchase Of PPE,-176353000.0,-176660000.0,-168238000.0,-157191000.0
Capital Expenditure Reported,-630535000.0,-734639000.0,-694684000.0,-418355000.0
Operating Cash Flow,1657726000.0,1887920000.0,1649723000.0,1366749000.0
Cash Flow From Continuing Operating Activities,1657726000.0,1887920000.0,1649723000.0,1366749000.0
Change In Working Capital,-443247000.0,-149305000.0,113973000.0,-254417000.0
Change In Other Working Capital,-37903000.0,78947000.0,87968000.0,-33967000.0
Change In Payables And Accrued Expense,-322612000.0,17397000.0,160239000.0,65317000.0
Change In Accrued Expense,-211083000.0,8735000.0,62116000.0,
Change In Interest Payable,-128042000.0,50758000.0,56700000.0,
Change In Payable,-111529000.0,8662000.0,98123000.0,65317000.0
Change In Account Payable,-111529000.0,8662000.0,98123000.0,65317000.0
Change In Inventory,24732000.0,-67391000.0,-84020000.0,-60797000.0
Change In Receivables,-107464000.0,-178258000.0,-50214000.0,-224970000.0
Changes In Account Receivables,-107464000.0,-178258000.0,-50214000.0,-84050000.0
Other Non Cash Items,-12723000.0,53366000.0,103052000.0,117291000.0
Stock Based Compensation,51137000.0,66566000.0,61237000.0,96013000.0
Unrealized Gain Loss On Investment Securities,0.0,63396000.0,0.0,0.0
Provisionand Write Offof Assets,151065000.0,113869000.0,38213000.0,119677000.0
Asset Impairment Charge,528556000.0,206132000.0,19161000.0,0.0
Deferred Tax,125235000.0,19575000.0,-139480000.0,-173415000.0
Deferred Income Tax,125235000.0,19575000.0,-139480000.0,-173415000.0
Depreciation Amortization Depletion,1388671000.0,1693575000.0,1914779000.0,1913767000.0
Depreciation And Amortization,1388671000.0,1693575000.0,1914779000.0,1913767000.0
Operating Gains Losses,-593977000.0,-311917000.0,-120392000.0,180026000.0
Gain Loss On Investment Securities,38497000.0,-301851000.0,-157505000.0,60363000.0
Gain Loss On Sale Of Business,-649095000.0,-10066000.0,0.0,738000.0
Net Income From Continuing Operations,463009000.0,132663000.0,-340820000.0,-632193000.0
