,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,16227000.0,16128000.0,15940000.0,15826000.0
Share Issued,16227000.0,16128000.0,15940000.0,15826000.0
Net Debt,59341000.0,51811000.0,52017000.0,49794000.0
Total Debt,175182000.0,178052000.0,263545000.0,239671000.0
Tangible Book Value,-48284000.0,-21485000.0,5631000.0,-21945000.0
Invested Capital,830826000.0,765312000.0,795256000.0,713548000.0
Working Capital,54887000.0,91661000.0,206652000.0,143796000.0
Net Tangible Assets,-48284000.0,-21485000.0,5631000.0,-21945000.0
Capital Lease Obligations,51050000.0,46280000.0,42633000.0,44799000.0
Common Stock Equity,706694000.0,633540000.0,574344000.0,518676000.0
Total Capitalization,830826000.0,765312000.0,795256000.0,712577000.0
Total Equity Gross Minority Interest,706694000.0,633540000.0,574344000.0,518676000.0
Stockholders Equity,706694000.0,633540000.0,574344000.0,518676000.0
Retained Earnings,302832000.0,240316000.0,194291000.0,149165000.0
Additional Paid In Capital,403846000.0,393208000.0,380037000.0,369495000.0
Capital Stock,16000.0,16000.0,16000.0,16000.0
Common Stock,16000.0,16000.0,16000.0,16000.0
Total Liabilities Net Minority Interest,317732000.0,304454000.0,373241000.0,373906000.0
Total Non Current Liabilities Net Minority Interest,172615000.0,173308000.0,255552000.0,230005000.0
Other Non Current Liabilities,8772000.0,6057000.0,1781000.0,588000.0
Long Term Debt And Capital Lease Obligation,163843000.0,167251000.0,253771000.0,229417000.0
Long Term Capital Lease Obligation,39711000.0,35479000.0,32859000.0,35516000.0
Long Term Debt,124132000.0,131772000.0,220912000.0,193901000.0
Current Liabilities,145117000.0,131146000.0,117689000.0,143901000.0
Other Current Liabilities,,,4173000.0,32087000.0
Current Deferred Liabilities,6983000.0,17385000.0,10658000.0,36293000.0
Current Deferred Revenue,5765000.0,12912000.0,4173000.0,32087000.0
Current Debt And Capital Lease Obligation,11339000.0,10801000.0,9774000.0,10254000.0
Current Capital Lease Obligation,11339000.0,10801000.0,9774000.0,9283000.0
Current Debt,,,,971000.0
Other Current Borrowings,,,,971000.0
Pensionand Other Post Retirement Benefit Plans Current,12043000.0,12897000.0,12998000.0,13759000.0
Payables And Accrued Expenses,114752000.0,90063000.0,84259000.0,83595000.0
Current Accrued Expenses,88569000.0,67971000.0,64901000.0,59890000.0
Payables,26183000.0,22092000.0,19358000.0,23705000.0
Total Tax Payable,,3525000.0,1872000.0,4543000.0
Accounts Payable,26183000.0,22092000.0,19358000.0,23705000.0
Total Assets,1024426000.0,937994000.0,947585000.0,892582000.0
Total Non Current Assets,824422000.0,715187000.0,623244000.0,604885000.0
Non Current Deferred Assets,,,0.0,6524000.0
Non Current Deferred Taxes Assets,,,0.0,6524000.0
Goodwill And Other Intangible Assets,754978000.0,655025000.0,568713000.0,540621000.0
Other Intangible Assets,91983000.0,72188000.0,64321000.0,71549000.0
Goodwill,662995000.0,582837000.0,504392000.0,469072000.0
Net PPE,69444000.0,60162000.0,54531000.0,57740000.0
Accumulated Depreciation,-27481000.0,-27310000.0,-20497000.0,-14965000.0
Gross PPE,96925000.0,87472000.0,75028000.0,72705000.0
Leases,11110000.0,10746000.0,9712000.0,9402000.0
Other Properties,45433000.0,38980000.0,36048000.0,37991000.0
Machinery Furniture Equipment,40382000.0,37746000.0,29268000.0,25312000.0
Buildings And Improvements,,,36048000.0,37991000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,200004000.0,222807000.0,324341000.0,287697000.0
Other Current Assets,2225000.0,1992000.0,6170000.0,2178000.0
Prepaid Assets,16912000.0,14687000.0,3206000.0,5931000.0
Receivables,116076000.0,126167000.0,146070000.0,134510000.0
Other Receivables,577000.0,666000.0,1559000.0,1860000.0
Taxes Receivable,,0.0,7556000.0,0.0
Accounts Receivable,115499000.0,125501000.0,136955000.0,132650000.0
Allowance For Doubtful Accounts Receivable,-2310000.0,-1634000.0,-1445000.0,-750000.0
Gross Accounts Receivable,117809000.0,127135000.0,138400000.0,133400000.0
Cash Cash Equivalents And Short Term Investments,64791000.0,79961000.0,168895000.0,145078000.0
Cash And Cash Equivalents,64791000.0,79961000.0,168895000.0,145078000.0
Cash Financial,64791000.0,79961000.0,168895000.0,145078000.0
