,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,102793000.0,96810000.0,34843000.0,102580000.0
Repayment Of Debt,-118500000.0,-137000000.0,-18130000.0,-757000.0
Issuance Of Debt,110000000.0,47000000.0,46395000.0,135000000.0
Issuance Of Capital Stock,,0.0,0.0,0.0
Capital Expenditure,-9454000.0,-8300000.0,-4645000.0,-6831000.0
Interest Paid Supplemental Data,10254000.0,7985000.0,5094000.0,2365000.0
Income Tax Paid Supplemental Data,14985000.0,1483000.0,17820000.0,10590000.0
End Cash Position,64791000.0,79961000.0,168895000.0,145078000.0
Beginning Cash Position,79961000.0,168895000.0,145078000.0,111714000.0
Changes In Cash,-15170000.0,-88934000.0,23817000.0,33364000.0
Financing Cash Flow,-8181000.0,-87454000.0,26344000.0,138189000.0
Cash Flow From Continuing Financing Activities,-8181000.0,-87454000.0,26344000.0,138189000.0
Net Other Financing Charges,,,-3029000.0,
Proceeds From Stock Option Exercised,319000.0,2546000.0,1108000.0,3946000.0
Net Common Stock Issuance,,0.0,0.0,0.0
Common Stock Issuance,,0.0,0.0,0.0
Net Issuance Payments Of Debt,-8500000.0,-90000000.0,28265000.0,134243000.0
Net Long Term Debt Issuance,-8500000.0,-90000000.0,28265000.0,134243000.0
Long Term Debt Payments,-118500000.0,-137000000.0,-18130000.0,-757000.0
Long Term Debt Issuance,110000000.0,47000000.0,46395000.0,135000000.0
Investing Cash Flow,-119236000.0,-106590000.0,-42015000.0,-214236000.0
Cash Flow From Continuing Investing Activities,-119236000.0,-106590000.0,-42015000.0,-214236000.0
Net Business Purchase And Sale,-109797000.0,-98290000.0,-37370000.0,-207405000.0
Sale Of Business,,0.0,0.0,255000.0
Purchase Of Business,-109797000.0,-98290000.0,-37370000.0,-207660000.0
Net PPE Purchase And Sale,-9439000.0,-8300000.0,-4645000.0,-6831000.0
Sale Of PPE,15000.0,0.0,0.0,
Purchase Of PPE,-9454000.0,-8300000.0,-4645000.0,-6831000.0
Operating Cash Flow,112247000.0,105110000.0,39488000.0,109411000.0
Cash Flow From Continuing Operating Activities,112247000.0,105110000.0,39488000.0,109411000.0
Change In Working Capital,20886000.0,27780000.0,-38614000.0,59963000.0
Change In Other Working Capital,-7577000.0,8739000.0,-27914000.0,19393000.0
Change In Payables And Accrued Expense,15910000.0,-3022000.0,1815000.0,18683000.0
Change In Accrued Expense,13885000.0,-5536000.0,6625000.0,16524000.0
Change In Payable,2025000.0,2514000.0,-4810000.0,2159000.0
Change In Account Payable,2025000.0,2514000.0,-4810000.0,2159000.0
Change In Prepaid Assets,-3113000.0,1471000.0,-8599000.0,-1973000.0
Change In Receivables,15666000.0,20592000.0,-3916000.0,23860000.0
Changes In Account Receivables,15666000.0,20592000.0,-3916000.0,23860000.0
Other Non Cash Items,837000.0,860000.0,804000.0,737000.0
Stock Based Compensation,10319000.0,10625000.0,9434000.0,6005000.0
Provisionand Write Offof Assets,731000.0,678000.0,962000.0,918000.0
Asset Impairment Charge,13000.0,1174000.0,0.0,1256000.0
Deferred Tax,2819000.0,3908000.0,7282000.0,-4652000.0
Deferred Income Tax,2819000.0,3908000.0,7282000.0,-4652000.0
Depreciation Amortization Depletion,14126000.0,14060000.0,14494000.0,12051000.0
Depreciation And Amortization,14126000.0,14060000.0,14494000.0,12051000.0
Operating Gains Losses,,,,1256000.0
Net Income From Continuing Operations,62516000.0,46025000.0,45126000.0,33133000.0
