,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-9911383.0,-20167812.0,-15152982.0,-11829215.0
Total Unusual Items,-317285.0,-264360.0,211693.0,-581128.0
Total Unusual Items Excluding Goodwill,-317285.0,-264360.0,211693.0,-581128.0
Net Income From Continuing Operation Net Minority Interest,-10556227.0,-20804213.0,-15351914.0,-12858599.0
Reconciled Depreciation,305952.0,323144.0,347613.0,378754.0
EBITDA,-10228668.0,-20432172.0,-14941289.0,-12410343.0
EBIT,-10534620.0,-20755316.0,-15288902.0,-12789097.0
Net Interest Income,42357.0,-19646.0,-57690.0,-34197.0
Interest Expense,21607.0,48897.0,63012.0,69502.0
Interest Income,63964.0,29251.0,5322.0,35305.0
Normalized Income,-10238942.0,-20539853.0,-15563607.0,-12277471.0
Net Income From Continuing And Discontinued Operation,-10556227.0,-20804213.0,-15351914.0,-12858599.0
Total Expenses,11894368.0,21942166.0,18422222.0,15856093.0
Rent Expense Supplemental,35567.0,47283.0,37512.0,12000.0
Total Operating Income As Reported,-10281299.0,-20520207.0,-15505917.0,-12243274.0
Diluted Average Shares,619230.0,376541.0,284331.0,222348.0
Basic Average Shares,619230.0,376541.0,284331.0,222348.0
Diluted EPS,-16.8,-55.2,-54.0,-57.6
Basic EPS,-16.8,-55.2,-54.0,-57.6
Diluted NI Availto Com Stockholders,-10556227.0,-20804213.0,-15351914.0,-12858599.0
Net Income Common Stockholders,-10556227.0,-20804213.0,-15351914.0,-12858599.0
Net Income,-10556227.0,-20804213.0,-15351914.0,-12858599.0
Net Income Including Noncontrolling Interests,-10556227.0,-20804213.0,-15351914.0,-12858599.0
Net Income Continuous Operations,-10556227.0,-20804213.0,-15351914.0,-12858599.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-10556227.0,-20804213.0,-15351914.0,-12858599.0
Other Income Expense,-317285.0,-264360.0,211693.0,-581128.0
Gain On Sale Of Security,-317285.0,-264360.0,211693.0,-581128.0
Net Non Operating Interest Income Expense,42357.0,-19646.0,-57690.0,-34197.0
Interest Expense Non Operating,21607.0,48897.0,63012.0,69502.0
Interest Income Non Operating,63964.0,29251.0,5322.0,35305.0
Operating Income,-10281415.0,-20519728.0,-15505914.0,-12243274.0
Operating Expense,11894368.0,21942166.0,18422222.0,15856093.0
Other Operating Expenses,1635134.0,1473287.0,1314260.0,-266324.0
Depreciation Amortization Depletion Income Statement,305952.0,323144.0,347613.0,76000.0
Depreciation And Amortization In Income Statement,305952.0,323144.0,347613.0,76000.0
Depreciation Income Statement,305952.0,323144.0,347613.0,76000.0
Research And Development,2748422.0,10029786.0,9014083.0,10373200.0
Selling General And Administration,7204860.0,10115949.0,7746266.0,5749217.0
General And Administrative Expense,7204860.0,10115949.0,7746266.0,5749217.0
Other Gand A,1163839.0,1424333.0,1379734.0,5749217.0
Insurance And Claims,628595.0,1591231.0,1591882.0,1506000.0
Rent And Landing Fees,35567.0,47283.0,37512.0,12000.0
Salaries And Wages,5376859.0,7053102.0,4737138.0,2229000.0
Total Revenue,1612953.0,1422438.0,2916308.0,3612819.0
Operating Revenue,1612953.0,1422438.0,2916308.0,3612819.0
