,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,124027617.0,120865151.0,117825070.0,111027460.0
Share Issued,124027617.0,120865151.0,117825070.0,111027460.0
Tangible Book Value,2550393350.0,2100737733.0,2652527878.0,2227273138.0
Net Tangible Assets,2550393350.0,2100737733.0,2652527878.0,2227273138.0
Common Stock Equity,2550393350.0,2100737733.0,2652527878.0,2227273138.0
Total Equity Gross Minority Interest,2550393350.0,2100737733.0,2652527878.0,2227273138.0
Stockholders Equity,2550393350.0,2100737733.0,2652527878.0,2227273138.0
Retained Earnings,1051569094.0,655346995.0,1252184819.0,957438104.0
Additional Paid In Capital,1498700204.0,1445269838.0,1400225187.0,1269724007.0
Capital Stock,124052.0,120900.0,117872.0,111027.0
Common Stock,124052.0,120900.0,117872.0,111027.0
Total Liabilities Net Minority Interest,11012110.0,27704890.0,29125874.0,7700701.0
Derivative Product Liabilities,,,,520793.0
Payables,6910757.0,23352825.0,24454794.0,3844309.0
Other Payable,4339777.0,4630210.0,4706107.0,3844309.0
Accounts Payable,2570980.0,18722615.0,19748687.0,
Total Assets,2561405460.0,2128442623.0,2681653752.0,2234973839.0
Investments And Advances,2550057488.0,2106069173.0,2662443717.0,2227902198.0
Investmentin Financial Assets,2550057488.0,2106069173.0,2662443717.0,2227902198.0
Available For Sale Securities,14685914.0,19916068.0,25420390.0,17052033.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,2535371574.0,2086153105.0,2637023327.0,2210850165.0
Prepaid Assets,,3708239.0,4061730.0,2513246.0
Receivables,7596255.0,18418000.0,14890211.0,3921086.0
Cash And Cash Equivalents,253147.0,247211.0,258094.0,637309.0
Cash Financial,253147.0,247211.0,258094.0,637309.0
Cash Cash Equivalents And Federal Funds Sold,253147.0,247211.0,258094.0,637309.0
