,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,805518.0,805518.0,597609.0,367437.0
Share Issued,805518.0,805518.0,597609.0,367437.0
Net Debt,11736000.0,6130000.0,8468000.0,24004000.0
Total Debt,15544000.0,10551000.0,83077000.0,96507000.0
Tangible Book Value,96937000.0,1041000.0,50862000.0,97349000.0
Invested Capital,112486000.0,11113000.0,87210000.0,133697000.0
Working Capital,22365000.0,13916000.0,37343000.0,85551000.0
Net Tangible Assets,96937000.0,1041000.0,50862000.0,97349000.0
Capital Lease Obligations,0.0,485000.0,46729000.0,60159000.0
Common Stock Equity,96942000.0,1047000.0,50862000.0,97349000.0
Total Capitalization,104336000.0,9822000.0,50862000.0,97349000.0
Total Equity Gross Minority Interest,102241000.0,6465000.0,49556000.0,97349000.0
Minority Interest,5299000.0,5418000.0,-1306000.0,0.0
Stockholders Equity,96942000.0,1047000.0,50862000.0,97349000.0
Other Equity Interest,178815000.0,,,126164000.0
Gains Losses Not Affecting Retained Earnings,-254201000.0,-241000.0,49919000.0,96758000.0
Other Equity Adjustments,-251637000.0,,,-251637000.0
Foreign Currency Translation Adjustments,-2564000.0,,,-1509000.0
Retained Earnings,-655078000.0,,,-494068000.0
Additional Paid In Capital,827406000.0,,,717808000.0
Capital Stock,0.0,1288000.0,943000.0,591000.0
Common Stock,0.0,1288000.0,943000.0,591000.0
Total Liabilities Net Minority Interest,19261000.0,103541000.0,128311000.0,128037000.0
Total Non Current Liabilities Net Minority Interest,7394000.0,8932000.0,33325000.0,46728000.0
Long Term Debt And Capital Lease Obligation,7394000.0,8932000.0,33325000.0,46728000.0
Long Term Capital Lease Obligation,0.0,157000.0,33325000.0,46728000.0
Long Term Debt,7394000.0,8775000.0,,
Current Liabilities,11867000.0,94609000.0,94986000.0,81309000.0
Other Current Liabilities,,88530000.0,,
Current Deferred Liabilities,192000.0,0.0,15545000.0,0.0
Current Deferred Revenue,192000.0,0.0,15545000.0,0.0
Current Debt And Capital Lease Obligation,8150000.0,1619000.0,49752000.0,49779000.0
Current Capital Lease Obligation,0.0,328000.0,13404000.0,13431000.0
Current Debt,8150000.0,1291000.0,36348000.0,36348000.0
Other Current Borrowings,8150000.0,1291000.0,36348000.0,36348000.0
Payables And Accrued Expenses,3525000.0,4460000.0,29689000.0,31530000.0
Current Accrued Expenses,488000.0,402000.0,17870000.0,18423000.0
Payables,3037000.0,4058000.0,11819000.0,13107000.0
Other Payable,1044000.0,397000.0,3645000.0,3381000.0
Dueto Related Parties Current,,,36348000.0,36348000.0
Total Tax Payable,1993000.0,582000.0,1884000.0,2976000.0
Accounts Payable,0.0,3079000.0,6290000.0,6750000.0
Total Assets,121502000.0,110006000.0,177867000.0,225386000.0
Total Non Current Assets,87270000.0,1481000.0,45538000.0,58526000.0
Other Non Current Assets,-1000.0,,,-1000.0
Non Current Note Receivables,86120000.0,,,
Investment Properties,,,,0.0
Goodwill And Other Intangible Assets,5000.0,6000.0,0.0,
Other Intangible Assets,5000.0,6000.0,,
Net PPE,1146000.0,1475000.0,45538000.0,58526000.0
Accumulated Depreciation,-698000.0,-339000.0,-770497000.0,-1101761000.0
Gross PPE,1844000.0,1814000.0,816035000.0,1160287000.0
Other Properties,,469000.0,44288000.0,58458000.0
Machinery Furniture Equipment,1844000.0,1345000.0,753476000.0,752199000.0
Buildings And Improvements,0.0,0.0,18271000.0,349630000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,34232000.0,108525000.0,132329000.0,166860000.0
Assets Held For Sale Current,0.0,74675000.0,0.0,
Restricted Cash,0.0,2069000.0,0.0,0.0
Prepaid Assets,14485000.0,13378000.0,20369000.0,
Inventory,0.0,0.0,31589000.0,52201000.0
Finished Goods,0.0,0.0,26686000.0,44880000.0
Work In Process,0.0,0.0,244000.0,1040000.0
Raw Materials,0.0,0.0,4659000.0,6281000.0
Receivables,15239000.0,5944000.0,52491000.0,102315000.0
Other Receivables,5895000.0,5802000.0,412000.0,845000.0
Duefrom Related Parties Current,9344000.0,,,
Taxes Receivable,0.0,142000.0,663000.0,0.0
Accounts Receivable,0.0,0.0,51416000.0,101470000.0
Allowance For Doubtful Accounts Receivable,0.0,0.0,-771331000.0,-645777000.0
Gross Accounts Receivable,0.0,0.0,822747000.0,747247000.0
Cash Cash Equivalents And Short Term Investments,4508000.0,12459000.0,27880000.0,12344000.0
Other Short Term Investments,700000.0,8523000.0,0.0,
Cash And Cash Equivalents,3808000.0,3936000.0,27880000.0,12344000.0
Cash Financial,3808000.0,3936000.0,27880000.0,12344000.0
