,2024-05-31,2023-05-31,2022-05-31,2021-05-31,2020-05-31
Tax Effect Of Unusual Items,0.0,0.0,18678.0,166000.0,
Tax Rate For Calcs,0.21,0.004,0.011,0.08,
Normalized EBITDA,11441000.0,14474000.0,7147000.0,-5929000.0,
Total Unusual Items,0.0,0.0,1698000.0,2075000.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,1698000.0,2075000.0,
Net Income From Continuing Operation Net Minority Interest,33156000.0,14557000.0,9450000.0,-2027000.0,
Reconciled Depreciation,1363000.0,1099000.0,1045000.0,328000.0,
Reconciled Cost Of Revenue,33675000.0,32215000.0,27164000.0,10568000.0,
EBITDA,11441000.0,14474000.0,8845000.0,-3854000.0,
EBIT,10078000.0,13375000.0,7800000.0,-4182000.0,
Net Interest Income,2388000.0,1245000.0,13000.0,-46000.0,
Interest Income,2388000.0,1245000.0,13000.0,,
Normalized Income,33156000.0,14557000.0,7770678.0,-3936000.0,
Net Income From Continuing And Discontinued Operation,33156000.0,14557000.0,9450000.0,-2027000.0,
Total Expenses,56140000.0,51586000.0,43029000.0,20782000.0,
Total Operating Income As Reported,10078000.0,13375000.0,7800000.0,-4182000.0,
Diluted Average Shares,29617000.0,29215000.0,27774000.0,23457000.0,
Basic Average Shares,28818000.0,27785000.0,26014000.0,23457000.0,
Diluted EPS,1.12,0.5,0.34,-0.09,
Basic EPS,1.15,0.52,0.36,-0.09,
Diluted NI Availto Com Stockholders,33156000.0,14557000.0,9450000.0,-2027000.0,
Net Income Common Stockholders,33156000.0,14557000.0,9450000.0,-2027000.0,
Net Income,33156000.0,14557000.0,9450000.0,-2027000.0,
Minority Interests,,,,0.0,0.0
Net Income Including Noncontrolling Interests,33156000.0,14557000.0,9450000.0,-2027000.0,
Net Income Continuous Operations,33156000.0,14557000.0,9450000.0,-2027000.0,
Tax Provision,-20698000.0,60000.0,91000.0,-177000.0,
Pretax Income,12458000.0,14617000.0,9541000.0,-2204000.0,
Other Income Expense,-8000.0,-3000.0,1728000.0,2024000.0,
Other Non Operating Income Expenses,-8000.0,-3000.0,30000.0,-51000.0,
Special Income Charges,0.0,0.0,1698000.0,2186000.0,
Gain On Sale Of Ppe,,,,2186000.0,0.0
Gain On Sale Of Business,,0.0,0.0,2186000.0,0.0
Other Special Charges,,,-1698000.0,,
Restructuring And Mergern Acquisition,,,0.0,0.0,220000.0
Gain On Sale Of Security,,-3000.0,32000.0,-111000.0,-12000.0
Net Non Operating Interest Income Expense,2388000.0,1245000.0,13000.0,-46000.0,
Total Other Finance Cost,,-1245000.0,-13000.0,46000.0,-10000.0
Interest Income Non Operating,2388000.0,1245000.0,13000.0,,
Operating Income,10078000.0,13375000.0,7800000.0,-4182000.0,
Operating Expense,22465000.0,19371000.0,15865000.0,10214000.0,
Research And Development,8719000.0,7134000.0,5818000.0,3652000.0,
Selling General And Administration,13746000.0,12237000.0,10047000.0,6562000.0,
Gross Profit,32543000.0,32746000.0,23665000.0,6032000.0,
Cost Of Revenue,33675000.0,32215000.0,27164000.0,10568000.0,
Total Revenue,66218000.0,64961000.0,50829000.0,16600000.0,
Operating Revenue,66218000.0,64961000.0,50829000.0,16600000.0,
