,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,7449718.0,-32455085.0,-16912181.0,295938.0
Repayment Of Debt,-31499.0,-279152.0,-7668091.0,-6898542.0
Issuance Of Debt,0.0,123633.0,5613997.0,887365.0
Issuance Of Capital Stock,3433921.0,6213000.0,104565659.0,13202123.0
Capital Expenditure,-29105.0,-599650.0,-227821.0,-21674.0
Interest Paid Supplemental Data,3979.0,1853.0,20154.0,855381.0
Income Tax Paid Supplemental Data,0.0,0.0,446757.0,688316.0
End Cash Position,27889293.0,18521903.0,60802179.0,31735479.0
Beginning Cash Position,18521903.0,60802179.0,31735479.0,8438032.0
Effect Of Exchange Rate Changes,830064.0,-1359281.0,-1622343.0,50683.0
Changes In Cash,8537326.0,-40920995.0,30689043.0,23246764.0
Financing Cash Flow,3187489.0,6057481.0,103417404.0,21148031.0
Cash From Discontinued Financing Activities,,,0.0,0.0
Cash Flow From Continuing Financing Activities,3187489.0,6057481.0,103417404.0,21148031.0
Net Other Financing Charges,,,-2269750.0,2686541.0
Proceeds From Stock Option Exercised,,0.0,3249339.0,11380460.0
Cash Dividends Paid,-214933.0,0.0,-73750.0,-109916.0
Preferred Stock Dividend Paid,,0.0,-73750.0,-109916.0
Net Common Stock Issuance,3433921.0,6213000.0,104565659.0,13202123.0
Common Stock Issuance,3433921.0,6213000.0,104565659.0,13202123.0
Net Issuance Payments Of Debt,-31499.0,-155519.0,-2054094.0,-6011177.0
Net Short Term Debt Issuance,0.0,123633.0,,
Short Term Debt Issuance,0.0,123633.0,,
Net Long Term Debt Issuance,-31499.0,-279152.0,-2054094.0,-6011177.0
Long Term Debt Payments,-31499.0,-279152.0,-7668091.0,-6898542.0
Long Term Debt Issuance,,123633.0,5613997.0,887365.0
Investing Cash Flow,-2128986.0,-15123041.0,-56044001.0,1781121.0
Cash From Discontinued Investing Activities,,,0.0,0.0
Cash Flow From Continuing Investing Activities,-2128986.0,-15123041.0,-56044001.0,1781121.0
Net Other Investing Changes,-665643.0,627150.0,-12418481.0,-200000.0
Net Investment Purchase And Sale,-756078.0,-8325811.0,-16799600.0,2202795.0
Sale Of Investment,0.0,103809.0,2590718.0,2404024.0
Purchase Of Investment,-756078.0,-8429620.0,-19390318.0,-201229.0
Net Investment Properties Purchase And Sale,-678160.0,-6824730.0,-25362146.0,0.0
Purchase Of Investment Properties,-678160.0,-6824730.0,-25362146.0,0.0
Net Business Purchase And Sale,,0.0,-1235953.0,-200000.0
Sale Of Business,,,,301976.0
Purchase Of Business,,0.0,-1235953.0,-200000.0
Net PPE Purchase And Sale,-29105.0,-599650.0,-227821.0,-21674.0
Purchase Of PPE,-29105.0,-599650.0,-227821.0,-21674.0
Operating Cash Flow,7478823.0,-31855435.0,-16684360.0,317612.0
Cash From Discontinued Operating Activities,,,0.0,-422188.0
Cash Flow From Continuing Operating Activities,7478823.0,-31855435.0,-16684360.0,739800.0
Change In Working Capital,4982309.0,-26860013.0,-2409254.0,1647867.0
Change In Other Working Capital,-18714.0,-738698.0,-3430260.0,1425699.0
Change In Other Current Liabilities,-1124401.0,-638006.0,-293525.0,-329404.0
Change In Other Current Assets,-752406.0,-7510442.0,-14426785.0,0.0
Change In Payables And Accrued Expense,314309.0,-9535319.0,9663367.0,-261747.0
Change In Accrued Expense,,,,0.0
Change In Interest Payable,,,,0.0
Change In Payable,314309.0,-9535319.0,9663367.0,-261747.0
Change In Account Payable,,-9535319.0,9663367.0,416947.0
Change In Tax Payable,,,0.0,-678694.0
Change In Income Tax Payable,,,0.0,-678694.0
Change In Prepaid Assets,48340.0,104569.0,383081.0,-1747768.0
Change In Inventory,13115081.0,-8228323.0,4845455.0,4190631.0
Change In Receivables,-6599900.0,-313794.0,849413.0,-1629544.0
Changes In Account Receivables,217178.0,-221869.0,849413.0,-1629544.0
Other Non Cash Items,22749182.0,-55778.0,50871869.0,-42574.0
Stock Based Compensation,,0.0,134192.0,1564376.0
Unrealized Gain Loss On Investment Securities,2899286.0,31350358.0,49190748.0,1690086.0
Asset Impairment Charge,855852.0,0.0,421754.0,104978.0
Depreciation Amortization Depletion,1217017.0,963077.0,777704.0,357852.0
Depreciation And Amortization,1217017.0,963077.0,777704.0,357852.0
Depreciation,1217017.0,963077.0,777704.0,357852.0
Operating Gains Losses,36053910.0,8959426.0,3346218.0,517533.0
Earnings Losses From Equity Investments,24483374.0,685533.0,51999.0,227643.0
Gain Loss On Investment Securities,10873250.0,7726048.0,4698078.0,
Net Foreign Currency Exchange Gain Loss,697286.0,547845.0,-1403859.0,354392.0
Gain Loss On Sale Of Business,,,,0.0
Net Income From Continuing Operations,-61278733.0,-46212505.0,-119017591.0,-5100318.0
