,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,37159600.0,27430741.0,27430741.0,27430741.0
Share Issued,37159600.0,27430741.0,27430741.0,27430741.0
Net Debt,,121546000.0,81237000.0,51992000.0
Total Debt,278000.0,131791000.0,86889000.0,72160000.0
Tangible Book Value,-153044000.0,-287500000.0,-234944000.0,-208273000.0
Invested Capital,-153044000.0,-156208000.0,-148579000.0,-136113000.0
Working Capital,-6827000.0,-72736000.0,-15650000.0,16179000.0
Net Tangible Assets,-153044000.0,-287500000.0,-234944000.0,-208273000.0
Capital Lease Obligations,278000.0,499000.0,524000.0,
Common Stock Equity,-153044000.0,-287500000.0,-234944000.0,-208273000.0
Total Capitalization,-153044000.0,-227074000.0,-164182000.0,-136113000.0
Total Equity Gross Minority Interest,-153044000.0,-270413000.0,-223824000.0,-203234000.0
Minority Interest,0.0,17087000.0,11120000.0,5039000.0
Stockholders Equity,-153044000.0,-287500000.0,-234944000.0,-208273000.0
Other Equity Interest,-60710000.0,,,
Treasury Stock,0.0,23000.0,23000.0,23000.0
Retained Earnings,-473602000.0,-474839000.0,-422283000.0,-366646000.0
Additional Paid In Capital,381264000.0,187348000.0,187348000.0,158385000.0
Capital Stock,4000.0,14000.0,14000.0,11000.0
Common Stock,4000.0,14000.0,14000.0,11000.0
Total Liabilities Net Minority Interest,159889000.0,281191000.0,230260000.0,224448000.0
Total Non Current Liabilities Net Minority Interest,146840000.0,198617000.0,209456000.0,220251000.0
Other Non Current Liabilities,104350000.0,,221000.0,10142000.0
Preferred Securities Outside Stock Equity,0.0,137949000.0,137949000.0,137949000.0
Derivative Product Liabilities,42490000.0,0.0,,
Long Term Debt And Capital Lease Obligation,0.0,60668000.0,71286000.0,72160000.0
Long Term Capital Lease Obligation,0.0,242000.0,524000.0,
Long Term Debt,,60426000.0,70762000.0,72160000.0
Current Liabilities,13049000.0,82574000.0,20804000.0,4197000.0
Current Debt And Capital Lease Obligation,278000.0,71123000.0,15603000.0,
Current Capital Lease Obligation,278000.0,257000.0,,
Current Debt,,70866000.0,15603000.0,
Other Current Borrowings,,70866000.0,15603000.0,
Current Notes Payable,,,,0.0
Pensionand Other Post Retirement Benefit Plans Current,943000.0,1112000.0,1066000.0,1247000.0
Payables And Accrued Expenses,11828000.0,10339000.0,4135000.0,2950000.0
Current Accrued Expenses,7871000.0,2534000.0,2943000.0,914000.0
Interest Payable,,,,0.0
Payables,3957000.0,7805000.0,1192000.0,2036000.0
Dueto Related Parties Current,,,,5000.0
Total Tax Payable,569000.0,0.0,,0.0
Accounts Payable,3388000.0,7805000.0,1192000.0,2031000.0
Total Assets,6845000.0,10778000.0,6436000.0,21214000.0
Total Non Current Assets,623000.0,940000.0,1282000.0,838000.0
Other Non Current Assets,29000.0,34000.0,360000.0,838000.0
Investments And Advances,,,,0.0
Long Term Equity Investment,,,,0.0
Investments In Other Ventures Under Equity Method,,,,0.0
Net PPE,594000.0,906000.0,922000.0,
Accumulated Depreciation,-170000.0,-71000.0,-3000.0,
Gross PPE,764000.0,977000.0,925000.0,
Leases,66000.0,66000.0,66000.0,
Other Properties,237000.0,237000.0,729000.0,
Machinery Furniture Equipment,199000.0,199000.0,130000.0,
Buildings And Improvements,262000.0,475000.0,729000.0,
Properties,0.0,0.0,0.0,
Current Assets,6222000.0,9838000.0,5154000.0,20376000.0
Other Current Assets,1064000.0,92000.0,26000.0,208000.0
Prepaid Assets,,,,208000.0
Receivables,,,,0.0
Taxes Receivable,,,,0.0
Accounts Receivable,,,,0.0
Cash Cash Equivalents And Short Term Investments,5158000.0,9746000.0,5128000.0,20168000.0
Other Short Term Investments,,,,0.0
Cash And Cash Equivalents,5158000.0,9746000.0,5128000.0,20168000.0
Cash Financial,5158000.0,9746000.0,5128000.0,20168000.0
