,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1184572.0,11233240.0,20204160.0,20204160.0
Ordinary Shares Number,526184585.0,513866081.0,504212015.0,496604194.0
Share Issued,527369157.0,525099321.0,524416175.0,516808354.0
Net Debt,42643300000.0,40403800000.0,35665100000.0,33159100000.0
Total Debt,43608500000.0,41579300000.0,36658900000.0,34431500000.0
Tangible Book Value,25194200000.0,23840900000.0,22380700000.0,20498400000.0
Invested Capital,68220100000.0,64806600000.0,58501700000.0,54102700000.0
Working Capital,-5501500000.0,-6490800000.0,-4617500000.0,-5575200000.0
Net Tangible Assets,25194200000.0,23840900000.0,22380700000.0,20498400000.0
Capital Lease Obligations,635100000.0,666100000.0,590400000.0,879700000.0
Common Stock Equity,25246700000.0,23893400000.0,22433200000.0,20550900000.0
Total Capitalization,62899400000.0,58208000000.0,53733900000.0,49537300000.0
Total Equity Gross Minority Interest,25285900000.0,24122400000.0,22680200000.0,20774500000.0
Minority Interest,39200000.0,229000000.0,247000000.0,223600000.0
Stockholders Equity,25246700000.0,23893400000.0,22433200000.0,20550900000.0
Gains Losses Not Affecting Retained Earnings,-55500000.0,83700000.0,184800000.0,-85100000.0
Other Equity Adjustments,-55500000.0,83700000.0,184800000.0,-85100000.0
Retained Earnings,12800400000.0,12345600000.0,11667100000.0,10687800000.0
Additional Paid In Capital,9073900000.0,8051000000.0,7172600000.0,6588900000.0
Capital Stock,3427900000.0,3413100000.0,3408700000.0,3359300000.0
Common Stock,3427900000.0,3413100000.0,3408700000.0,3359300000.0
Total Liabilities Net Minority Interest,71398100000.0,69280900000.0,64988500000.0,59982700000.0
Total Non Current Liabilities Net Minority Interest,59814500000.0,56014600000.0,52561800000.0,50056000000.0
Other Non Current Liabilities,545800000.0,607300000.0,601300000.0,
Preferred Securities Outside Stock Equity,42500000.0,45900000.0,43300000.0,45200000.0
Derivative Product Liabilities,241800000.0,345200000.0,230300000.0,232800000.0
Employee Benefits,241700000.0,257300000.0,328400000.0,336400000.0
Non Current Pension And Other Postretirement Benefit Plans,241700000.0,257300000.0,328400000.0,336400000.0
Non Current Deferred Liabilities,9415700000.0,8896900000.0,8202500000.0,8968900000.0
Non Current Deferred Taxes Liabilities,9415700000.0,8896900000.0,8202500000.0,8240900000.0
Long Term Debt And Capital Lease Obligation,38172100000.0,34867100000.0,31793500000.0,29624800000.0
Long Term Capital Lease Obligation,519400000.0,552500000.0,492800000.0,638400000.0
Long Term Debt,37652700000.0,34314600000.0,31300700000.0,28986400000.0
Long Term Provisions,2972500000.0,2879300000.0,2676200000.0,2469200000.0
Current Liabilities,11583600000.0,13266300000.0,12426700000.0,9926700000.0
Other Current Liabilities,1480700000.0,1423400000.0,3325500000.0,1330700000.0
Current Deferred Liabilities,423700000.0,408800000.0,321600000.0,335600000.0
Current Deferred Revenue,423700000.0,408800000.0,321600000.0,335600000.0
Current Debt And Capital Lease Obligation,5436400000.0,6712200000.0,4865400000.0,4806700000.0
Current Capital Lease Obligation,115700000.0,113600000.0,97600000.0,241300000.0
Current Debt,5320700000.0,6598600000.0,4767800000.0,4565400000.0
Other Current Borrowings,3378500000.0,3236400000.0,3403800000.0,4565400000.0
Line Of Credit,0.0,500000000.0,,592000000.0
Commercial Paper,1937900000.0,2862200000.0,1364000000.0,
Current Notes Payable,4300000.0,0.0,,
Payables And Accrued Expenses,4242800000.0,4721900000.0,3914200000.0,3453700000.0
Current Accrued Expenses,410200000.0,336500000.0,273200000.0,267600000.0
Interest Payable,410200000.0,336500000.0,273200000.0,267600000.0
Payables,3832600000.0,4385400000.0,3641000000.0,3186100000.0
Total Tax Payable,1800100000.0,1714600000.0,1586400000.0,1476400000.0
Accounts Payable,2032500000.0,2670800000.0,2054600000.0,1709700000.0
Total Assets,96684000000.0,93403300000.0,87668700000.0,80757200000.0
Total Non Current Assets,90601900000.0,86627800000.0,79859500000.0,76405700000.0
Other Non Current Assets,3625700000.0,3757400000.0,4398300000.0,
Non Current Deferred Assets,,,4398300000.0,3852300000.0
Financial Assets,321200000.0,284100000.0,267000000.0,242200000.0
Investments And Advances,4196500000.0,3787200000.0,4419800000.0,3963700000.0
Other Investments,3860200000.0,3341200000.0,3867000000.0,3306700000.0
Investmentin Financial Assets,336300000.0,446000000.0,552800000.0,657000000.0
Held To Maturity Securities,,,,657000000.0
Goodwill And Other Intangible Assets,52500000.0,52500000.0,52500000.0,52500000.0
Goodwill,52500000.0,52500000.0,52500000.0,52500000.0
Net PPE,77313600000.0,73984600000.0,66579600000.0,64768000000.0
Accumulated Depreciation,-24553000000.0,-23682300000.0,-20805100000.0,-20411400000.0
Gross PPE,101866600000.0,97666900000.0,87384700000.0,85179400000.0
Construction In Progress,5508000000.0,4809700000.0,3684300000.0,4025700000.0
Other Properties,7105100000.0,6617300000.0,6261200000.0,6161000000.0
Current Assets,6082100000.0,6775500000.0,7809200000.0,4351500000.0
Other Current Assets,788200000.0,1565000000.0,777600000.0,217700000.0
Hedging Assets Current,217500000.0,348800000.0,194400000.0,94700000.0
Assets Held For Sale Current,,2823500000.0,2919700000.0,0.0
Restricted Cash,48900000.0,47100000.0,241400000.0,107600000.0
Prepaid Assets,,,129800000.0,127000000.0
Inventory,1879500000.0,1350200000.0,989200000.0,1310000000.0
Receivables,2603600000.0,2767400000.0,2063100000.0,2028000000.0
Receivables Adjustments Allowances,-60100000.0,-57100000.0,-55600000.0,-71100000.0
Other Receivables,1298100000.0,1257100000.0,1071900000.0,1051500000.0
Taxes Receivable,156200000.0,99400000.0,121500000.0,185300000.0
Accounts Receivable,1029900000.0,1145100000.0,720900000.0,613600000.0
Cash Cash Equivalents And Short Term Investments,544400000.0,697000000.0,623800000.0,593500000.0
Other Short Term Investments,214300000.0,187600000.0,220400000.0,200800000.0
Cash And Cash Equivalents,330100000.0,509400000.0,403400000.0,392700000.0
