,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,21228934.0,31321973.0,9538562.0
Repayment Of Debt,-88737500.0,-75000000.0,0.0
Issuance Of Debt,63000000.0,60000000.0,175000000.0
Issuance Of Capital Stock,0.0,75057650.0,185501294.0
Interest Paid Supplemental Data,5549250.0,5847743.0,0.0
Income Tax Paid Supplemental Data,1655821.0,952524.0,35167.0
End Cash Position,121626453.0,140372841.0,109246048.0
Beginning Cash Position,140372841.0,109246048.0,9623820.0
Changes In Cash,-18746388.0,31126793.0,99622228.0
Financing Cash Flow,-68494701.0,16148505.0,338541754.0
Cash Flow From Continuing Financing Activities,-68494701.0,16148505.0,338541754.0
Net Other Financing Charges,-225000.0,-2289873.0,-7569852.0
Cash Dividends Paid,-42532201.0,-41619272.0,-14389688.0
Net Common Stock Issuance,0.0,75057650.0,185501294.0
Common Stock Issuance,0.0,75057650.0,185501294.0
Net Issuance Payments Of Debt,-25737500.0,-15000000.0,175000000.0
Net Short Term Debt Issuance,-18000000.0,-15000000.0,75000000.0
Short Term Debt Payments,-81000000.0,-75000000.0,0.0
Short Term Debt Issuance,63000000.0,60000000.0,75000000.0
Net Long Term Debt Issuance,-7737500.0,0.0,100000000.0
Long Term Debt Payments,-7737500.0,0.0,
Long Term Debt Issuance,,0.0,100000000.0
Investing Cash Flow,28519379.0,-16343685.0,-248458088.0
Cash Flow From Continuing Investing Activities,28519379.0,-16343685.0,-248458088.0
Net Other Investing Changes,,,2313130.0
Net Investment Purchase And Sale,0.0,15900000.0,-16050000.0
Sale Of Investment,0.0,15900000.0,0.0
Purchase Of Investment,,0.0,-16050000.0
Net Intangibles Purchase And Sale,,,2313130.0
Sale Of Intangibles,,,2313130.0
Operating Cash Flow,21228934.0,31321973.0,9538562.0
Cash Flow From Continuing Operating Activities,21228934.0,31321973.0,9538562.0
Change In Working Capital,-4587466.0,-1058141.0,-4803649.0
Change In Other Working Capital,-4843611.0,-1986500.0,-5002107.0
Change In Payables And Accrued Expense,-901070.0,913693.0,4561288.0
Change In Accrued Expense,-777404.0,1587885.0,3374703.0
Change In Payable,-123666.0,-674192.0,1186585.0
Change In Account Payable,-123666.0,-674192.0,1186585.0
Change In Prepaid Assets,-346815.0,859203.0,-877184.0
Change In Receivables,1504030.0,-844537.0,-3485646.0
Changes In Account Receivables,1504030.0,-844537.0,-3485646.0
Other Non Cash Items,-1776706.0,-4116912.0,-5052040.0
Stock Based Compensation,988913.0,1338469.0,1745872.0
Operating Gains Losses,-645905.0,-450000.0,-450000.0
Gain Loss On Investment Securities,1340476.0,-450000.0,-450000.0
Net Income From Continuing Operations,20951999.0,35932397.0,21000497.0
