,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.2,0.19,0.07
Net Income From Continuing Operation Net Minority Interest,852000000.0,898000000.0,1081000000.0,325000000.0
Reconciled Depreciation,78000000.0,100000000.0,187000000.0,299000000.0
EBIT,1149000000.0,1208000000.0,1429000000.0,427000000.0
Net Interest Income,-76000000.0,-85000000.0,-94000000.0,-88000000.0
Interest Expense,76000000.0,85000000.0,94000000.0,88000000.0
Interest Income,34000000.0,39000000.0,30000000.0,35000000.0
Normalized Income,852000000.0,898000000.0,1081000000.0,325000000.0
Net Income From Continuing And Discontinued Operation,852000000.0,898000000.0,1995000000.0,732000000.0
Total Expenses,6655000000.0,5650000000.0,4896000000.0,5331000000.0
Diluted Average Shares,84800000.0,85300000.0,85600000.0,89200000.0
Basic Average Shares,84700000.0,85204006.0,84920965.0,86345246.0
Diluted EPS,10.05,10.53,23.3,8.2
Basic EPS,10.06,10.539411,23.492432,8.477595
Diluted NI Availto Com Stockholders,852000000.0,898000000.0,1995000000.0,732000000.0
Net Income Common Stockholders,852000000.0,898000000.0,1995000000.0,732000000.0
Net Income,852000000.0,898000000.0,1995000000.0,732000000.0
Minority Interests,,0.0,0.0,11000000.0
Net Income Including Noncontrolling Interests,852000000.0,898000000.0,1995000000.0,721000000.0
Net Income Discontinuous Operations,0.0,0.0,914000000.0,407000000.0
Net Income Continuous Operations,852000000.0,898000000.0,1081000000.0,314000000.0
Tax Provision,221000000.0,225000000.0,254000000.0,25000000.0
Pretax Income,1073000000.0,1123000000.0,1335000000.0,339000000.0
Other Income Expense,146000000.0,117000000.0,113000000.0,80000000.0
Net Non Operating Interest Income Expense,-76000000.0,-85000000.0,-94000000.0,-88000000.0
Interest Expense Non Operating,76000000.0,85000000.0,94000000.0,88000000.0
Other Operating Expenses,305000000.0,255000000.0,264000000.0,279000000.0
Total Revenue,7728000000.0,6773000000.0,6231000000.0,5670000000.0
Operating Revenue,7728000000.0,6773000000.0,6231000000.0,5670000000.0
Loss Adjustment Expense,4033000000.0,3629000000.0,3157000000.0,3271000000.0
Net Policyholder Benefits And Claims,4033000000.0,3629000000.0,3157000000.0,3271000000.0
