,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,290842000.0,-108594000.0,-273899000.0,-213382000.0,
Repurchase Of Capital Stock,0.0,-109000.0,-86000.0,-813000.0,
Repayment Of Debt,-13892949000.0,-6614397000.0,-4642608000.0,-3375471000.0,
Issuance Of Debt,14989444000.0,8044971000.0,6804828000.0,4338133000.0,
Issuance Of Capital Stock,,0.0,0.0,1739718000.0,15481000.0
Capital Expenditure,-159296000.0,-120775000.0,-111705000.0,-20252000.0,
Interest Paid Supplemental Data,318235000.0,163191000.0,51524000.0,41690000.0,
Income Tax Paid Supplemental Data,1187000.0,808000.0,220000.0,219000.0,
End Cash Position,1295399000.0,1259944000.0,1550807000.0,1692632000.0,
Beginning Cash Position,1259944000.0,1550807000.0,1692632000.0,328128000.0,
Effect Of Exchange Rate Changes,-2683000.0,81000.0,-5412000.0,1837000.0,
Changes In Cash,38138000.0,-290944000.0,-136413000.0,1362667000.0,
Financing Cash Flow,913149000.0,1349945000.0,2037119000.0,2577830000.0,
Cash Flow From Continuing Financing Activities,913149000.0,1349945000.0,2037119000.0,2577830000.0,
Net Other Financing Charges,-216471000.0,-96288000.0,-198929000.0,-170779000.0,
Proceeds From Stock Option Exercised,33125000.0,15768000.0,73914000.0,47042000.0,
Net Preferred Stock Issuance,,0.0,0.0,434529000.0,-7110000.0
Preferred Stock Payments,,0.0,0.0,-13000.0,-22591000.0
Preferred Stock Issuance,,0.0,0.0,434542000.0,15481000.0
Net Common Stock Issuance,0.0,-109000.0,-86000.0,1304376000.0,
Common Stock Payments,0.0,-109000.0,-86000.0,-800000.0,
Common Stock Issuance,,0.0,0.0,1305176000.0,0.0
Net Issuance Payments Of Debt,1096495000.0,1430574000.0,2162220000.0,962662000.0,
Net Long Term Debt Issuance,1096495000.0,1430574000.0,2162220000.0,962662000.0,
Long Term Debt Payments,-13892949000.0,-6614397000.0,-4642608000.0,-3375471000.0,
Long Term Debt Issuance,14989444000.0,8044971000.0,6804828000.0,4338133000.0,
Investing Cash Flow,-1325149000.0,-1653070000.0,-2011338000.0,-1022033000.0,
Cash Flow From Continuing Investing Activities,-1325149000.0,-1653070000.0,-2011338000.0,-1022033000.0,
Net Other Investing Changes,-1316719000.0,-1971592000.0,-363289000.0,-779348000.0,
Net Investment Purchase And Sale,150866000.0,455348000.0,-1530345000.0,0.0,
Sale Of Investment,1136937000.0,1537495000.0,311035000.0,0.0,
Purchase Of Investment,-986071000.0,-1082147000.0,-1841380000.0,0.0,
Net Business Purchase And Sale,0.0,-16051000.0,-5999000.0,-222433000.0,
Purchase Of Business,0.0,-16051000.0,-5999000.0,-222433000.0,
Net Intangibles Purchase And Sale,0.0,0.0,-25415000.0,0.0,
Purchase Of Intangibles,0.0,0.0,-25415000.0,0.0,
Net PPE Purchase And Sale,-159296000.0,-120775000.0,-86290000.0,-20252000.0,
Purchase Of PPE,-159296000.0,-120775000.0,-86290000.0,-20252000.0,
Operating Cash Flow,450138000.0,12181000.0,-162194000.0,-193130000.0,
Cash Flow From Continuing Operating Activities,450138000.0,12181000.0,-162194000.0,-193130000.0,
Change In Working Capital,-62352000.0,-134975000.0,-9906000.0,-53748000.0,
Change In Other Working Capital,,,,,19936000.0
Change In Other Current Assets,31228000.0,-14466000.0,-15021000.0,-209139000.0,
Change In Payables And Accrued Expense,74177000.0,-52819000.0,67815000.0,178325000.0,
Change In Accrued Expense,-44031000.0,-30250000.0,71197000.0,121020000.0,
Change In Interest Payable,11138000.0,7915000.0,3907000.0,1395000.0,
Change In Payable,118208000.0,-22569000.0,-3382000.0,57305000.0,
Change In Account Payable,12417000.0,-5038000.0,-24686000.0,32223000.0,
Change In Receivables,-167757000.0,-67690000.0,-62700000.0,-22934000.0,
Changes In Account Receivables,-167757000.0,-67690000.0,-62700000.0,-22934000.0,
Other Non Cash Items,-315965000.0,-82979000.0,-401081000.0,-88263000.0,
Stock Based Compensation,344511000.0,451709000.0,390983000.0,292507000.0,
Provisionand Write Offof Assets,460628000.0,331860000.0,255272000.0,65878000.0,
Asset Impairment Charge,752000.0,1244000.0,362000.0,11544000.0,
Amortization Of Securities,-22799000.0,-36060000.0,2192000.0,0.0,
Deferred Tax,,,,,385000.0
Deferred Income Tax,,,,,385000.0
Depreciation Amortization Depletion,169044000.0,134634000.0,52722000.0,19979000.0,
Depreciation And Amortization,169044000.0,134634000.0,52722000.0,19979000.0,
Operating Gains Losses,394076000.0,332093000.0,254679000.0,-89926000.0,
Gain Loss On Investment Securities,406714000.0,421934000.0,254679000.0,,3834000.0
Net Income From Continuing Operations,-517757000.0,-985345000.0,-707417000.0,-441027000.0,
