,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2279784.0,581746.0,,
Ordinary Shares Number,36805686.0,38503724.0,39116907.0,38506844.0
Share Issued,39085470.0,39085470.0,39116907.0,38506844.0
Net Debt,,,,4482174.0
Total Debt,16273396.0,7754239.0,0.0,4906397.0
Tangible Book Value,63716836.0,87831472.0,98619980.0,33374766.0
Invested Capital,91980092.0,87904068.0,98646807.0,38311981.0
Working Capital,66388826.0,79078320.0,89011616.0,21307288.0
Net Tangible Assets,63716836.0,87831472.0,98619980.0,33374766.0
Capital Lease Obligations,7043228.0,7754239.0,0.0,
Common Stock Equity,82749924.0,87904068.0,98646807.0,33405584.0
Total Capitalization,82749924.0,87904068.0,98646807.0,34351830.0
Total Equity Gross Minority Interest,93408041.0,87904068.0,98646807.0,33405584.0
Minority Interest,10658117.0,0.0,,
Stockholders Equity,82749924.0,87904068.0,98646807.0,33405584.0
Gains Losses Not Affecting Retained Earnings,433565.0,219675.0,269606.0,190966.0
Other Equity Adjustments,433565.0,219675.0,269606.0,190966.0
Treasury Stock,2693653.0,610562.0,0.0,
Retained Earnings,-113671029.0,-110235568.0,-99411683.0,-162277414.0
Additional Paid In Capital,198677132.0,198526614.0,197784972.0,195488181.0
Capital Stock,3909.0,3909.0,3912.0,3851.0
Common Stock,3909.0,3909.0,3912.0,3851.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,18608646.0,9825607.0,7156865.0,28494911.0
Total Non Current Liabilities Net Minority Interest,6656411.0,6527075.0,1907634.0,2833251.0
Liabilities Heldfor Sale Non Current,,,,0.0
Non Current Accrued Expenses,,,0.0,193939.0
Non Current Deferred Liabilities,1096160.0,0.0,1907634.0,1693066.0
Non Current Deferred Taxes Liabilities,1096160.0,0.0,,
Long Term Debt And Capital Lease Obligation,5560251.0,6527075.0,0.0,946246.0
Long Term Capital Lease Obligation,5560251.0,6527075.0,0.0,
Long Term Debt,,,,946246.0
Current Liabilities,11952235.0,3298532.0,5249231.0,25661660.0
Other Current Liabilities,100.0,100.0,14697.0,9199673.0
Current Deferred Liabilities,103748.0,108428.0,340329.0,57018.0
Current Deferred Revenue,103748.0,108428.0,141825.0,57018.0
Current Debt And Capital Lease Obligation,10713145.0,1227164.0,,3960151.0
Current Capital Lease Obligation,1482977.0,1227164.0,0.0,
Current Debt,9230168.0,,,3960151.0
Other Current Borrowings,9230168.0,,,2539055.0
Current Notes Payable,,,0.0,1421096.0
Pensionand Other Post Retirement Benefit Plans Current,655458.0,1546805.0,2202621.0,1010734.0
Payables And Accrued Expenses,479784.0,416035.0,2691584.0,11434084.0
Current Accrued Expenses,107954.0,98474.0,2350423.0,1098756.0
Interest Payable,,,0.0,152899.0
Payables,371830.0,317561.0,341161.0,10335328.0
Dueto Related Parties Current,,,0.0,9433975.0
Accounts Payable,371830.0,317561.0,341161.0,901353.0
Total Assets,112016687.0,97729675.0,105803672.0,61900495.0
Total Non Current Assets,33675627.0,15352822.0,11542825.0,14931547.0
Other Non Current Assets,5000000.0,5049950.0,5000000.0,5000000.0
Non Current Prepaid Assets,392668.0,379105.0,379105.0,625000.0
Investments And Advances,,,,0.0
Other Investments,,,,0.0
Goodwill And Other Intangible Assets,19033088.0,72596.0,26827.0,30818.0
Other Intangible Assets,6304032.0,72596.0,26827.0,30818.0
Goodwill,12729056.0,0.0,,
Net PPE,9249871.0,9851171.0,6136893.0,9275729.0
Accumulated Depreciation,-12234243.0,-11780652.0,-9754156.0,-6452432.0
Gross PPE,21484114.0,21631823.0,15891049.0,15728161.0
Leases,4711996.0,4578081.0,4678038.0,4645760.0
Other Properties,13551687.0,13794104.0,7919208.0,7841985.0
Machinery Furniture Equipment,3220431.0,3259638.0,3293803.0,3240416.0
Properties,0.0,0.0,0.0,0.0
Current Assets,78341061.0,82376852.0,94260847.0,46968948.0
Other Current Assets,498886.0,459274.0,984777.0,909766.0
Assets Held For Sale Current,,,0.0,45363817.0
Restricted Cash,,,,5000000.0
Prepaid Assets,3700000.0,0.0,984777.0,909766.0
Receivables,1321592.0,750136.0,389040.0,271142.0
Accrued Interest Receivable,792223.0,677397.0,0.0,
Accounts Receivable,529369.0,72739.0,389040.0,271142.0
Cash Cash Equivalents And Short Term Investments,72820583.0,81167442.0,92887030.0,424223.0
Other Short Term Investments,56500000.0,70000000.0,0.0,
Cash And Cash Equivalents,16320583.0,11167442.0,92887030.0,424223.0
Cash Financial,,,92887030.0,424223.0
