,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-146480000.0,-160725000.0,49067000.0,-110693000.0
Total Unusual Items,556000.0,-1122000.0,-5284000.0,-3941000.0
Total Unusual Items Excluding Goodwill,556000.0,-1122000.0,-5284000.0,-3941000.0
Net Income From Continuing Operation Net Minority Interest,-245761000.0,-220074000.0,-23926000.0,-180914000.0
Reconciled Depreciation,13588000.0,6946000.0,6788000.0,7179000.0
Reconciled Cost Of Revenue,237680000.0,197259000.0,182078000.0,144966000.0
EBITDA,-145924000.0,-161847000.0,43783000.0,-114634000.0
EBIT,-159512000.0,-168793000.0,36995000.0,-121813000.0
Net Interest Income,-97925000.0,-61863000.0,-65719000.0,-61078000.0
Interest Expense,97925000.0,61863000.0,65719000.0,61078000.0
Normalized Income,-246317000.0,-218952000.0,-18642000.0,-176973000.0
Net Income From Continuing And Discontinued Operation,-245761000.0,-220074000.0,-23926000.0,-180914000.0
Total Expenses,316419000.0,278266000.0,258437000.0,204184000.0
Total Operating Income As Reported,-159549000.0,-179427000.0,25747000.0,-117235000.0
Diluted Average Shares,17894450.0,14087150.0,11445950.0,8625200.0
Basic Average Shares,17894450.0,14087150.0,11445950.0,8625200.0
Diluted EPS,-13.8,-15.6,-2.2,-21.0
Basic EPS,-13.8,-15.6,-2.2,-21.0
Diluted NI Availto Com Stockholders,-245974000.0,-220286000.0,-24137000.0,-181123000.0
Net Income Common Stockholders,-245974000.0,-220286000.0,-24137000.0,-181123000.0
Preferred Stock Dividends,213000.0,212000.0,211000.0,209000.0
Net Income,-245761000.0,-220074000.0,-23926000.0,-180914000.0
Minority Interests,11676000.0,10582000.0,4798000.0,1977000.0
Net Income Including Noncontrolling Interests,-257437000.0,-230656000.0,-28724000.0,-182891000.0
Net Income Continuous Operations,-257437000.0,-230656000.0,-28724000.0,-182891000.0
Pretax Income,-257437000.0,-230656000.0,-28724000.0,-182891000.0
Other Income Expense,593000.0,11449000.0,-233000.0,-5799000.0
Other Non Operating Income Expenses,37000.0,12571000.0,5051000.0,-1858000.0
Special Income Charges,556000.0,-1122000.0,-5284000.0,-3941000.0
Other Special Charges,,1937000.0,-6197000.0,2720000.0
Restructuring And Mergern Acquisition,-556000.0,-815000.0,11481000.0,1221000.0
Net Non Operating Interest Income Expense,-97925000.0,-61863000.0,-65719000.0,-61078000.0
Interest Expense Non Operating,97925000.0,61863000.0,65719000.0,61078000.0
Operating Income,-160105000.0,-180242000.0,37228000.0,-116014000.0
Operating Expense,78739000.0,81007000.0,76359000.0,59218000.0
Selling General And Administration,78739000.0,81007000.0,76359000.0,59218000.0
General And Administrative Expense,78739000.0,81007000.0,76359000.0,59218000.0
Other Gand A,78739000.0,81007000.0,76359000.0,59218000.0
Gross Profit,-81366000.0,-99235000.0,113587000.0,-56796000.0
Cost Of Revenue,237680000.0,197259000.0,182078000.0,144966000.0
Total Revenue,156314000.0,98024000.0,295665000.0,88170000.0
Operating Revenue,41742000.0,52739000.0,251126000.0,40534000.0
