,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,396956984.0,393806489.0,391889733.0,392776822.0
Share Issued,396956984.0,393806489.0,391889733.0,392776822.0
Total Debt,,400000.0,400000.0,500000.0
Tangible Book Value,2923500000.0,2721100000.0,2735600000.0,2851500000.0
Invested Capital,2923500000.0,2721100000.0,2735600000.0,2851500000.0
Working Capital,338100000.0,259100000.0,302000000.0,326500000.0
Net Tangible Assets,2923500000.0,2721100000.0,2735600000.0,2851500000.0
Capital Lease Obligations,,400000.0,400000.0,500000.0
Common Stock Equity,2923500000.0,2721100000.0,2735600000.0,2851500000.0
Total Capitalization,2923500000.0,2721100000.0,2735600000.0,2851500000.0
Total Equity Gross Minority Interest,2923500000.0,2721100000.0,2735600000.0,2851500000.0
Stockholders Equity,2923500000.0,2721100000.0,2735600000.0,2851500000.0
Gains Losses Not Affecting Retained Earnings,-26900000.0,-24800000.0,1900000.0,18200000.0
Other Equity Adjustments,-26900000.0,-24800000.0,1900000.0,18200000.0
Retained Earnings,-876800000.0,-1048600000.0,-1048700000.0,-958100000.0
Additional Paid In Capital,88600000.0,90700000.0,89500000.0,88500000.0
Capital Stock,3738600000.0,3703800000.0,3692900000.0,3702900000.0
Common Stock,3738600000.0,3703800000.0,3692900000.0,3702900000.0
Total Liabilities Net Minority Interest,1077700000.0,953100000.0,885900000.0,785000000.0
Total Non Current Liabilities Net Minority Interest,829800000.0,771200000.0,728500000.0,638100000.0
Other Non Current Liabilities,2000000.0,2200000.0,2500000.0,3000000.0
Non Current Deferred Liabilities,703600000.0,660900000.0,623200000.0,559900000.0
Non Current Deferred Taxes Liabilities,703600000.0,660900000.0,623200000.0,559900000.0
Long Term Provisions,124200000.0,108100000.0,102800000.0,75200000.0
Current Liabilities,247900000.0,181900000.0,157400000.0,146900000.0
Other Current Liabilities,1800000.0,4600000.0,400000.0,500000.0
Current Debt And Capital Lease Obligation,,400000.0,400000.0,500000.0
Current Capital Lease Obligation,,400000.0,400000.0,500000.0
Pensionand Other Post Retirement Benefit Plans Current,22700000.0,18300000.0,13100000.0,9900000.0
Current Provisions,12600000.0,8500000.0,3300000.0,
Payables And Accrued Expenses,210800000.0,150500000.0,140600000.0,136500000.0
Payables,210800000.0,150500000.0,140600000.0,136500000.0
Other Payable,2700000.0,2200000.0,3000000.0,3300000.0
Total Tax Payable,40300000.0,700000.0,0.0,15500000.0
Income Tax Payable,40300000.0,700000.0,0.0,15500000.0
Accounts Payable,167800000.0,147600000.0,137600000.0,117700000.0
Total Assets,4001200000.0,3674200000.0,3621500000.0,3636500000.0
Total Non Current Assets,3415200000.0,3233200000.0,3162100000.0,3163100000.0
Other Non Current Assets,17000000.0,31200000.0,23200000.0,61800000.0
Non Current Deferred Assets,9000000.0,0.0,,
Non Current Deferred Taxes Assets,9000000.0,0.0,,
Non Current Accounts Receivable,29100000.0,28200000.0,30400000.0,
Net PPE,3360100000.0,3173800000.0,3108500000.0,3101300000.0
Accumulated Depreciation,-2108400000.0,-1936400000.0,-1756900000.0,-1365300000.0
Gross PPE,5468500000.0,5110200000.0,4865400000.0,4466600000.0
Other Properties,,1788400000.0,1629300000.0,1530000000.0
Machinery Furniture Equipment,1808400000.0,1788400000.0,,1530000000.0
Current Assets,586000000.0,441000000.0,459400000.0,473400000.0
Other Current Assets,23600000.0,16200000.0,,26000000.0
Hedging Assets Current,,0.0,3500000.0,4400000.0
Assets Held For Sale Current,0.0,5000000.0,0.0,
Prepaid Assets,,16200000.0,20700000.0,21600000.0
Inventory,271200000.0,234200000.0,199000000.0,148500000.0
Finished Goods,7900000.0,7600000.0,,
Work In Process,195300000.0,159400000.0,,
Raw Materials,68000000.0,67200000.0,,
Receivables,53400000.0,37200000.0,39800000.0,34700000.0
Other Receivables,5500000.0,4600000.0,4000000.0,7600000.0
Taxes Receivable,47900000.0,32600000.0,35800000.0,27100000.0
Cash Cash Equivalents And Short Term Investments,237800000.0,148400000.0,196400000.0,264200000.0
Other Short Term Investments,13000000.0,18600000.0,23900000.0,43700000.0
Cash And Cash Equivalents,224800000.0,129800000.0,172500000.0,220500000.0
