,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,
Ordinary Shares Number,26354842.0,24254842.0,24254842.0,21356290.0
Share Issued,26354842.0,24254842.0,24254842.0,21356290.0
Net Debt,7827426.0,4014541.0,,
Total Debt,9580664.0,8417985.0,1619694.0,0.0
Tangible Book Value,19388493.0,30388224.0,25045143.0,3682497.0
Invested Capital,28859832.0,38531691.0,26622231.0,3692610.0
Working Capital,9137423.0,22299277.0,24499970.0,3663176.0
Net Tangible Assets,19388493.0,30388224.0,25045143.0,3682497.0
Capital Lease Obligations,153332.0,330004.0,51239.0,0.0
Common Stock Equity,19432500.0,30443710.0,25053776.0,3692610.0
Total Capitalization,19432500.0,30443710.0,25053776.0,3692610.0
Total Equity Gross Minority Interest,19432500.0,30443710.0,25053776.0,3692610.0
Stockholders Equity,19432500.0,30443710.0,25053776.0,3692610.0
Other Equity Interest,,,,-1.0
Gains Losses Not Affecting Retained Earnings,-9401254.0,-5829324.0,476834.0,243703.0
Other Equity Adjustments,-9401254.0,-5829324.0,476834.0,243703.0
Retained Earnings,2304543.0,9743823.0,-1459779.0,-4947815.0
Additional Paid In Capital,26502856.0,26502856.0,26010366.0,8368266.0
Capital Stock,26355.0,26355.0,26355.0,28456.0
Common Stock,26355.0,26355.0,26355.0,28456.0
Total Liabilities Net Minority Interest,78114845.0,94786304.0,62967113.0,2538954.0
Total Non Current Liabilities Net Minority Interest,133123.0,266212.0,147812.0,-1.0
Other Non Current Liabilities,,,,-1.0
Non Current Deferred Liabilities,59527.0,98784.0,147812.0,0.0
Non Current Deferred Revenue,59527.0,98784.0,147812.0,0.0
Long Term Debt And Capital Lease Obligation,73596.0,167428.0,0.0,
Long Term Capital Lease Obligation,73596.0,167428.0,0.0,
Current Liabilities,77981722.0,94520092.0,62819301.0,2538955.0
Current Deferred Liabilities,30169358.0,4609294.0,42270025.0,0.0
Current Deferred Revenue,30169358.0,4609294.0,42270025.0,0.0
Current Debt And Capital Lease Obligation,9507068.0,8250557.0,1619694.0,
Current Capital Lease Obligation,79736.0,162576.0,51239.0,0.0
Current Debt,9427332.0,8087981.0,1568455.0,
Other Current Borrowings,9427332.0,8087981.0,1568455.0,
Line Of Credit,,0.0,1568455.0,0.0
Payables And Accrued Expenses,38305296.0,81660241.0,18929582.0,2538955.0
Current Accrued Expenses,1983145.0,2874126.0,459682.0,1819545.0
Payables,36322151.0,78786115.0,18469900.0,719410.0
Dueto Related Parties Current,,8087981.0,1215573.0,714436.0
Total Tax Payable,14510079.0,14285918.0,3137758.0,
Income Tax Payable,14510079.0,14285918.0,3137758.0,
Accounts Payable,21812072.0,64500197.0,14116569.0,4974.0
Total Assets,97547345.0,125230014.0,88020889.0,6231564.0
Total Non Current Assets,10428200.0,8410645.0,701618.0,29433.0
Non Current Deferred Assets,9734267.0,7172814.0,129034.0,0.0
Non Current Deferred Taxes Assets,9734267.0,7172814.0,129034.0,0.0
Goodwill And Other Intangible Assets,44007.0,55486.0,8633.0,10113.0
Other Intangible Assets,44007.0,55486.0,8633.0,10113.0
Net PPE,649926.0,1182345.0,563951.0,19320.0
Accumulated Depreciation,-679020.0,-377262.0,-199959.0,-158605.0
Gross PPE,1328946.0,1559607.0,763910.0,177925.0
Leases,502396.0,510915.0,339657.0,0.0
Other Properties,813003.0,1034915.0,409862.0,163891.0
Machinery Furniture Equipment,13547.0,13777.0,14391.0,14034.0
Properties,0.0,0.0,0.0,0.0
Current Assets,87119145.0,116819369.0,87319271.0,6202131.0
Other Current Assets,1216089.0,224155.0,26577.0,
Assets Held For Sale Current,,,,0.0
Restricted Cash,1573.0,0.0,,
Prepaid Assets,70161994.0,14245617.0,43385369.0,5020916.0
Inventory,5502404.0,3915456.0,22433140.0,0.0
Finished Goods,5502404.0,3915456.0,,
Receivables,8637179.0,94360701.0,3047563.0,516610.0
Duefrom Related Parties Current,,0.0,39238.0,116610.0
Notes Receivable,,,0.0,400000.0
Loans Receivable,3776608.0,1605000.0,400000.0,0.0
Accounts Receivable,4860571.0,92755701.0,2608325.0,0.0
Allowance For Doubtful Accounts Receivable,-7415079.0,-27469288.0,0.0,
Gross Accounts Receivable,12275650.0,120224989.0,2608325.0,0.0
Cash Cash Equivalents And Short Term Investments,1599906.0,4073440.0,18426622.0,664605.0
Cash And Cash Equivalents,1599906.0,4073440.0,18426622.0,664605.0
