,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.23,0.28,0.28,0.165
Normalized EBITDA,-8767881.0,16534095.0,5055568.0,-979712.0
Total Unusual Items,,,,0.0
Total Unusual Items Excluding Goodwill,,,,0.0
Net Income From Continuing Operation Net Minority Interest,-7439280.0,11475639.0,3551695.0,-1097148.0
Reconciled Depreciation,473721.0,340653.0,101710.0,33437.0
Reconciled Cost Of Revenue,88278140.0,195807066.0,30112363.0,38534.0
EBITDA,-8767881.0,16534095.0,5055568.0,-979712.0
EBIT,-9241602.0,16193442.0,4953858.0,-1013149.0
Normalized Income,-7439280.0,11475639.0,3551695.0,-1097148.0
Net Income From Continuing And Discontinued Operation,-7439280.0,11475639.0,3551695.0,-1071648.0
Total Expenses,102148774.0,226202114.0,31756073.0,1066454.0
Total Operating Income As Reported,-9241602.0,16193442.0,4953858.0,-1013149.0
Diluted Average Shares,,24254842.0,21511469.0,21787892.0
Basic Average Shares,,24254842.0,21491291.0,21787892.0
Diluted EPS,,0.47,0.17,-0.05
Basic EPS,,0.47,0.17,-0.05
Diluted NI Availto Com Stockholders,-7439280.0,11475639.0,3551695.0,-1071648.0
Net Income Common Stockholders,-7439280.0,11475639.0,3551695.0,-1071648.0
Net Income,-7439280.0,11475639.0,3551695.0,-1071648.0
Net Income Including Noncontrolling Interests,-7439280.0,11475639.0,3551695.0,-1071648.0
Net Income Discontinuous Operations,,0.0,0.0,25500.0
Net Income Continuous Operations,-7439280.0,11475639.0,3551695.0,-1097148.0
Tax Provision,-2184039.0,4344769.0,1406159.0,76343.0
Pretax Income,-9623319.0,15820408.0,4957854.0,-1020805.0
Other Income Expense,-381717.0,-373034.0,3996.0,-7656.0
Other Non Operating Income Expenses,-381717.0,-373034.0,3996.0,-7656.0
Special Income Charges,,,,0.0
Write Off,,,,0.0
Earnings From Equity Interest,,,0.0,0.0
Operating Income,-9241602.0,16193442.0,4953858.0,-1013149.0
Operating Expense,13870634.0,30395048.0,1643710.0,1027920.0
Research And Development,0.0,0.0,36317.0,63450.0
Selling General And Administration,13870634.0,30395048.0,1607393.0,964470.0
Gross Profit,4629032.0,46588490.0,6597568.0,14771.0
Cost Of Revenue,88278140.0,195807066.0,30112363.0,38534.0
Total Revenue,92907172.0,242395556.0,36709931.0,53305.0
Operating Revenue,92907172.0,242395556.0,36709931.0,53305.0
