,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,5841045.0,315915.0,303533.0,281365.0
Share Issued,5841045.0,315915.0,303533.0,281365.0
Net Debt,251430.0,1716896.0,,
Total Debt,4130008.0,5507386.0,47326.0,31417.0
Tangible Book Value,-4169305.0,-2546724.0,6522866.0,-5314389.0
Invested Capital,12694588.0,14528869.0,8047429.0,-5282972.0
Working Capital,-1820824.0,-2444162.0,5830617.0,-1055567.0
Net Tangible Assets,-4169305.0,-2546724.0,6522866.0,1403484.0
Capital Lease Obligations,0.0,1521170.0,0.0,
Common Stock Equity,8564580.0,10542653.0,8000103.0,-5314389.0
Preferred Stock Equity,,,,6717873.0
Total Capitalization,8609945.0,10586953.0,8047429.0,1434901.0
Total Equity Gross Minority Interest,8564580.0,10542653.0,8000103.0,1403484.0
Stockholders Equity,8564580.0,10542653.0,8000103.0,1403484.0
Other Equity Interest,97094.0,,93295.0,94885.0
Gains Losses Not Affecting Retained Earnings,-326596.0,-642710.0,-33086.0,119054.0
Other Equity Adjustments,-326596.0,-642710.0,-33086.0,119054.0
Retained Earnings,-44507304.0,-32774094.0,-19900992.0,-12521944.0
Additional Paid In Capital,3472444.0,16816695.0,2203343.0,1297566.0
Capital Stock,49828942.0,27142762.0,25637543.0,12413923.0
Common Stock,49828942.0,27142762.0,25637543.0,5696050.0
Preferred Stock,,,0.0,6717873.0
Total Liabilities Net Minority Interest,8803347.0,11304240.0,3765283.0,1962405.0
Total Non Current Liabilities Net Minority Interest,2761357.0,5943475.0,1479244.0,31417.0
Other Non Current Liabilities,25684.0,,,
Derivative Product Liabilities,2690308.0,4649115.0,1418964.0,0.0
Non Current Deferred Liabilities,,0.0,12954.0,0.0
Long Term Debt And Capital Lease Obligation,45365.0,1294360.0,47326.0,31417.0
Long Term Capital Lease Obligation,0.0,1250060.0,0.0,
Long Term Debt,45365.0,44300.0,47326.0,31417.0
Current Liabilities,6041990.0,5360765.0,2286039.0,1930988.0
Current Deferred Liabilities,15336.0,0.0,,
Current Deferred Revenue,15336.0,0.0,,
Current Debt And Capital Lease Obligation,4084643.0,4213026.0,,
Current Capital Lease Obligation,0.0,271110.0,0.0,
Current Debt,4084643.0,3941916.0,,
Current Notes Payable,4084643.0,3941916.0,0.0,
Payables And Accrued Expenses,1942011.0,1147739.0,2286039.0,1930988.0
Current Accrued Expenses,868451.0,365521.0,981027.0,905629.0
Payables,1073560.0,782218.0,1305012.0,1025359.0
Other Payable,,,753727.0,
Accounts Payable,1073560.0,782218.0,551285.0,1025359.0
Total Assets,17367927.0,21846893.0,11765386.0,3365889.0
Total Non Current Assets,13146761.0,18930290.0,3648730.0,2490468.0
Non Current Prepaid Assets,63708.0,2085960.0,50608.0,0.0
Non Current Deferred Assets,,,0.0,390932.0
Investments And Advances,223801.0,0.0,,
Long Term Equity Investment,223801.0,0.0,,
Investments In Other Ventures Under Equity Method,223801.0,0.0,,
Goodwill And Other Intangible Assets,12733885.0,13089377.0,1477237.0,0.0
Other Intangible Assets,12733885.0,13089377.0,1477237.0,
Net PPE,125367.0,3754953.0,2120885.0,2099536.0
Accumulated Depreciation,-29310.0,-42009.0,-21734.0,-21353.0
Gross PPE,154677.0,3796962.0,2142619.0,2120889.0
Leases,0.0,86979.0,0.0,
Construction In Progress,113566.0,2092533.0,2079914.0,2071093.0
Other Properties,,1540748.0,,
Machinery Furniture Equipment,41111.0,76702.0,62705.0,49796.0
Properties,0.0,0.0,0.0,
Current Assets,4221166.0,2916603.0,8116656.0,875421.0
Other Current Assets,18594.0,49509.0,62595.0,43038.0
Current Deferred Assets,0.0,100337.0,0.0,
Prepaid Assets,254278.0,448496.0,246445.0,170000.0
Inventory,38857.0,0.0,,
Finished Goods,38857.0,0.0,,
Receivables,30859.0,48941.0,32326.0,8973.0
Other Receivables,30859.0,48941.0,32326.0,8973.0
Accounts Receivable,,,,8973.0
Cash Cash Equivalents And Short Term Investments,3878578.0,2269320.0,7775290.0,653410.0
Cash And Cash Equivalents,3878578.0,2269320.0,7775290.0,653410.0
Cash Financial,3878578.0,2269320.0,7775290.0,653410.0
