,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,191482000.0,139804000.0,135657000.0,80135000.0
Repurchase Of Capital Stock,-26242000.0,-36844000.0,-66463000.0,-4365000.0
Repayment Of Debt,-548478000.0,-297835000.0,-502229000.0,-308626000.0
Issuance Of Debt,456271000.0,389010000.0,317087000.0,323232000.0
Capital Expenditure,-243425000.0,-230222000.0,-213005000.0,-176990000.0
End Cash Position,339781000.0,230653000.0,199766000.0,336282000.0
Beginning Cash Position,230653000.0,199766000.0,336282000.0,290276000.0
Effect Of Exchange Rate Changes,-5484000.0,-16302000.0,-6824000.0,-35284000.0
Changes In Cash,114612000.0,47189000.0,-129692000.0,81290000.0
Financing Cash Flow,-208743000.0,-23573000.0,-303133000.0,-53919000.0
Cash Flow From Continuing Financing Activities,-208743000.0,-23573000.0,-303133000.0,-53919000.0
Net Other Financing Charges,-32000.0,-240000.0,2059000.0,-4134000.0
Interest Paid Cff,-55476000.0,-44788000.0,-53587000.0,-60026000.0
Proceeds From Stock Option Exercised,214000.0,2124000.0,0.0,0.0
Cash Dividends Paid,-35000000.0,-35000000.0,0.0,0.0
Common Stock Dividend Paid,-35000000.0,-35000000.0,0.0,0.0
Net Common Stock Issuance,-26242000.0,-36844000.0,-66463000.0,-4365000.0
Common Stock Payments,-26242000.0,-36844000.0,-66463000.0,-4365000.0
Net Issuance Payments Of Debt,-92207000.0,91175000.0,-185142000.0,14606000.0
Net Short Term Debt Issuance,28256000.0,155280000.0,-42348000.0,-26323000.0
Short Term Debt Payments,-420276000.0,-192648000.0,-328463000.0,-233540000.0
Short Term Debt Issuance,448532000.0,347928000.0,286115000.0,207217000.0
Net Long Term Debt Issuance,-120463000.0,-64105000.0,-142794000.0,40929000.0
Long Term Debt Payments,-128202000.0,-105187000.0,-173766000.0,-75086000.0
Long Term Debt Issuance,7739000.0,41082000.0,30972000.0,116015000.0
Investing Cash Flow,-111552000.0,-299264000.0,-175221000.0,-121916000.0
Cash Flow From Continuing Investing Activities,-111552000.0,-299264000.0,-175221000.0,-121916000.0
Interest Received Cfi,62120000.0,5199000.0,16729000.0,25421000.0
Net Investment Purchase And Sale,35610000.0,-98010000.0,0.0,0.0
Sale Of Investment,142507000.0,0.0,0.0,
Purchase Of Investment,-106897000.0,-98010000.0,0.0,0.0
Net Business Purchase And Sale,-3193000.0,11120000.0,10010000.0,10149000.0
Sale Of Business,0.0,11120000.0,10010000.0,10149000.0
Purchase Of Business,-3193000.0,,,
Net Intangibles Purchase And Sale,-1291000.0,-3350000.0,-1934000.0,-1122000.0
Purchase Of Intangibles,-1291000.0,-3350000.0,-1934000.0,-1122000.0
Net PPE Purchase And Sale,-204287000.0,-205127000.0,-188250000.0,-149025000.0
Sale Of PPE,37336000.0,12649000.0,11045000.0,19504000.0
Purchase Of PPE,-241623000.0,-217776000.0,-199295000.0,-168529000.0
Capital Expenditure Reported,-511000.0,-9096000.0,-11776000.0,-7339000.0
Operating Cash Flow,434907000.0,370026000.0,348662000.0,257125000.0
Cash Flow From Continuing Operating Activities,434907000.0,370026000.0,348662000.0,257125000.0
Taxes Refund Paid,-1342000.0,-8118000.0,-2196000.0,-2087000.0
Change In Working Capital,-70786000.0,-86830000.0,-161840000.0,-85161000.0
Change In Other Working Capital,-10378000.0,-9951000.0,-29245000.0,5614000.0
Change In Other Current Assets,-37000.0,-1056000.0,-303000.0,-35000.0
Change In Payables And Accrued Expense,-28251000.0,-56821000.0,3375000.0,4948000.0
Change In Accrued Expense,15674000.0,7681000.0,4874000.0,4120000.0
Change In Payable,-43925000.0,-64502000.0,-1499000.0,828000.0
Change In Inventory,-35803000.0,41751000.0,-95218000.0,-40455000.0
Change In Receivables,3683000.0,-60753000.0,-40449000.0,-55233000.0
Other Non Cash Items,2676000.0,30160000.0,56760000.0,3128000.0
Stock Based Compensation,8581000.0,10227000.0,6406000.0,4316000.0
Provisionand Write Offof Assets,654000.0,999000.0,1146000.0,1940000.0
Deferred Tax,78673000.0,26758000.0,43837000.0,12325000.0
Deferred Income Tax,78673000.0,26758000.0,43837000.0,12325000.0
Depreciation Amortization Depletion,274103000.0,254379000.0,218127000.0,182692000.0
Depreciation And Amortization,274103000.0,254379000.0,218127000.0,182692000.0
Amortization Cash Flow,1730000.0,2265000.0,1631000.0,1293000.0
Amortization Of Intangibles,1730000.0,2265000.0,1631000.0,1293000.0
Depreciation,272373000.0,252114000.0,216496000.0,181399000.0
Operating Gains Losses,-84373000.0,33845000.0,55705000.0,138902000.0
Gain Loss On Investment Securities,17638000.0,56841000.0,74257000.0,33344000.0
Net Foreign Currency Exchange Gain Loss,-90930000.0,-19278000.0,-18939000.0,109266000.0
Gain Loss On Sale Of PPE,-11081000.0,-3718000.0,387000.0,-4262000.0
Gain Loss On Sale Of Business,,0.0,-10000.0,554000.0
Net Income From Continuing Operations,226721000.0,108606000.0,130717000.0,1070000.0
