,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Treasury Shares Number,2585769.0,2386699.0,530985.0,3233.0
Ordinary Shares Number,13242520.0,13441590.0,15257688.0,15702969.0
Share Issued,15828289.0,15828289.0,15788673.0,15706202.0
Total Debt,2726000.0,1567000.0,1367000.0,
Tangible Book Value,260689000.0,250255000.0,295037000.0,288627000.0
Invested Capital,290939000.0,280897000.0,326392000.0,320667000.0
Working Capital,244919000.0,236199000.0,284257000.0,270133000.0
Net Tangible Assets,260689000.0,250255000.0,295037000.0,288627000.0
Capital Lease Obligations,2726000.0,1567000.0,1367000.0,
Common Stock Equity,290939000.0,280897000.0,326392000.0,320667000.0
Total Capitalization,290939000.0,280897000.0,326392000.0,320667000.0
Total Equity Gross Minority Interest,290939000.0,280897000.0,325595000.0,322408000.0
Minority Interest,,0.0,-797000.0,1741000.0
Stockholders Equity,290939000.0,280897000.0,326392000.0,320667000.0
Gains Losses Not Affecting Retained Earnings,-3597000.0,-2876000.0,-2451000.0,-1081000.0
Other Equity Adjustments,-3597000.0,-2876000.0,-2451000.0,-1081000.0
Treasury Stock,97528000.0,88641000.0,20405000.0,33000.0
Retained Earnings,225507000.0,207832000.0,188690000.0,166110000.0
Additional Paid In Capital,164183000.0,162208000.0,158190000.0,153315000.0
Capital Stock,2374000.0,2374000.0,2368000.0,2356000.0
Common Stock,2374000.0,2374000.0,2368000.0,2356000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,307290000.0,208590000.0,227990000.0,280222000.0
Total Non Current Liabilities Net Minority Interest,5030000.0,6087000.0,4963000.0,4135000.0
Other Non Current Liabilities,5030000.0,6087000.0,4963000.0,4135000.0
Current Liabilities,302260000.0,202503000.0,223027000.0,276087000.0
Current Deferred Liabilities,181054000.0,96261000.0,127890000.0,172042000.0
Current Deferred Revenue,181054000.0,96261000.0,127890000.0,172042000.0
Current Debt And Capital Lease Obligation,2726000.0,1567000.0,1367000.0,
Current Capital Lease Obligation,2726000.0,1567000.0,1367000.0,
Pensionand Other Post Retirement Benefit Plans Current,21206000.0,18286000.0,18615000.0,
Payables And Accrued Expenses,97274000.0,86389000.0,75155000.0,104045000.0
Current Accrued Expenses,57789000.0,30014000.0,33333000.0,50750000.0
Payables,39485000.0,56375000.0,41822000.0,53295000.0
Accounts Payable,39485000.0,56375000.0,41822000.0,53295000.0
Total Assets,598229000.0,489487000.0,553585000.0,602630000.0
Total Non Current Assets,51050000.0,50785000.0,46301000.0,56410000.0
Non Current Deferred Assets,2259000.0,3689000.0,457000.0,249000.0
Non Current Deferred Taxes Assets,2259000.0,3689000.0,457000.0,249000.0
Goodwill And Other Intangible Assets,30250000.0,30642000.0,31355000.0,32040000.0
Other Intangible Assets,2217000.0,2609000.0,3322000.0,4097000.0
Goodwill,28033000.0,28033000.0,28033000.0,27943000.0
Net PPE,18541000.0,16454000.0,14489000.0,24121000.0
Accumulated Depreciation,-21592000.0,-21252000.0,-20985000.0,-18362000.0
Gross PPE,40133000.0,37706000.0,35474000.0,42483000.0
Construction In Progress,,,0.0,7545000.0
Other Properties,,6024000.0,4029000.0,3760000.0
Machinery Furniture Equipment,23840000.0,23261000.0,24819000.0,24447000.0
Buildings And Improvements,15430000.0,13582000.0,5763000.0,5868000.0
Land And Improvements,863000.0,863000.0,863000.0,863000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,547179000.0,438702000.0,507284000.0,546220000.0
Other Current Assets,4972000.0,6563000.0,1761000.0,34146000.0
Prepaid Assets,6035000.0,4541000.0,32405000.0,
Inventory,9985000.0,11903000.0,738000.0,
Raw Materials,9985000.0,11903000.0,738000.0,
Receivables,113782000.0,90237000.0,31882000.0,55348000.0
Other Receivables,48189000.0,24778000.0,4904000.0,26635000.0
Taxes Receivable,18267000.0,15327000.0,,
Accounts Receivable,47326000.0,50132000.0,26978000.0,28713000.0
Allowance For Doubtful Accounts Receivable,-1800000.0,-1900000.0,-2400000.0,
Gross Accounts Receivable,49126000.0,52032000.0,29378000.0,
Cash Cash Equivalents And Short Term Investments,412405000.0,325458000.0,440498000.0,456726000.0
Other Short Term Investments,215373000.0,151511000.0,90026000.0,90055000.0
Cash And Cash Equivalents,197032000.0,173947000.0,350472000.0,366671000.0
