,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,0.0,0.0,-1904141.0,0.0
Tax Rate For Calcs,0.339,0.246,0.241,0.043159
Normalized EBITDA,38863000.0,45384000.0,64549000.0,27645000.0
Total Unusual Items,0.0,0.0,-7901000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-7901000.0,0.0
Net Income From Continuing Operation Net Minority Interest,32358000.0,33098000.0,38244000.0,23851000.0
Reconciled Depreciation,2405000.0,3715000.0,4237000.0,4619000.0
Reconciled Cost Of Revenue,492499000.0,368679000.0,409638000.0,330139000.0
EBITDA,38863000.0,45384000.0,56648000.0,27645000.0
EBIT,36458000.0,41669000.0,52411000.0,23026000.0
Normalized Income,32358000.0,33098000.0,44240859.0,23851000.0
Net Income From Continuing And Discontinued Operation,32358000.0,33098000.0,38244000.0,23851000.0
Total Expenses,536875000.0,413371000.0,456959000.0,369180000.0
Total Operating Income As Reported,36458000.0,41669000.0,44510000.0,23026000.0
Diluted Average Shares,13548000.0,14176000.0,15913000.0,15825000.0
Basic Average Shares,13365000.0,14083000.0,15715000.0,15668000.0
Diluted EPS,2.39,2.33,2.4,1.507172
Basic EPS,2.42,2.35,2.43,1.522275
Diluted NI Availto Com Stockholders,32358000.0,33098000.0,38244000.0,23851000.0
Net Income Common Stockholders,32358000.0,33098000.0,38244000.0,23851000.0
Net Income,32358000.0,33098000.0,38244000.0,23851000.0
Minority Interests,0.0,-1606000.0,2538000.0,40000.0
Net Income Including Noncontrolling Interests,32358000.0,34704000.0,35706000.0,23811000.0
Net Income Discontinuous Operations,,,,-1074000.0
Net Income Continuous Operations,32358000.0,34704000.0,35706000.0,23811000.0
Tax Provision,16575000.0,11296000.0,11356000.0,1074000.0
Pretax Income,48933000.0,46000000.0,47062000.0,24885000.0
Other Income Expense,12475000.0,4331000.0,-5349000.0,1859000.0
Other Non Operating Income Expenses,12475000.0,4331000.0,2552000.0,1859000.0
Special Income Charges,0.0,0.0,-7901000.0,0.0
Write Off,0.0,0.0,7901000.0,0.0
Impairment Of Capital Assets,,,,0.0
Operating Income,36458000.0,41669000.0,52411000.0,23026000.0
Operating Expense,44376000.0,44692000.0,47321000.0,39041000.0
Selling General And Administration,44376000.0,44692000.0,47321000.0,39041000.0
Gross Profit,80834000.0,86361000.0,99732000.0,62067000.0
Cost Of Revenue,492499000.0,368679000.0,409638000.0,330139000.0
Total Revenue,573333000.0,455040000.0,509370000.0,392206000.0
Operating Revenue,573333000.0,455040000.0,509370000.0,392206000.0
