,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,93314000.0,116858000.0,91184000.0,91179000.0
Repurchase Of Capital Stock,-12836000.0,0.0,0.0,
Repayment Of Debt,-180869000.0,-723739000.0,-187758000.0,-299318000.0
Issuance Of Debt,402568000.0,678574000.0,161806000.0,176619000.0
Issuance Of Capital Stock,,65159000.0,51677000.0,121110000.0
Interest Paid Supplemental Data,44920000.0,29878000.0,29237000.0,28554000.0
Income Tax Paid Supplemental Data,33000.0,1000.0,4000.0,167000.0
End Cash Position,30166000.0,51865000.0,40443000.0,50430000.0
Beginning Cash Position,51865000.0,40443000.0,50430000.0,43579000.0
Changes In Cash,-21699000.0,11422000.0,-9987000.0,6851000.0
Financing Cash Flow,122253000.0,-72194000.0,-43542000.0,-58101000.0
Cash Flow From Continuing Financing Activities,122253000.0,-72194000.0,-43542000.0,-58101000.0
Net Other Financing Charges,-6212000.0,-19613000.0,-10554000.0,-8909000.0
Cash Dividends Paid,-80398000.0,-72575000.0,-58713000.0,-47603000.0
Net Preferred Stock Issuance,,0.0,0.0,101460000.0
Preferred Stock Issuance,,0.0,0.0,101460000.0
Net Common Stock Issuance,-12836000.0,65159000.0,51677000.0,19650000.0
Common Stock Payments,-12836000.0,0.0,0.0,
Common Stock Issuance,,65159000.0,51677000.0,19650000.0
Net Issuance Payments Of Debt,221699000.0,-45165000.0,-25952000.0,-122699000.0
Net Short Term Debt Issuance,,-723739000.0,-187758000.0,-299318000.0
Short Term Debt Payments,,-723739000.0,-187758000.0,-299318000.0
Short Term Debt Issuance,,678574000.0,161806000.0,176619000.0
Net Long Term Debt Issuance,221699000.0,-45165000.0,-25952000.0,176619000.0
Long Term Debt Payments,-180869000.0,-723739000.0,-187758000.0,0.0
Long Term Debt Issuance,402568000.0,678574000.0,161806000.0,176619000.0
Investing Cash Flow,-237266000.0,-33242000.0,-57629000.0,-26227000.0
Cash Flow From Continuing Investing Activities,-237266000.0,-33242000.0,-57629000.0,-26227000.0
Net Other Investing Changes,-52263000.0,-9634000.0,6372000.0,-12895000.0
Net Investment Purchase And Sale,-23364000.0,0.0,0.0,
Sale Of Investment,7947000.0,0.0,0.0,
Purchase Of Investment,-31311000.0,0.0,0.0,
Net Investment Properties Purchase And Sale,-91591000.0,39264000.0,-52394000.0,-12254000.0
Sale Of Investment Properties,246000.0,252270000.0,85322000.0,96459000.0
Purchase Of Investment Properties,-91837000.0,-213006000.0,-137716000.0,-108713000.0
Net Business Purchase And Sale,-70048000.0,-62872000.0,-11607000.0,-1078000.0
Purchase Of Business,-70048000.0,-62872000.0,-11607000.0,-1078000.0
Operating Cash Flow,93314000.0,116858000.0,91184000.0,91179000.0
Cash Flow From Continuing Operating Activities,93314000.0,116858000.0,91184000.0,91179000.0
Change In Working Capital,-24350000.0,-2918000.0,-7606000.0,-3785000.0
Change In Other Working Capital,,,,-198000.0
Change In Other Current Liabilities,54579000.0,74602000.0,-20729000.0,20385000.0
Change In Other Current Assets,,-72785000.0,15563000.0,-8262000.0
Change In Inventory,-65020000.0,-72785000.0,15563000.0,-8262000.0
Change In Receivables,-13909000.0,-4735000.0,-2440000.0,-15908000.0
Other Non Cash Items,35337000.0,18640000.0,15360000.0,11864000.0
Stock Based Compensation,3677000.0,3273000.0,2230000.0,2378000.0
Provisionand Write Offof Assets,574000.0,626000.0,-792000.0,4098000.0
Asset Impairment Charge,102000.0,416000.0,21378000.0,666000.0
Depreciation Amortization Depletion,64811000.0,55658000.0,52571000.0,44257000.0
Depreciation And Amortization,64811000.0,55658000.0,52571000.0,44257000.0
Amortization Cash Flow,,,17304000.0,16301000.0
Amortization Of Intangibles,,,17304000.0,16301000.0
Depreciation,64811000.0,55658000.0,52571000.0,44257000.0
Operating Gains Losses,5500000.0,-58790000.0,-17412000.0,-5258000.0
Earnings Losses From Equity Investments,,,0.0,0.0
Gain Loss On Investment Securities,5500000.0,-62164000.0,-21222000.0,-5258000.0
Gain Loss On Sale Of Business,,,,6130000.0
Net Income From Continuing Operations,7663000.0,99953000.0,25455000.0,36959000.0
