,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1217831721.0,1172543436.0,1087984129.0,1045113443.0
Preferred Shares Number,20000000.0,20000000.0,20000000.0,20000000.0
Ordinary Shares Number,688839771.0,734128056.0,818687363.0,861558049.0
Share Issued,1906671492.0,1906671492.0,1906671492.0,1906671492.0
Net Debt,20232000000.0,25136000000.0,27965000000.0,34707000000.0
Total Debt,22387000000.0,27179000000.0,30163000000.0,37534000000.0
Tangible Book Value,44866000000.0,40485000000.0,61415000000.0,61803000000.0
Invested Capital,67253000000.0,67664000000.0,95634000000.0,103411000000.0
Net Tangible Assets,45351000000.0,40970000000.0,61900000000.0,62288000000.0
Common Stock Equity,44866000000.0,40485000000.0,65471000000.0,65877000000.0
Preferred Stock Equity,485000000.0,485000000.0,485000000.0,485000000.0
Total Capitalization,67488000000.0,66649000000.0,96119000000.0,103896000000.0
Total Equity Gross Minority Interest,51301000000.0,43454000000.0,68912000000.0,67199000000.0
Minority Interest,5950000000.0,2484000000.0,2956000000.0,837000000.0
Stockholders Equity,45351000000.0,40970000000.0,65956000000.0,66362000000.0
Gains Losses Not Affecting Retained Earnings,-14037000000.0,-22616000000.0,6687000000.0,13511000000.0
Other Equity Adjustments,-14037000000.0,-22616000000.0,6687000000.0,13511000000.0
Treasury Stock,59189000000.0,56473000000.0,51618000000.0,49322000000.0
Retained Earnings,37516000000.0,34893000000.0,23785000000.0,15504000000.0
Additional Paid In Capital,75810000000.0,79915000000.0,81851000000.0,81418000000.0
Capital Stock,5251000000.0,5251000000.0,5251000000.0,5251000000.0
Common Stock,4766000000.0,4766000000.0,4766000000.0,4766000000.0
Preferred Stock,485000000.0,485000000.0,485000000.0,485000000.0
Total Liabilities Net Minority Interest,488005000000.0,478774000000.0,527200000000.0,519282000000.0
Long Term Debt And Capital Lease Obligation,22137000000.0,25679000000.0,30163000000.0,37534000000.0
Long Term Debt,22137000000.0,25679000000.0,30163000000.0,37534000000.0
Current Debt And Capital Lease Obligation,250000000.0,1500000000.0,0.0,
Current Debt,250000000.0,1500000000.0,0.0,
Line Of Credit,250000000.0,1500000000.0,0.0,
Payables And Accrued Expenses,29484000000.0,30383000000.0,40771000000.0,43060000000.0
Payables,29484000000.0,30383000000.0,40771000000.0,43060000000.0
Other Payable,29484000000.0,30383000000.0,40771000000.0,43060000000.0
Total Assets,539306000000.0,522228000000.0,596112000000.0,586481000000.0
Investments And Advances,254902000000.0,243592000000.0,297576000000.0,296046000000.0
Goodwill And Other Intangible Assets,,3927000000.0,4056000000.0,4074000000.0
Goodwill,,3927000000.0,4056000000.0,4074000000.0
Receivables,10561000000.0,13243000000.0,12409000000.0,11333000000.0
Loans Receivable,3102000000.0,4589000000.0,3048000000.0,2507000000.0
Accounts Receivable,10561000000.0,13243000000.0,12409000000.0,11333000000.0
Cash Cash Equivalents And Short Term Investments,251088000000.0,240575000000.0,292757000000.0,292526000000.0
Other Short Term Investments,248933000000.0,238532000000.0,290559000000.0,289699000000.0
Cash And Cash Equivalents,2155000000.0,2043000000.0,2198000000.0,2827000000.0
