,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,142800000.0,-81620000.0,485865000.0,-1707400000.0
Tax Rate For Calcs,0.21,0.212,0.183,0.2
Total Unusual Items,680000000.0,-385000000.0,2655000000.0,-8537000000.0
Total Unusual Items Excluding Goodwill,680000000.0,-385000000.0,2655000000.0,-8537000000.0
Net Income From Continuing Operation Net Minority Interest,3643000000.0,10228000000.0,10367000000.0,-5948000000.0
Reconciled Depreciation,4214000000.0,4409000000.0,4542000000.0,4120000000.0
EBIT,4994000000.0,15424000000.0,14652000000.0,-5836000000.0
Net Interest Income,-1136000000.0,-1125000000.0,-1305000000.0,-1457000000.0
Interest Expense,1136000000.0,1125000000.0,1305000000.0,1457000000.0
Interest Income,1666000000.0,1840000000.0,1740000000.0,1989000000.0
Normalized Income,3105800000.0,10531380000.0,8197865000.0,881600000.0
Net Income From Continuing And Discontinued Operation,3643000000.0,10227000000.0,10367000000.0,-5944000000.0
Total Expenses,43393000000.0,40469000000.0,38612000000.0,51132000000.0
Diluted Average Shares,725233068.0,787941750.0,864884879.0,869309458.0
Basic Average Shares,719506291.0,778621118.0,854320449.0,869309458.0
Diluted EPS,4.98,12.94,11.95,-6.88
Basic EPS,5.02,13.1,12.1,-6.88
Diluted NI Availto Com Stockholders,3614000000.0,10198000000.0,10338000000.0,-5973000000.0
Net Income Common Stockholders,3614000000.0,10198000000.0,10338000000.0,-5973000000.0
Preferred Stock Dividends,29000000.0,29000000.0,29000000.0,29000000.0
Net Income,3643000000.0,10227000000.0,10367000000.0,-5944000000.0
Minority Interests,-235000000.0,-1046000000.0,-539000000.0,-115000000.0
Net Income Including Noncontrolling Interests,3878000000.0,11273000000.0,10906000000.0,-5829000000.0
Net Income Discontinuous Operations,0.0,-1000000.0,0.0,4000000.0
Net Income Continuous Operations,3878000000.0,11274000000.0,10906000000.0,-5833000000.0
Tax Provision,-20000000.0,3025000000.0,2441000000.0,-1460000000.0
Pretax Income,3858000000.0,14299000000.0,13347000000.0,-7293000000.0
Other Income Expense,767000000.0,850000000.0,984000000.0,903000000.0
Special Income Charges,680000000.0,-385000000.0,2655000000.0,-8537000000.0
Other Special Charges,-680000000.0,385000000.0,-2655000000.0,8537000000.0
Net Non Operating Interest Income Expense,-1136000000.0,-1125000000.0,-1305000000.0,-1457000000.0
Interest Expense Non Operating,1136000000.0,1125000000.0,1305000000.0,1457000000.0
Other Operating Expenses,451000000.0,-640000000.0,-645000000.0,103000000.0
Selling General And Administration,8499000000.0,9122000000.0,8728000000.0,8396000000.0
General And Administrative Expense,8499000000.0,9122000000.0,8728000000.0,8396000000.0
Other Gand A,8499000000.0,9122000000.0,8728000000.0,8396000000.0
Total Revenue,47251000000.0,54768000000.0,51959000000.0,43839000000.0
Operating Revenue,47251000000.0,54768000000.0,51959000000.0,43839000000.0
Loss Adjustment Expense,24755000000.0,22176000000.0,23785000000.0,24806000000.0
Net Policyholder Benefits And Claims,24755000000.0,22176000000.0,23785000000.0,24806000000.0
Policyholder Benefits Gross,24755000000.0,22176000000.0,23785000000.0,24806000000.0
