,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,1897140.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.27,0.27
Normalized EBITDA,-3038000.0,1291000.0,434000.0,4920000.0
Total Unusual Items,9034000.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,9034000.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-5675000.0,-6754000.0,-12766000.0,-9007000.0
Reconciled Depreciation,9445000.0,8262000.0,8553000.0,8425000.0
Reconciled Cost Of Revenue,66660000.0,70919000.0,66207000.0,54576000.0
EBITDA,5996000.0,1291000.0,434000.0,4920000.0
EBIT,-3449000.0,-6971000.0,-8119000.0,-3505000.0
Net Interest Income,-1499000.0,1065000.0,-2719000.0,-4412000.0
Interest Expense,1602000.0,,2764000.0,4467000.0
Interest Income,103000.0,1065000.0,45000.0,55000.0
Normalized Income,-12811860.0,-6754000.0,-12766000.0,-9007000.0
Net Income From Continuing And Discontinued Operation,-5675000.0,-6754000.0,-12766000.0,-9007000.0
Total Expenses,146293000.0,142883000.0,134132000.0,117051000.0
Total Operating Income As Reported,-12557000.0,-6971000.0,-8172000.0,-3458000.0
Diluted Average Shares,35628000.0,35393000.0,34571000.0,29703000.0
Basic Average Shares,35628000.0,35393000.0,34571000.0,29703000.0
Diluted EPS,-0.49,-0.34,-0.52,-0.46
Basic EPS,-0.49,-0.34,-0.52,-0.46
Diluted NI Availto Com Stockholders,-17307000.0,-16891000.0,-22068000.0,-13606000.0
Net Income Common Stockholders,-17307000.0,-16891000.0,-22068000.0,-13606000.0
Otherunder Preferred Stock Dividend,7139000.0,5906000.0,5190000.0,672000.0
Preferred Stock Dividends,4493000.0,4231000.0,4112000.0,3927000.0
Net Income,-5675000.0,-6754000.0,-12766000.0,-9007000.0
Minority Interests,-35000.0,-2000.0,5000.0,3000.0
Net Income Including Noncontrolling Interests,-5640000.0,-6752000.0,-12771000.0,-9010000.0
Net Income Continuous Operations,-5640000.0,-6752000.0,-12771000.0,-9010000.0
Tax Provision,589000.0,870000.0,1888000.0,1038000.0
Pretax Income,-5051000.0,-5882000.0,-10883000.0,-7972000.0
Other Income Expense,9005000.0,24000.0,8000.0,-102000.0
Other Non Operating Income Expenses,-29000.0,24000.0,8000.0,-102000.0
Special Income Charges,9034000.0,0.0,0.0,0.0
Restructuring And Mergern Acquisition,-9034000.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-1499000.0,1065000.0,-2719000.0,-4412000.0
Interest Expense Non Operating,1602000.0,,2764000.0,4467000.0
Interest Income Non Operating,103000.0,1065000.0,45000.0,55000.0
Operating Income,-12557000.0,-6971000.0,-8172000.0,-3458000.0
Operating Expense,79633000.0,71964000.0,67925000.0,62475000.0
Research And Development,8380000.0,8472000.0,11429000.0,10597000.0
Selling General And Administration,71253000.0,63492000.0,56496000.0,51878000.0
Gross Profit,67076000.0,64993000.0,59753000.0,59017000.0
Cost Of Revenue,66660000.0,70919000.0,66207000.0,54576000.0
Total Revenue,133736000.0,135912000.0,125960000.0,113593000.0
Operating Revenue,133736000.0,135912000.0,125960000.0,113593000.0
