,2024-01-31,2023-01-31
Free Cash Flow,87270000.0,-38191000.0
Repayment Of Debt,,0.0
Issuance Of Debt,0.0,100000000.0
Issuance Of Capital Stock,0.0,
End Cash Position,20405000.0,100000.0
Beginning Cash Position,100000.0,100000.0
Changes In Cash,20305000.0,0.0
Financing Cash Flow,-66965000.0,38191000.0
Net Other Financing Charges,0.0,0.0
Cash Dividends Paid,-66965000.0,-61809000.0
Common Stock Dividend Paid,-66965000.0,-61809000.0
Net Preferred Stock Issuance,0.0,0.0
Preferred Stock Issuance,0.0,
Net Issuance Payments Of Debt,0.0,100000000.0
Net Long Term Debt Issuance,0.0,100000000.0
Long Term Debt Payments,,0.0
Long Term Debt Issuance,0.0,100000000.0
Operating Cash Flow,87270000.0,-38191000.0
Change In Working Capital,-9142000.0,-2749000.0
Change In Other Current Liabilities,0.0,0.0
Change In Payable,-8431000.0,-2689000.0
Change In Prepaid Assets,11000.0,13000.0
Change In Receivables,-722000.0,-73000.0
Other Non Cash Items,-1524000.0,-513000.0
Gain Loss On Investment Securities,12507000.0,49618000.0
Net Income From Continuing Operations,85429000.0,-84547000.0
