,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-17232000.0,-7818000.0,-1622000.0,1509000.0
Repayment Of Debt,-1289000.0,-1136000.0,-1124000.0,-1041000.0
Issuance Of Debt,,,0.0,1603000.0
Issuance Of Capital Stock,,0.0,80300000.0,0.0
Capital Expenditure,-1503000.0,-1051000.0,-808000.0,-654000.0
Interest Paid Supplemental Data,,0.0,19000.0,65000.0
Income Tax Paid Supplemental Data,1294000.0,790000.0,489000.0,1529000.0
End Cash Position,14084000.0,37423000.0,85825000.0,11744000.0
Beginning Cash Position,37423000.0,85825000.0,11744000.0,13938000.0
Changes In Cash,-23339000.0,-48402000.0,74081000.0,-2194000.0
Financing Cash Flow,-2919000.0,-4154000.0,76254000.0,790000.0
Cash Flow From Continuing Financing Activities,-2919000.0,-4154000.0,76254000.0,790000.0
Net Other Financing Charges,-2120000.0,-3894000.0,-3521000.0,-8000.0
Proceeds From Stock Option Exercised,490000.0,876000.0,599000.0,236000.0
Net Common Stock Issuance,,0.0,80300000.0,0.0
Common Stock Issuance,,0.0,80300000.0,0.0
Net Issuance Payments Of Debt,-1289000.0,-1136000.0,-1124000.0,562000.0
Net Long Term Debt Issuance,-1289000.0,-1136000.0,-1124000.0,562000.0
Long Term Debt Payments,-1289000.0,-1136000.0,-1124000.0,-1041000.0
Long Term Debt Issuance,,,0.0,1603000.0
Investing Cash Flow,-4691000.0,-37481000.0,-1359000.0,-5147000.0
Cash Flow From Continuing Investing Activities,-4691000.0,-37481000.0,-1359000.0,-5147000.0
Net Other Investing Changes,-50000.0,241000.0,-51000.0,7000.0
Net Investment Purchase And Sale,-3138000.0,-35031000.0,0.0,
Sale Of Investment,44650000.0,0.0,,
Purchase Of Investment,-47788000.0,-35031000.0,0.0,
Net Business Purchase And Sale,0.0,-1640000.0,-500000.0,-4500000.0
Purchase Of Business,0.0,-1640000.0,-500000.0,-4500000.0
Net PPE Purchase And Sale,-1503000.0,-1051000.0,-808000.0,-654000.0
Sale Of PPE,,,,7000.0
Purchase Of PPE,-1503000.0,-1051000.0,-808000.0,-654000.0
Operating Cash Flow,-15729000.0,-6767000.0,-814000.0,2163000.0
Cash Flow From Continuing Operating Activities,-15729000.0,-6767000.0,-814000.0,2162000.0
Change In Working Capital,1949000.0,7617000.0,15513000.0,5057000.0
Change In Other Working Capital,6030000.0,830000.0,16268000.0,11086000.0
Change In Other Current Liabilities,,,-33000.0,-527000.0
Change In Payables And Accrued Expense,2078000.0,-517000.0,3186000.0,3430000.0
Change In Accrued Expense,2467000.0,517000.0,2836000.0,3016000.0
Change In Payable,-389000.0,-1034000.0,350000.0,414000.0
Change In Account Payable,-389000.0,-1034000.0,350000.0,414000.0
Change In Prepaid Assets,-1301000.0,202000.0,-4418000.0,-2608000.0
Change In Receivables,-4858000.0,7102000.0,477000.0,-6324000.0
Changes In Account Receivables,-4858000.0,7102000.0,477000.0,-6324000.0
Other Non Cash Items,-1051000.0,-398000.0,-54000.0,533000.0
Stock Based Compensation,14535000.0,11692000.0,5510000.0,458000.0
Provisionand Write Offof Assets,,,,0.0
Amortization Of Securities,-893000.0,-177000.0,0.0,
Deferred Tax,0.0,-484000.0,0.0,
Deferred Income Tax,0.0,-484000.0,0.0,
Depreciation Amortization Depletion,3069000.0,2099000.0,1492000.0,935000.0
Depreciation And Amortization,3069000.0,2099000.0,1492000.0,935000.0
Operating Gains Losses,3531000.0,271000.0,109000.0,-1560000.0
Pension And Employee Benefit Expense,134000.0,136000.0,109000.0,33000.0
Earnings Losses From Equity Investments,3397000.0,284000.0,0.0,
Gain Loss On Sale Of Business,0.0,-149000.0,0.0,
Net Income From Continuing Operations,-36869000.0,-27387000.0,-23384000.0,-3260000.0
