,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,14037000.0,11526000.0,19517000.0,10268000.0
Repayment Of Debt,-12125000.0,-84263000.0,-838000.0,-2900000.0
Issuance Of Debt,0.0,83503000.0,49603000.0,2500000.0
Issuance Of Capital Stock,0.0,0.0,13542000.0,0.0
Capital Expenditure,-9919000.0,-12921000.0,-7116000.0,-3689000.0
Interest Paid Supplemental Data,6277000.0,5830000.0,4255000.0,2293000.0
Income Tax Paid Supplemental Data,4663000.0,4932000.0,0.0,0.0
End Cash Position,10262000.0,9616000.0,25347000.0,10379000.0
Beginning Cash Position,9616000.0,25347000.0,10379000.0,5128000.0
Changes In Cash,646000.0,-15731000.0,14968000.0,5251000.0
Financing Cash Flow,-13391000.0,-27257000.0,-4549000.0,-5017000.0
Cash Flow From Continuing Financing Activities,-13391000.0,-27257000.0,-4549000.0,-5017000.0
Net Other Financing Charges,-802000.0,-2178000.0,,-4617000.0
Cash Dividends Paid,-464000.0,-24319000.0,-66856000.0,-4617000.0
Common Stock Dividend Paid,-464000.0,-24319000.0,-66856000.0,-4617000.0
Net Common Stock Issuance,0.0,0.0,13542000.0,0.0
Common Stock Issuance,0.0,0.0,13542000.0,0.0
Net Issuance Payments Of Debt,-12125000.0,-760000.0,48765000.0,-400000.0
Net Long Term Debt Issuance,-12125000.0,-760000.0,48765000.0,-400000.0
Long Term Debt Payments,-12125000.0,-84263000.0,-838000.0,-2900000.0
Long Term Debt Issuance,0.0,83503000.0,49603000.0,2500000.0
Investing Cash Flow,-9919000.0,-12921000.0,-7116000.0,-3689000.0
Cash Flow From Continuing Investing Activities,-9919000.0,-12921000.0,-7116000.0,-3689000.0
Net PPE Purchase And Sale,-9919000.0,-12921000.0,-7116000.0,-3689000.0
Purchase Of PPE,-9919000.0,-12921000.0,-7116000.0,-3689000.0
Operating Cash Flow,23956000.0,24447000.0,26633000.0,13957000.0
Cash Flow From Continuing Operating Activities,23956000.0,24447000.0,26633000.0,13957000.0
Change In Working Capital,-1379000.0,-1526000.0,771000.0,203000.0
Change In Other Working Capital,-896000.0,-452000.0,-423000.0,45000.0
Change In Other Current Assets,-3814000.0,-7274000.0,-1305000.0,-204000.0
Change In Payables And Accrued Expense,1975000.0,9036000.0,6344000.0,87000.0
Change In Accrued Expense,2181000.0,8171000.0,4768000.0,1106000.0
Change In Payable,-206000.0,865000.0,1576000.0,-1019000.0
Change In Account Payable,-206000.0,865000.0,1576000.0,-1019000.0
Change In Prepaid Assets,466000.0,-5000.0,-3845000.0,275000.0
Change In Receivables,890000.0,-2831000.0,0.0,0.0
Other Non Cash Items,207000.0,921000.0,639000.0,211000.0
Stock Based Compensation,18224000.0,29457000.0,7185000.0,325000.0
Deferred Tax,1342000.0,1134000.0,208000.0,0.0
Deferred Income Tax,1342000.0,1134000.0,208000.0,0.0
Depreciation Amortization Depletion,10253000.0,8061000.0,6597000.0,5641000.0
Depreciation And Amortization,10253000.0,8061000.0,6597000.0,5641000.0
Operating Gains Losses,-212000.0,1079000.0,682000.0,
Gain Loss On Sale Of PPE,-212000.0,147000.0,0.0,0.0
Net Income From Continuing Operations,-4479000.0,-14679000.0,10551000.0,7577000.0
