,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,27395000.0,-20312000.0,15393000.0,19933000.0
Repurchase Of Capital Stock,-2100000.0,0.0,0.0,
Repayment Of Debt,-62200000.0,-5721000.0,-197966000.0,-10099000.0
Issuance Of Debt,11500000.0,40000000.0,288284000.0,10889000.0
Issuance Of Capital Stock,0.0,0.0,179532000.0,450000.0
Capital Expenditure,-6031000.0,-19993000.0,-8575000.0,-1779000.0
Interest Paid Supplemental Data,10515000.0,6296000.0,7901000.0,278000.0
Income Tax Paid Supplemental Data,,2329000.0,20626000.0,4875000.0
End Cash Position,24029000.0,48373000.0,41018000.0,27099000.0
Beginning Cash Position,48373000.0,41018000.0,27099000.0,5791000.0
Effect Of Exchange Rate Changes,1090000.0,-272000.0,-1824000.0,735000.0
Changes In Cash,-25434000.0,7627000.0,15743000.0,20573000.0
Financing Cash Flow,-52829000.0,33260000.0,269850000.0,1240000.0
Cash Flow From Continuing Financing Activities,-52829000.0,33260000.0,269850000.0,1240000.0
Net Other Financing Charges,-191000.0,-1246000.0,96863000.0,
Proceeds From Stock Option Exercised,162000.0,227000.0,0.0,0.0
Net Common Stock Issuance,-2100000.0,0.0,179532000.0,450000.0
Common Stock Payments,-2100000.0,0.0,0.0,
Common Stock Issuance,0.0,0.0,179532000.0,450000.0
Net Issuance Payments Of Debt,-50700000.0,34279000.0,90318000.0,790000.0
Net Short Term Debt Issuance,-40000000.0,40000000.0,-8054000.0,790000.0
Short Term Debt Payments,-51500000.0,0.0,-42204000.0,-10099000.0
Short Term Debt Issuance,11500000.0,40000000.0,34150000.0,10889000.0
Net Long Term Debt Issuance,-50700000.0,34279000.0,90318000.0,790000.0
Long Term Debt Payments,-62200000.0,-5721000.0,-197966000.0,-10099000.0
Long Term Debt Issuance,11500000.0,40000000.0,288284000.0,10889000.0
Investing Cash Flow,-6031000.0,-25314000.0,-278075000.0,-2379000.0
Cash Flow From Continuing Investing Activities,-6031000.0,-25314000.0,-278075000.0,-2379000.0
Net Business Purchase And Sale,0.0,-5321000.0,-269500000.0,-600000.0
Purchase Of Business,0.0,-5321000.0,-269500000.0,-600000.0
Net Intangibles Purchase And Sale,-61000.0,-247000.0,-841000.0,-451000.0
Purchase Of Intangibles,-61000.0,-247000.0,-841000.0,-451000.0
Net PPE Purchase And Sale,-5970000.0,-19746000.0,-7734000.0,-1328000.0
Purchase Of PPE,-5970000.0,-19746000.0,-7734000.0,-1328000.0
Operating Cash Flow,33426000.0,-319000.0,23968000.0,21712000.0
Cash Flow From Continuing Operating Activities,33426000.0,-319000.0,23968000.0,21712000.0
Change In Working Capital,26233000.0,-33277000.0,-16789000.0,1673000.0
Change In Other Working Capital,6088000.0,-2411000.0,10288000.0,2356000.0
Change In Other Current Liabilities,-7676000.0,-8392000.0,-5932000.0,-55000.0
Change In Payables And Accrued Expense,-256000.0,-11749000.0,23387000.0,9560000.0
Change In Accrued Expense,-13982000.0,-7419000.0,26678000.0,8648000.0
Change In Payable,13726000.0,-4330000.0,-3291000.0,912000.0
Change In Account Payable,7512000.0,-1888000.0,6038000.0,-2776000.0
Change In Tax Payable,6214000.0,-2442000.0,-9329000.0,3688000.0
Change In Income Tax Payable,6214000.0,-2442000.0,-9329000.0,3688000.0
Change In Prepaid Assets,-2789000.0,6134000.0,-11543000.0,20000.0
Change In Inventory,32149000.0,-16257000.0,-32131000.0,-9375000.0
Change In Receivables,-1283000.0,-602000.0,-858000.0,-833000.0
Changes In Account Receivables,-1283000.0,-602000.0,-858000.0,-833000.0
Other Non Cash Items,9986000.0,12855000.0,23122000.0,
Stock Based Compensation,7640000.0,6730000.0,8043000.0,1380000.0
Asset Impairment Charge,68524000.0,173786000.0,0.0,0.0
Deferred Tax,-745000.0,-4064000.0,-11951000.0,-2908000.0
Deferred Income Tax,-745000.0,-4064000.0,-11951000.0,-2908000.0
Depreciation Amortization Depletion,19141000.0,20348000.0,16710000.0,6762000.0
Depreciation And Amortization,19141000.0,20348000.0,16710000.0,6762000.0
Amortization Cash Flow,11536000.0,14192000.0,14016000.0,6409000.0
Amortization Of Intangibles,11536000.0,14192000.0,14016000.0,6409000.0
Depreciation,7605000.0,6156000.0,2694000.0,353000.0
Operating Gains Losses,1533000.0,,10924000.0,
Gain Loss On Sale Of Business,1533000.0,0.0,0.0,
Net Income From Continuing Operations,-98886000.0,-176697000.0,-6091000.0,14805000.0
