,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-145367000.0,-92517000.0,-79681000.0,-70952000.0
Issuance Of Debt,15000000.0,10000000.0,0.0,
Issuance Of Capital Stock,335429000.0,241200000.0,0.0,202554000.0
Capital Expenditure,,,,-148000.0
Interest Paid Supplemental Data,2483000.0,441000.0,0.0,
End Cash Position,234207000.0,249881000.0,150591000.0,187390000.0
Beginning Cash Position,249881000.0,150591000.0,187390000.0,64848000.0
Changes In Cash,-15674000.0,99290000.0,-36799000.0,122542000.0
Financing Cash Flow,353316000.0,255632000.0,602000.0,203107000.0
Cash Flow From Continuing Financing Activities,353316000.0,255632000.0,602000.0,203107000.0
Net Other Financing Charges,-776000.0,-864000.0,-521000.0,52000.0
Proceeds From Stock Option Exercised,3663000.0,5296000.0,1123000.0,501000.0
Net Common Stock Issuance,335429000.0,241200000.0,0.0,202554000.0
Common Stock Issuance,335429000.0,241200000.0,0.0,202554000.0
Net Issuance Payments Of Debt,15000000.0,10000000.0,0.0,
Net Long Term Debt Issuance,15000000.0,10000000.0,0.0,
Long Term Debt Issuance,15000000.0,10000000.0,0.0,
Investing Cash Flow,-223623000.0,-63825000.0,42280000.0,-9761000.0
Cash Flow From Continuing Investing Activities,-223623000.0,-63825000.0,42280000.0,-9761000.0
Net Investment Purchase And Sale,-223623000.0,-63825000.0,42280000.0,-9613000.0
Sale Of Investment,209500000.0,37621000.0,85841000.0,105424000.0
Purchase Of Investment,-433123000.0,-101446000.0,-43561000.0,-115037000.0
Net PPE Purchase And Sale,,,0.0,-148000.0
Purchase Of PPE,,,0.0,-148000.0
Operating Cash Flow,-145367000.0,-92517000.0,-79681000.0,-70804000.0
Cash Flow From Continuing Operating Activities,-145367000.0,-92517000.0,-79681000.0,-70804000.0
Change In Working Capital,-6670000.0,-4459000.0,9727000.0,2085000.0
Change In Other Working Capital,,,,-2000.0
Change In Other Current Liabilities,-231000.0,-206000.0,-182000.0,-140000.0
Change In Payables And Accrued Expense,301000.0,-6365000.0,12010000.0,3603000.0
Change In Accrued Expense,946000.0,-7333000.0,8737000.0,1122000.0
Change In Payable,-645000.0,968000.0,3273000.0,2481000.0
Change In Account Payable,-645000.0,968000.0,3273000.0,2481000.0
Change In Prepaid Assets,-6740000.0,2112000.0,-2101000.0,-1378000.0
Other Non Cash Items,1019000.0,421000.0,203000.0,196000.0
Stock Based Compensation,21497000.0,23243000.0,10054000.0,6022000.0
Amortization Of Securities,-9554000.0,-12000.0,1066000.0,83000.0
Depreciation Amortization Depletion,29000.0,43000.0,41000.0,17000.0
Depreciation And Amortization,29000.0,43000.0,41000.0,17000.0
Depreciation,29000.0,43000.0,41000.0,17000.0
Operating Gains Losses,71000.0,280000.0,5000.0,
Gain Loss On Investment Securities,79000.0,264000.0,,
Net Foreign Currency Exchange Gain Loss,-8000.0,16000.0,5000.0,0.0
Net Income From Continuing Operations,-151759000.0,-112033000.0,-100777000.0,-79207000.0
