,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-21504000.0,-18846528.0,-16950408.0
Issuance Of Capital Stock,25194000.0,14292753.0,25046461.0
End Cash Position,13250000.0,9361270.0,14055777.0
Beginning Cash Position,9361000.0,14055777.0,5731691.0
Effect Of Exchange Rate Changes,105000.0,-140732.0,200533.0
Changes In Cash,3784000.0,-4553775.0,8123553.0
Financing Cash Flow,25288000.0,14292753.0,25073961.0
Cash Flow From Continuing Financing Activities,25288000.0,14292753.0,25073961.0
Proceeds From Stock Option Exercised,94000.0,0.0,27500.0
Net Common Stock Issuance,25194000.0,14292753.0,25046461.0
Common Stock Issuance,25194000.0,14292753.0,25046461.0
Operating Cash Flow,-21504000.0,-18846528.0,-16950408.0
Cash Flow From Continuing Operating Activities,-21504000.0,-18846528.0,-16950408.0
Change In Working Capital,822000.0,-1983570.0,-55629.0
Change In Other Current Liabilities,,,0.0
Change In Payables And Accrued Expense,-877000.0,-241309.0,-247683.0
Change In Prepaid Assets,1699000.0,-1742261.0,192054.0
Other Non Cash Items,,,900000.0
Stock Based Compensation,735000.0,314650.0,325523.0
Depreciation Amortization Depletion,4000.0,4126.0,8907.0
Depreciation And Amortization,4000.0,4126.0,8907.0
Operating Gains Losses,-5317000.0,242503.0,-1047592.0
Gain Loss On Investment Securities,-4983000.0,,-556810.0
Net Foreign Currency Exchange Gain Loss,-334000.0,242503.0,-490782.0
Net Income From Continuing Operations,-17748000.0,-17424237.0,-17081617.0
