,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-6526877.0,-16038695.0,-5041981.0,-7546100.0
Repayment Of Debt,-300000.0,-800000.0,0.0,-200000.0
Issuance Of Debt,4415000.0,8618943.0,2550262.0,600000.0
Issuance Of Capital Stock,635391.0,9735567.0,2860304.0,7804099.0
Capital Expenditure,-22159.0,-9001471.0,-17502.0,
Interest Paid Supplemental Data,718753.0,176000.0,0.0,50000.0
End Cash Position,285400.0,1990910.0,807538.0,726577.0
Beginning Cash Position,1990910.0,807538.0,726577.0,764891.0
Effect Of Exchange Rate Changes,-3970.0,10077.0,3443.0,12690.0
Changes In Cash,-1701540.0,1173295.0,77518.0,-51004.0
Financing Cash Flow,4825337.0,17263989.0,5170132.0,7664281.0
Cash Flow From Continuing Financing Activities,4825337.0,17263989.0,5170132.0,7664281.0
Net Other Financing Charges,74946.0,-290521.0,-240434.0,-539818.0
Net Preferred Stock Issuance,0.0,9000000.0,0.0,
Preferred Stock Issuance,0.0,9000000.0,0.0,
Net Common Stock Issuance,635391.0,735567.0,2860304.0,7804099.0
Common Stock Issuance,635391.0,735567.0,2860304.0,7804099.0
Net Issuance Payments Of Debt,4115000.0,7818943.0,2550262.0,400000.0
Net Long Term Debt Issuance,4115000.0,7818943.0,2550262.0,400000.0
Long Term Debt Payments,-300000.0,-800000.0,0.0,-200000.0
Long Term Debt Issuance,4415000.0,8618943.0,2550262.0,600000.0
Investing Cash Flow,-22159.0,-9053470.0,-68135.0,-169185.0
Cash Flow From Continuing Investing Activities,-22159.0,-9053470.0,-68135.0,-169185.0
Net Investment Properties Purchase And Sale,,0.0,-10332.0,-111213.0
Purchase Of Investment Properties,,0.0,-10332.0,-111213.0
Net Business Purchase And Sale,0.0,-51999.0,-40301.0,-57972.0
Purchase Of Business,0.0,-51999.0,-40301.0,-57972.0
Net Intangibles Purchase And Sale,0.0,-8999722.0,0.0,
Purchase Of Intangibles,0.0,-8999722.0,0.0,
Net PPE Purchase And Sale,-22159.0,-1749.0,-17502.0,0.0
Purchase Of PPE,-22159.0,-1749.0,-17502.0,0.0
Operating Cash Flow,-6504718.0,-7037224.0,-5024479.0,-7546100.0
Cash Flow From Continuing Operating Activities,-6504718.0,-7037224.0,-5024479.0,-7546100.0
Change In Working Capital,-35069.0,206888.0,1499762.0,-856209.0
Change In Other Working Capital,33402.0,27298.0,21203.0,
Change In Other Current Liabilities,-112915.0,-141556.0,-121020.0,-57695.0
Change In Other Current Assets,,-45996.0,95133.0,
Change In Payables And Accrued Expense,89857.0,411323.0,1531367.0,-727102.0
Change In Accrued Expense,89857.0,411323.0,1531367.0,-727102.0
Change In Prepaid Assets,807.0,-46412.0,6847.0,-206632.0
Change In Receivables,-46220.0,-43765.0,-33768.0,135220.0
Changes In Account Receivables,-46220.0,-43765.0,-33768.0,135220.0
Other Non Cash Items,554506.0,3648127.0,-51246.0,7554.0
Stock Based Compensation,1179761.0,1106634.0,2110169.0,5494033.0
Provisionand Write Offof Assets,0.0,2295.0,8091.0,55133.0
Asset Impairment Charge,454679.0,22285.0,0.0,0.0
Depreciation Amortization Depletion,329946.0,466280.0,438781.0,378475.0
Depreciation And Amortization,329946.0,466280.0,438781.0,378475.0
Depreciation,329946.0,466280.0,438781.0,378475.0
Operating Gains Losses,7718469.0,-558886.0,60463.0,54352.0
Earnings Losses From Equity Investments,8589822.0,41863.0,60463.0,51673.0
Gain Loss On Investment Securities,-188374.0,-600749.0,,
Gain Loss On Sale Of PPE,,,0.0,2679.0
Net Income From Continuing Operations,-16707010.0,-11930847.0,-9090499.0,-12679438.0
