,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,14949900.0,-1352400.0,65113620.0,0.0
Tax Rate For Calcs,0.21,0.161,0.22,0.146
Normalized EBITDA,721564000.0,2865658000.0,153123000.0,678619000.0
Total Unusual Items,71190000.0,-8400000.0,295971000.0,0.0
Total Unusual Items Excluding Goodwill,71190000.0,-8400000.0,295971000.0,0.0
Net Income From Continuing Operation Net Minority Interest,1573476000.0,2689816000.0,123672000.0,375764000.0
Reconciled Depreciation,429944000.0,300841000.0,254000000.0,231984000.0
Reconciled Cost Of Revenue,8431294000.0,4245517000.0,2329986000.0,2134056000.0
EBITDA,792754000.0,2857258000.0,449094000.0,678619000.0
EBIT,362810000.0,2556417000.0,195094000.0,446635000.0
Net Interest Income,-116072000.0,-122973000.0,-61476000.0,-73116000.0
Interest Expense,116072000.0,122973000.0,61476000.0,73116000.0
Normalized Income,1517235900.0,2696863600.0,-107185380.0,375764000.0
Net Income From Continuing And Discontinued Operation,1573476000.0,2689816000.0,123672000.0,375764000.0
Total Expenses,9436512000.0,4841643000.0,2825494000.0,2623097000.0
Total Operating Income As Reported,251881000.0,2470061000.0,798434000.0,505812000.0
Diluted Average Shares,117766000.0,117793000.0,116536000.0,106808000.0
Basic Average Shares,117317000.0,117120000.0,115841000.0,106402000.0
Diluted EPS,13.36,22.84,1.06,3.52
Basic EPS,13.41,22.97,1.07,3.53
Diluted NI Availto Com Stockholders,1573476000.0,2689816000.0,123672000.0,375764000.0
Net Income Common Stockholders,1573476000.0,2689816000.0,123672000.0,375764000.0
Net Income,1573476000.0,2689816000.0,123672000.0,375764000.0
Minority Interests,-97067000.0,-125315000.0,-76270000.0,-70851000.0
Net Income Including Noncontrolling Interests,1670543000.0,2815131000.0,199942000.0,446615000.0
Net Income Continuous Operations,1670543000.0,2815131000.0,199942000.0,446615000.0
Earnings From Equity Interest Net Of Tax,1854082000.0,772275000.0,95770000.0,127521000.0
Tax Provision,430277000.0,390588000.0,29446000.0,54425000.0
Pretax Income,246738000.0,2433444000.0,133618000.0,373519000.0
Other Income Expense,182119000.0,77956000.0,-307369000.0,-59177000.0
Other Non Operating Income Expenses,110929000.0,86356000.0,-603340000.0,-59177000.0
Special Income Charges,71190000.0,-8400000.0,295971000.0,0.0
Gain On Sale Of Business,,-8400000.0,295971000.0,0.0
Restructuring And Mergern Acquisition,-71190000.0,,,
Net Non Operating Interest Income Expense,-116072000.0,-122973000.0,-61476000.0,-73116000.0
Interest Expense Non Operating,116072000.0,122973000.0,61476000.0,73116000.0
Operating Income,180691000.0,2478461000.0,502463000.0,505812000.0
Operating Expense,1005218000.0,596126000.0,495508000.0,489041000.0
Research And Development,85725000.0,71981000.0,54026000.0,59214000.0
Selling General And Administration,919493000.0,524145000.0,441482000.0,429827000.0
Gross Profit,1185909000.0,3074587000.0,997971000.0,994853000.0
Cost Of Revenue,8431294000.0,4245517000.0,2329986000.0,2134056000.0
Total Revenue,9617203000.0,7320104000.0,3327957000.0,3128909000.0
Operating Revenue,9617203000.0,7320104000.0,3327957000.0,3128909000.0
