,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-7008750.0,0.0,-1126170.0
Tax Rate For Calcs,0.21,0.0,0.27
Normalized EBITDA,1957000.0,-4557000.0,8068000.0
Total Unusual Items,-33375000.0,-79000.0,-4171000.0
Total Unusual Items Excluding Goodwill,-33375000.0,-79000.0,-4171000.0
Net Income From Continuing Operation Net Minority Interest,-53652000.0,-18569000.0,-18755000.0
Reconciled Depreciation,3657000.0,3677000.0,5382000.0
Reconciled Cost Of Revenue,4468000.0,4439000.0,7165000.0
EBITDA,-31418000.0,-4636000.0,3897000.0
EBIT,-35075000.0,-8313000.0,-1485000.0
Net Interest Income,-18562000.0,-10256000.0,-16930000.0
Interest Expense,18562000.0,10256000.0,16930000.0
Normalized Income,-27285750.0,-18490000.0,-15710170.0
Net Income From Continuing And Discontinued Operation,-69464000.0,-18449000.0,-18755000.0
Total Expenses,20151000.0,25208000.0,20072000.0
Total Operating Income As Reported,-5568000.0,-8198000.0,-2850000.0
Diluted Average Shares,2314503.0,2300000.0,2300000.0
Basic Average Shares,2314503.0,2300000.0,2300000.0
Diluted EPS,-23.25,-8.0,-8.154348
Basic EPS,-23.25,-8.0,-8.154348
Diluted NI Availto Com Stockholders,-69464000.0,-18449000.0,-18755000.0
Net Income Common Stockholders,-69464000.0,-18449000.0,-18755000.0
Net Income,-69464000.0,-18449000.0,-18755000.0
Minority Interests,,484000.0,178000.0
Net Income Including Noncontrolling Interests,-69464000.0,-18449000.0,-18933000.0
Net Income Discontinuous Operations,-15812000.0,120000.0,
Net Income Continuous Operations,-53652000.0,-18569000.0,-18933000.0
Tax Provision,15000.0,0.0,518000.0
Pretax Income,-53637000.0,-18569000.0,-18415000.0
Other Income Expense,-35008000.0,-194000.0,-2806000.0
Other Non Operating Income Expenses,-1633000.0,-115000.0,1365000.0
Special Income Charges,-16733000.0,-79000.0,-4171000.0
Gain On Sale Of Ppe,-5501000.0,-79000.0,
Other Special Charges,11232000.0,,
Impairment Of Capital Assets,,0.0,4171000.0
Gain On Sale Of Security,-16642000.0,,
Net Non Operating Interest Income Expense,-18562000.0,-10256000.0,-16930000.0
Interest Expense Non Operating,18562000.0,10256000.0,16930000.0
Operating Income,-67000.0,-8119000.0,1321000.0
Operating Expense,15683000.0,20769000.0,12907000.0
Other Operating Expenses,,23925000.0,
Depreciation Amortization Depletion Income Statement,3657000.0,3677000.0,5382000.0
Depreciation And Amortization In Income Statement,3657000.0,3677000.0,5382000.0
Depreciation Income Statement,,7157000.0,5382000.0
Research And Development,798000.0,11372000.0,0.0
Selling General And Administration,11228000.0,5720000.0,7525000.0
Gross Profit,15616000.0,12650000.0,14228000.0
Cost Of Revenue,4468000.0,4439000.0,7165000.0
Total Revenue,20084000.0,17089000.0,21393000.0
Operating Revenue,20080000.0,17089000.0,21393000.0
