,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,93409000.0,-16774000.0,24360000.0,166459000.0
Repurchase Of Capital Stock,-1034000.0,-768000.0,-1957000.0,-710000.0
Repayment Of Debt,-249948000.0,-189031000.0,-204093000.0,-273867000.0
Issuance Of Debt,183000000.0,222000000.0,188000000.0,115000000.0
Capital Expenditure,-37745000.0,-31304000.0,-25307000.0,-17874000.0
Interest Paid Supplemental Data,25358000.0,14575000.0,10248000.0,17049000.0
Income Tax Paid Supplemental Data,37330000.0,35102000.0,32865000.0,17140000.0
End Cash Position,51919000.0,47016000.0,42115000.0,50195000.0
Beginning Cash Position,47016000.0,42115000.0,50195000.0,42311000.0
Effect Of Exchange Rate Changes,3253000.0,-2346000.0,-1308000.0,1964000.0
Changes In Cash,1650000.0,7247000.0,-6772000.0,5920000.0
Financing Cash Flow,-76881000.0,24455000.0,-23001000.0,-164242000.0
Cash Flow From Continuing Financing Activities,-76881000.0,24455000.0,-23001000.0,-164242000.0
Proceeds From Stock Option Exercised,1586000.0,803000.0,1676000.0,1459000.0
Cash Dividends Paid,-10485000.0,-8549000.0,-6627000.0,-6124000.0
Common Stock Dividend Paid,,-8549000.0,-6627000.0,-6124000.0
Net Common Stock Issuance,-1034000.0,-768000.0,-1957000.0,-710000.0
Common Stock Payments,-1034000.0,-768000.0,-1957000.0,-710000.0
Net Issuance Payments Of Debt,-66948000.0,32969000.0,-16093000.0,-158867000.0
Net Short Term Debt Issuance,,,-1000000.0,-140000000.0
Short Term Debt Payments,,,-189000000.0,-255000000.0
Short Term Debt Issuance,,,188000000.0,115000000.0
Net Long Term Debt Issuance,-66948000.0,32969000.0,-16093000.0,-158867000.0
Long Term Debt Payments,-249948000.0,-189031000.0,-204093000.0,-273867000.0
Long Term Debt Issuance,183000000.0,222000000.0,188000000.0,115000000.0
Investing Cash Flow,-52623000.0,-31738000.0,-33438000.0,-14171000.0
Cash Flow From Continuing Investing Activities,-52623000.0,-31738000.0,-33438000.0,-14171000.0
Net Business Purchase And Sale,-27560000.0,-2000000.0,-17798000.0,0.0
Purchase Of Business,-27560000.0,-2000000.0,-17798000.0,0.0
Net Intangibles Purchase And Sale,0.0,-163000.0,-44000.0,0.0
Purchase Of Intangibles,0.0,-163000.0,-44000.0,0.0
Net PPE Purchase And Sale,-25063000.0,-29575000.0,-15596000.0,-14171000.0
Sale Of PPE,12682000.0,1566000.0,9667000.0,3703000.0
Purchase Of PPE,-37745000.0,-31141000.0,-25263000.0,-17874000.0
Operating Cash Flow,131154000.0,14530000.0,49667000.0,184333000.0
Cash Flow From Continuing Operating Activities,131154000.0,14530000.0,49667000.0,184333000.0
Change In Working Capital,-50486000.0,-138241000.0,-77256000.0,79025000.0
Change In Other Working Capital,45000.0,475000.0,-3008000.0,2431000.0
Change In Other Current Assets,-13930000.0,-9196000.0,1138000.0,4542000.0
Change In Payables And Accrued Expense,10371000.0,-580000.0,37642000.0,-660000.0
Change In Payable,10371000.0,-580000.0,37642000.0,-660000.0
Change In Account Payable,4813000.0,-2879000.0,32532000.0,-3783000.0
Change In Tax Payable,5558000.0,2299000.0,5110000.0,3123000.0
Change In Income Tax Payable,5558000.0,2299000.0,5110000.0,3123000.0
Change In Prepaid Assets,-835000.0,-6146000.0,-6994000.0,6373000.0
Change In Inventory,-10844000.0,-37739000.0,-78463000.0,38275000.0
Change In Receivables,-35293000.0,-85055000.0,-27571000.0,28064000.0
Changes In Account Receivables,-35293000.0,-85055000.0,-27571000.0,28064000.0
Other Non Cash Items,703000.0,667000.0,667000.0,634000.0
Stock Based Compensation,7424000.0,5561000.0,5987000.0,4119000.0
Provisionand Write Offof Assets,253000.0,424000.0,506000.0,860000.0
Deferred Tax,-4253000.0,-2337000.0,-1182000.0,-855000.0
Deferred Income Tax,-4253000.0,-2337000.0,-1182000.0,-855000.0
Depreciation Amortization Depletion,47973000.0,46689000.0,44479000.0,43840000.0
Depreciation And Amortization,47973000.0,46689000.0,44479000.0,43840000.0
Amortization Cash Flow,15519000.0,15277000.0,14637000.0,14746000.0
Amortization Of Intangibles,15519000.0,15277000.0,14637000.0,14746000.0
Depreciation,32454000.0,31412000.0,29842000.0,29094000.0
Operating Gains Losses,-6621000.0,-161000.0,-3779000.0,-1094000.0
Gain Loss On Sale Of PPE,-6621000.0,-161000.0,-3779000.0,-1094000.0
Net Income From Continuing Operations,136161000.0,101928000.0,80245000.0,57804000.0
